@anvaya_@no	@word	@poem	@sandhied_@word	@morph_@analysis	@morph_@in_@context	@kaaraka_@sambandha	@hindi_@meaning	@english_@meaning	@samAsa	@prayoga	@sarvanAma	@name_@classification

1	haMsa-SreNIRu	1	haMsaSreNIRu	haMsa-SreNI{swrI;7;bahu}	haMsa-SreNI{swrI;7;bahu}	samucciwaH,4	haMsa-xaloM_meM	-	-	-	-	-
2	wArAsu	2	wArAsu	wArA{swrI;7;bahu}	wArA{swrI;7;bahu}	samucciwaH,4	wArAoM_meM	-	-	-	-	-
3	kumuxvawsu	3	kumuxvawsu	kumuxvawsu}	kumuxvawsu{napuM;7;bahu}	viSeRaNam,4	-	-	-	-	-	-
4	vAriRu	5	vAriRu	vAri{napuM;7;bahu}	vAri{napuM;7;bahu}	aXikaraNam,9	jala_meM	-	-	-	-	-
5	ca	4	ca	ca{avya}	ca{avya}	samuccayaxyowakaH,4	Ora	-	-	-	-	-
6	waxIyAnAm	6	viBUwayaswaxIyAnAM	waxIya{puM;6;bahu}/waxIya{napuM;6;bahu}/waxIyA{swrI;6;bahu}	waxIya{puM;6;bahu}	RaRTIsambanXaH,7	usakoM_kA	-	-	-	-	-
7	yaSasAm	8	yaSasAmiva	yaSas{napuM;6;bahu}	yaSas{napuM;6;bahu}	RaRTIsambanXaH,8	yaSa_kA	-	-	-	-	-
8	viBUwayaH	-	-	viBUwi{swrI;1;bahu}/viBUwi{swrI;8;bahu}	viBUwi{swrI;1;bahu}	karma,9	Xana	-	-	-	-	-
9	paryaswAH	7	paryaswA	paryaswA{swrI;1;bahu}/paryaswA{swrI;2;bahu}/paryaswa{puM;1;bahu(as3;kwa;asuz;:xivAxiH)}/paryaswA{swrI;1;bahu(as3;kwa;asuz;:xivAxiH)}/paryaswA{swrI;2;bahu(as3;kwa;asuz;:xivAxiH)}	paryaswA{paryaswa{puM;1;bahu(as3;kwa;asuz;:xivAxiH)}}	aBihiwa_karma,8;sakarmaka	paryaswAyeM	-	-	-	-	-
10	iva	-	-	iva{avya}	iva{avya}	uwprekRa,9	jEse	-	-	-	-	-
