@anvaya_@no	@word	@poem	@sandhied_@word	@morph_@analysis	@morph_@in_@context	@kaaraka_@sambandha	@hindi_@meaning	@english_@meaning	@samAsa	@prayoga	@sarvanAma	@name_@classification

1	prawyabravIw	-	prawyabravIccEnamiRuprayoge	prawi_brU{karwari;laf;pra;eka;parasmEpaxI;brUF;axAxiH}	prawi_brU{karwari;laf;pra;eka;parasmEpaxI;brUF;axAxiH}	aBihiwa_karwA,13	ora	-	-	-	-	-
2	ca	-	-	ca{avya}	prawi_brU{karwari;laf;pra;eka;parasmEpaxI;brUF;axAxiH}	sambanXaH,1	-	-	-	-	-	-
3	waw-pUrva-Bafge	-	wawpUrvaBafge	waw-pUrva-Bafga;{puM;;7;;eka}/Bafga;{napuM;;1;;xvi}/Bafga{napuM;;2;;xvi}/Bafga;{napuM;;7;;eka}/Bafga;{napuM;;8;;xvi}/Bafgi;{swrI;;8;;eka}/BafgA;{swrI;;1;;xvi}/BafgA;{swrI;;2;;xvi}/BafgA;{swrI;;8;;eka}/BafgA;{swrI;;8;;xvi}	waw-pUrva-Bafga;{puM;;7;;eka}	viSeRaNam,5	X_brU1_pp_skyA	-	-	-	-	-
4	enam	-	-	ixam;{sarvanAma;puM;2;eka}	ixam;{sarvanAma;puM;2;eka}	karma,1	vaha-pUrva-Bafga_meM	-	-	-	-	-
5	iRu-prayoge	-	iRuprayoge	iRu-prayoga{puM;7;eka}	iRu-prayoga{puM;7;eka}	kAlAXikaraNam,6	bANa-prayoga_meM	-	-	-	-	-
6	viwaWa-prayawnaH	-	viwaWaprayawnaH	viwaWa-prayawna{puM;1;eka}	viwaWa-prayawna{puM;1;eka}	viSeRaNam,11	viwaWa-prayawna	-	-	-	-	-
7	jadIkqwaH	-	jadIkqwaswryambakavIkRaNena	jadIkqwa{puM;1;eka{kqxanwa}}	jadIkqwa{puM;1;eka{kqxanwa}}	viSeRaNam,9	nirmiwa	-	-	-	-	-
8	wri-ambaka-vIkRaNena	-	-	wri-ambaka-vIkRaNa{napuM;3;eka}	wri-ambaka-vIkRaNa{napuM;3;eka}	hewuH,7	wIna-ambaka-vIkRaNa_se	-	-	-	-	-
9	vajram	-	vajram	vajra{puM;2;eka}/vajra{napuM;2;eka}/vajra{napuM;1;eka}	vajra{napuM;1;eka}	karma,10	vajra_ko	-	-	-	-	-
10	mumukRan	-	mumukRanniva	mumukRaw{puM;1;eka(muc2;sananwa;Sawq_lat;mucLz;:wuxAxiH)}	mumukRaw{puM;1;eka(muc2;sananwa;Sawq_lat;mucLz;:wuxAxiH)}	viSeRaNam,11	X_muc2_sanwA_huA	-	-	-	-	-
11	vajra-pANiH	-	vajrapANiH	vajra-pANi{puM;1;eka}	vajra-pANi{puM;1;eka}	upamAnam,13	vajra-hAWa	-	-	-	-	-
12	iva	-	-	iva{avya}	iva{avya}	upamAnaxyowakaH,11	jEse	-	-	-	-	-
13	(saH)	-	(-)	wax{sarvanAma;puM;;1;;eka}	wax{sarvanAma;puM;;1;;eka}	karwA,1	vaha	-	-	-	-	-
