@anvaya_@no	@word	@poem	@sandhied_@word	@morph_@analysis	@morph_@in_@context	@kaaraka_@sambandha	@hindi_@meaning	@english_@meaning	@samAsa	@prayoga	@sarvanAma	@name_@classification

1	guru-vawsalAH	3gurUvawsalAH	guru-vawsalAH	guru-vawsala{puM;1;bahu}/vawsala{swrI;2;bahu}/vawsala{swrI;1;bahu}	guru-vawsala{puM;1;bahu}	viSeRaNam,2	guru-GAsa_se_prajvaliwa_agni	-	-	-	-	-
2	we	-	we	wax{sarvanAma;napuM;2;xvi}/wax{sarvanAma;napuM;1;xvi}/wax{sarvanAma;puM;1;bahu}/wax{sarvanAma;swrI;2;xvi}/wax{sarvanAma;swrI;1;xvi}/yuRmax{sarvanAma;6;eka}/yuRmax{sarvanAma;4;eka}	wax{sarvanAma;puM;1;bahu}	karwA,11	unhoMne	-	-	-	-	-
3	guNEH	1guNErArAXayAmAsuswe	guNEH	guNa{puM;3;bahu}	guNa{puM;3;bahu}	karaNam,11	guNoM_se	-	-	-	-	-
4	gurum	2guruM	gurum	guru{puM;2;eka}	guru{puM;2;eka}	aBexaH,6	BArI	-	-	-	-	-
5	cawuH-anwa-ISam	5cawuranweSaM	cawuH-anwa-ISam	cawuH-anwa-ISa{puM;2;eka}/IS{puM;2;eka}	cawuH-anwa-IS{puM;2;eka}	viSeRaNam,6	cawuH-anwa-IS	-	-	-	-	-
6	wam	4wameva	wam	wax{sarvanAma;puM;2;eka}	wax{sarvanAma;puM;2;eka}	karma,11	usako	-	-	-	-	-
7	eva	-	eva	eva{avya}	eva{avya}	sambanXaH,6	hI	-	-	-	-	-
8	mahA-arNavAH	7mahArNavAH	mahA-arNavAH	mahaw-arNava{puM;1;bahu}/arNava{swrI;2;bahu}/arNava{swrI;1;bahu}	mahaw-arNava{puM;1;bahu}	viSeRaNam,2	mahAn-arNava	-	-	-	-	-
9	rawnEH	6rawnEriva	rawnEH	rawna{napuM;3;bahu}	rawna{napuM;3;bahu}	upamAnam,10	rawna_se	-	-	-	-	-
10	iva	-	iva	iva{avya}	iva{avya}	upamAnaxyowakaH,3	jEse	-	-	-	-	-
11	ArAXayAmAsuH	-	wuRtuvuH	Rwu1{karwari;lit;pra;bahu;parasmEpaxI;RwuF;:axAxiH}	Rwu1{karwari;lit;pra;bahu;parasmEpaxI;RwuF;:axAxiH}	aBihiwa_karwA,2;sakarmaka	X_Rwu1_pp_skyA	-	-	-	-	-
