@anvaya_@no	@word	@poem	@sandhied_@word	@morph_@analysis	@morph_@in_@context	@kaaraka_@sambandha	@hindi_@meaning	@english_@meaning	@samAsa	@prayoga	@sarvanAma	@name_@classification

1	veNunA	1	veNunA	veNu{puM;3;eka}	veNu{puM;3;eka}	karwA,7	veNu_se	@By @flute	-	-	-	-
2	xaSanapIdiwa-aXarAH	2	xaSanapIdiwAXarA	pIdiwA{swrI;1;bahu(pId1;kwa;pIdaz;:curAxiH)}	pIdiwA{swrI;1;bahu(pId1;kwa;pIdaz;:curAxiH)}	viSeRaNam,9	xanwavraNoM se oRTa kRawa huaI gAyikAH/swrI	(@Female @Artist)@With @indented @lips @caused @due @to @nibbling @of @the @teeth	-	-	-	-
3	vINayA	3	vINayA	vINA{swrI;3;eka}	vINA{swrI;3;eka}	sup_samucciwaH,1	vINA_se	@By @vina 	-	-	-	-
4	naKapaxAfkiwa-UravaH	4	naKapaxAfkiworavaH	naKapaxAfkiwa-Uru{puM;1;bahu}/{swrI;1;bahu}	naKapaxAfkiwa-Uru{swrI;1;bahu}	viSeRaNam,9	naKavraNa ke kAraNa uroBAga vikRawa hone vAlI	(@Female @artists)@With @nail @marks @on @their @breasts	-	-	-	-
5	SilpakAryaH	5	SilpakArya	SilpakArI{swrI;1;bahu}	SilpakArI{swrI;1;bahu}	viSeRaNam,9	safgIwa Silpa me nipuNa mahilAone	@Musicians @ladies/ @practisers @of @fine @arts	-	-	-	-
6	uBayena	6	uBayena	uBaya{puM;3;eka}/uBaya{napuM;3;eka}/uBaya{sarvanAma;puM;3;eka}/uBaya{sarvanAma;napuM;3;eka}	uBaya{puM;3;eka}	sup_samuccayaxyowakaH,1	xono_se	@By @both	-	-	-	-
7	vejiwAH	7	vejiwAswaM	vejiwA{(vij;vijIM;wuxAxi;prayojaka;karmaNi)swrI;1;bahu}	vejiwA{(vij;vijIM;wuxAxi;prayojaka;karmaNi)swrI;1;bahu}	viSeRaNam,9	pIdiwA 	@Troubled 	-	-	-	-
8	waM	-	-	wax{sarvanAma;puM;2;eka	wax{sarvanAma;puM;2;eka}	karma,10	usako-(rAjA agnivarNa ko)	@Him-@To @the @King @Agnivarna	-	-	-	-
9	vijihma-nayanAH	8	vijihmanayanA	vijihma-nayanAH{swrI;1;bahu}	vijihma-nayanAH{swrI;1;bahu}	karwA,10	kutilaxqRtivAlIyone	@Having @crooked @eyes @side-@long @glances	-	-	-	-
10	vyaloBayan	9	vyaloBayan	vi-luB Nijanwa karwarIlaf {;pra;bahu;parasmEpaxI;luBaz;:xivAxiHprayojaka-karmaNi anaxyawana BUwakAla	vi-luB1{karwari;laf;pra;bahu;parasmEpaxI;luBaz;:xivAxiH}Nijanwa	aBihiwa_karwA,9;sakarmaka	luBAyA/ viloBiwa kiyA	@Lured	-	-	-	-
