@anvaya_@no	@word	@poem	@sandhied_@word	@morph_@analysis	@morph_@in_@context	@kaaraka_@sambandha	@hindi_@meaning	@english_@meaning	@samAsa	@prayoga	@sarvanAma	@name_@classification

1	yiyakRoH	1	guroryiyakRoH	yiyakRa{puM;6;eka}	yiyakRa{puM;6;eka}	viSeRaNam,2	yajFa karane kI icCAvAle	@anxious @to @complete @the @sacrifice	-	yaRtum icCuka-san prawyaya	-	-
2	guroH	-	-	guru{puM;5;eka}/guru{puM;6;eka}	guru{puM;6;eka}	RaRTIsambanXaH,4	guru sagara ke	@of @their @father @Sagara	-	-	-	-
3	meXye	3	meXye	meX1{BAve;lat;u;eka;AwmanepaxI;meXqz;:BvAxiH}/meXya{napuM;8;xvi}/meXyA{swrI;8;eka}/meXyA{swrI;8;xvi}/meXya{puM;7;eka(meX1;Nyaw;meXqz;:BvAxiH)}/meXya{napuM;1;xvi(meX1;Nyaw;meXqz;:BvAxiH)}/meXya{napuM;2;xvi(meX1;Nyaw;meXqz;:BvAxiH)}/meXya{napuM;7;eka(meX1;Nyaw;meXqz;:BvAxiH)}/meXyA{swrI;1;xvi(meX1;Nyaw;meXqz;:BvAxiH)}/meXyA{swrI;2;xvi(meX1;Nyaw;meXqz;:BvAxiH)}	meXya{puM;7;eka(meX1;Nyaw;meXqz;:BvAxiH)}	viSeRaNam,4	aSvameXIya	@sacrificial 	-	-	-	-
4	wurafge	5	wurafge	wurafga{puM;7;eka}	wurafga{puM;7;eka}	muKyakarma,7	Gode 	@steed	-	-	-	-
5	kapilena	2	kapilena	kapila{puM;3;eka}	kapila{puM;3;eka}	karwA,7	kapilamuni xvArA	@by @Kapila @rishi.	-	-	-	-
6	rasAwalam	4	rasAwalamsaMkramiwe	rasAwala{napuM;1;eka}/rasAwalanapuM;2;eka}	rasAwala{napuM;2;eka}	gONakarma,7	pAwAla loka meM	@to @nether @world	rasAyAH walamiwi-	-	-	-
7	saMkramiwe	-	-	safkramiwa{puM;7;eka} 	safkramiwa{puM;7;eka} 	aXikaraNam,8	bAzXaliye jAwe hI	@it @has @been @taken @away	-	-	-	-
8	(sawi)	-	(-)	sawI{swrI;8;eka}/saw{puM;7;eka}/saw{puM;7;eka(as2;Sawq_lat;asaz;:axAxiH)}/saw{napuM;7;eka(as2;Sawq_lat;asaz;:axAxiH)}	saw{napuM;7;eka(as2;Sawq_lat;asaz;:axAxiH)}	BAvalakRaNasapwamI_pUrvakAlaH,13	usI samaya	@when	-	sawi sapwami	-	-
9	waw-arWam	6	waxarWamurvImavaXArayaBxiH	waxarWa{puM;2 ;ka}/waxarWa{napuM;1;eka}/waxarWa{napuM;2;eka}	waxarWa{napuM;2 ;eka}	prayojanam,13	usa (Gode) kelie	@in @search @of @that	-	-	We sacriqicial horse	-
10	naH	9	naH	asmax{sarvanAma;2;bahu}/asmax{sarvanAma;4;bahu}/asmax{sarvanAma;6;bahu}/nq{puM;8;eka}	asmax{sarvanAma;6;bahu}	RaRTIsambanXaH,11	hamArA	@our	-	-	-	-
11	pUrvEH	7	pUrvEH	pUrva{puM;3;bahu}/pUrva{sarvanAma;puM;3;bahu}/pUrva{sarvanAma;napuM;3;bahu}	pUrva{sarvanAma;napuM;3;bahu}	karwA,15	pUrvajoM ke xvArA	@ancestors	-	-	-	-
12	urvIm	-	-	urvI{swrI;2;eka}	urvI{swrI;2;eka}	karma,13	BUmi	@this @earth	-	-	-	-
13	avaxArayaxBiH	-	-	avaxArayaw{puM;3;bahu(ava-xq;Nijanwa;Sawq_xqq vixAraNe;kryAxiH)}/avaxArayaw{napuM;3;bahu(ava-xq;Nijanwa;Sawq_xqq vixAraNe;kryAxiH)}	avaxArayaw{puM;3;bahu(ava-xq;Nijanwa;Sawq_xqq vixAraNe;kryAxiH)}	viSeRaNam,11	Koxe hue	@excavated	-	-	-	-
14	ayam	-	-	ixam{sarvanAma;puM;1;eka}/aya{puM;2;eka}	ixam{sarvanAma;puM;1;eka}	viSeRaNam,15	yaha	@this	-	-	-	-
15	parivarXiwaH	-	-	parivarXiwa{puM;1;eka(vqX1;kwa;vqXuz;:BvAxiH)}	parivarXiwa{puM;1;eka(vqX1;kwa;vqXuz;:BvAxiH)}	karwA,16	(samunxara) banA	@developed (@into @an @ocean)	-	-	-	-
16	(Bavawi)	-	(-)	BU1{karwari;lat;pra;eka;parasmEpaxI;BU;:BvAxiH}/BavawI{swrI;8;eka}/Bavaw{sarvanAma;puM;7;eka}/Bavaw{puM;7;eka}	BU1{karwari;lat;pra;eka;parasmEpaxI;BU;:BvAxiH}	aBihiwa_karwA,15;sakarmaka	huA hE	@exists	-	-	-	-
17	kila	8	kilAyamparivarXiwo	-	-	sambanXaH,16	kaWiwa wOra para	@It @is @said 	-	-	-	-
