@anvaya_@no	@word	@poem	@sandhied_@word	@morph_@analysis	@morph_@in_@context	@kaaraka_@sambandha	@hindi_@meaning	@english_@meaning	@samAsa	@prayoga	@sarvanAma	@name_@classification

1	rAjFA	2	rAjFA	rAjan{puM;3;eka}	rAjan{puM;3;eka}	hewuH,2	rAjA_se	-	-	-	-	-
2	pqRta-nAma-anvayaH	1	pqRtanAmAnvayo	praC1{kwa;praCaz;:wuxAxiH}/pqR1{kwa;pqRuz;:BvAxiH-nAma;avya-anvaya;puM;1;eka}/anvaya{puM;1;eka(i1;GaF;iN;:axAxiH)}	pqRta-nAma-anvaya{puM;1;eka}	viSeRaNam,4	-	-	-	-	-	-
3	XUmapaH	5	XUmapaH	XUmapaH}	XUmapa{puM;1;eka}	viSeRaNam,4	-	-	-	-	-	-
4	saH	3	sa	wax{sarvanAma;puM;1;eka}	wax{sarvanAma;puM;1;eka}	karwA,10	vaha	-	-	-	-	-
5	AwmAnam	6	AwmAnam	Awman{puM;2;eka}	Awman{puM;2;eka}	viSeRaNam,9	AwmA_ko	-	-	-	-	-
6	sura-paxa-arWinam	10	surapaxArWinam	sura-paxa-arWin{puM;2;eka}	sura-paxa-arWin{puM;2;eka}	viSeRaNam,9	xeva-pEra-yAcaka_ko	-	-	-	-	-
7	Sambukam	7	Sambukam	SambUka{puM;2;eka}	SambUka{puM;2;eka}	saFjFA,8	SambUka_ko	-	-	-	-	-
8	nAma	8	nAma	nAma{avya}	nAma{avya}	saFjFA_xyowakaH,9	nAmaka	-	-	-	-	-
9	SUxram	9	SUxram	SUxra{puM;2;eka}	SUxra{puM;2;eka}	karma,10	SUxra_ko	-	-	-	-	-
10	AcaRta	4	kilAcaRta	Af_cakR1{karwari;laf;pra;eka;AwmanepaxI;cakRizf;:axAxiH}	Af_cakR1{karwari;laf;pra;eka;AwmanepaxI;cakRizf;:axAxiH}	aBihiwa_karwA,4;sakarmaka	Af_cakR1_ap_skyA	-	-	-	-	-
11	kila	-	-	kila{avya}/kil1{karwari;lot;ma;eka;parasmEpaxI;kilaz;:wuxAxiH}	kila{avya}	sambanXaH,10	-	-	-	-	-	-
