@anvaya_@no	@word	@poem	@sandhied_@word	@morph_@analysis	@morph_@in_@context	@kaaraka_@sambandha	@hindi_@meaning	@english_@meaning	@samAsa	@prayoga	@sarvanAma	@name_@classification

2	puranxaraH	-	puranxaraH	puranxara{puM;1;eka}	puranxara{puM;1;eka}	karwA,7	puranxara	-	-	-	-	-
3	Sawa-kotinA	-	Sawa-kotinA	Sawa-koti{puM;3;eka}/koti{napuM;3;eka}	Sawa-koti{puM;3;eka}	viSeRaNam,4	sO-koti	-	-	-	-	-
4	kuliSena	-	kuliSena	kuliSa{puM;3;eka}	kuliSa{puM;3;eka}	hewuH,7	kuliSa_se	-	-	-	-	-
5	SiKariNAM	-	SiKariNAM	SiKarin{puM;6;bahu}	SiKarin{puM;6;bahu}	RaRTIsambanXaH,6	pahAd@ZI_xurgoM_kA	-	-	-	-	-
6	Samiwa-pakRa-balaH	-	Samiwa-pakRa-balaH	Samiwa-pakRa-bala{puM;1;eka}	Samiwa-pakRa-bala{puM;1;eka}	karwqsamAnAXikaraNam,7	prasanna_kiyA_gayA-pakRa-	-	-	-	-	-
7	(aswi)	-	(aswi)	as2{karwari;lat;pra;eka;parasmEpaxI;asaz;:axAxiH}	as2{karwari;lat;pra;eka;parasmEpaxI;asaz;:axAxiH}	aBihiwa_karwA,2	hE	-	-	-	-	-
9	nava-wAmarasa-AnanaH	-	nava-wAmarasa-AnanaH	nava-wAmarasa-Anana{puM;1;eka}	nava-wAmarasa-Anana{puM;1;eka}	viSeRaNam,10	nava-wAmarasa-muKa	-	-	-	-	-
10	saH	-	saH	wax{sarvanAma;puM;1;eka}	wax{sarvanAma;puM;1;eka}	karwA,7	vaha	-	-	-	-	-
11	Sara-vqRti-mucA	-	Sara-vqRti-mucA	Sara-vqRti-mucA{puM;3;eka}/Sara-vqRti-mucA{swrI;3;eka}	Sara-vqRti-mucA{swrI;3;eka}	viSeRaNam,13	-	-	-	-	-	-
12	svanavawA	-	svanavawA	svanavaw{napuM;3;eka}	svanavaw{napuM;3;eka}	viSeRaNam,13	-	-	-	-	-	-
13	XanuRA	-	XanuRA	XanuR{napuM;3;eka}	XanuR{napuM;3;eka}	karaNam,15	-	-	-	-	-	-
14	xviRAM	-	xviRAM	xviR{puM;6;eka}	xviR{puM;6;eka}	RaRTIsambanXaH,15	-	-	-	-	-	-
15	Samiwa-pakRa-balaH	-	Samiwa-pakRa-balaH	Samiwa-pakRa-bala{puM;1;eka}	Samiwa-pakRa-bala{puM;1;eka}	karwqsamAnAXikaraNam,16	prasanna_kiyA_gayA-pakRa-	-	-	-	-	-
16	(aswi)	-	(aswi)	as2{karwari;lat;pra;eka;parasmEpaxI;asaz;:axAxiH}	as2{karwari;lat;pra;eka;parasmEpaxI;asaz;:axAxiH}	aBihiwa_karwA,10	hE	-	-	-	-	-
