@anvaya_@no	@word	@poem	@sandhied_@word	@morph_@analysis	@morph_@in_@context	@kaaraka_@sambandha	@hindi_@meaning	@english_@meaning	@samAsa	@prayoga	@sarvanAma	@name_@classification

1	uwWApiwaH	-	uwWApiwaH	uw_RWA1{Nijanwa;kwa;RWA;:BvAxiHuw_sWApiwa;puM;1;eka}	uw_RWA1{Nijanwa;kwa;RWA;:BvAxiHuw_sWApiwa;puM;1;eka}	viSeRaNam,3	uTAyA_huA	-	-	-	-	-
2	saMyawi	-	saMyawi	saMyaw{puM;7;eka}/saMyaw{napuM;7;eka}/saMyaw{swrI;7;eka}	saMyaw{swrI;7;eka}	aXikaraNam,1	yuxXa_meM	-	-	-	-	-
3	reNuH	-	reNuH	reNu{puM;1;eka}/reNu{swrI;1;eka}	reNu{puM;1;eka}	karwA,10	parAga	-	-	-	-	-
4	aSvEH	-	aSvEH	aSva{puM;3;bahu}	aSva{puM;3;bahu}	karwA,1	aSvoM_se	-	-	-	-	-
5	sAnxrI-kqwaH	-	kqwaH	kqwa{puM;1;eka(kq3;kwa;dukqF;:wanAxiH)}	kqwa{puM;1;eka(kq3;kwa;dukqF;:wanAxiH)}	viSeRaNam,3	nirmiwa	-	-	-	-	-
6	syanxana-vaMSa-cakrEH	-	syanxana-vaMSa-cakrEH	syanxana-vaMSa-cakra{napuM;3;bahu}	syanxana-vaMSa-cakra{napuM;3;bahu}	karwA,5	raWa-vaMSa-cakroM_se	-	-	-	-	-
7	viswAriwaH	-	viswAriwaH	viswAriwa{puM;1;eka}	viswAriwa{puM;1;eka}	viSeRaNam,3	-	-	-	-	-	-
8	kuFjara-karNa-wAlEH	-	kuFjara-karNa-wAlEH	kuFjara-karNa-wAla{puM;3;bahu}	kuFjara-karNa-wAla{puM;3;bahu}	karwA,7	hAWI-karNa-wAloM_ke_xvArA	-	-	-	-	-
9	newra-krameNa	-	newra-krameNa	newra-krama{puM;3;eka}	newra-krama{puM;3;eka}	kriyAviSeRaNam,10	newra-krama_se	-	-	-	-	-
10	uparuroXa	-	uparuroXa	upa_ruX1{karwari;lit;pra;eka;parasmEpaxI;ruXizr;:ruXAxiH}/upa_ruX1{karwari;lit;u;eka;parasmEpaxI;ruXizr;:ruXAxiH}	upa_ruX1{karwari;lit;pra;eka;parasmEpaxI;ruXizr;:ruXAxiH}	aBihiwa_karwA,3;sakarmaka	GerA	-	-	-	-	-
11	sUryam	-	sUryam	sUrya{puM;2;eka}	sUrya{puM;2;eka}	karma,10	sUrya	-	-	-	-	-
