@anvaya_@no	@word	@poem	@sandhied_@word	@morph_@analysis	@morph_@in_@context	@kaaraka_@sambandha	@hindi_@meaning	@english_@meaning	@samAsa	@prayoga	@sarvanAma	@name_@classification

1	(saH)	-	(-)	wax{sarvanAma;puM;1;eka}	wax{sarvanAma;puM;1;eka}	karwA,12	vaha	-	-	-	xaSaraWaH	-
2	aWa	1	-	aWa{avya}	aWa{avya}	sambanXaH,12	Ora	-	-	-	-	-
3	jAwu	2	-	jAwu{avya}	jAwu{avya}	kAlAXikaraNam,12	kaBI	-	-	-	-	-
4	ruroH	3	rurorgqhIwavarwmA	ruru{puM;6;eka}/ruru{puM;5;eka}	ruru{puM;6;eka}	RaRTIsambanXaH,5	ruroH-grqhIwa-varwman	-	-	-	-	-
5	gqhIwa-varwmA	-	-	gqhIwa-varwman{puM;1;eka}	gqhIwa-varwman{puM;1;eka}	viSeRaNam,1	-	-	-	-	-	-
6	vipine	5	-	vipina{napuM;1;xvi}/vipina{napuM;2;xvi}/vipina{napuM;8;xvi}/vipina{napuM;7;eka}	vipina{napuM;7;eka}	xeSAXikaraNam,12	jaMgala_meM	-	-	-	-	-
7	pArSvacarEH	6	pArSvacarEralakRyamANaH	pArSvacara{puM;3;bahu}	pArSvacara{puM;3;bahu}	karwA,8	pArSvacaroM_se	-	-	-	-	-
8	a-lakRyamANaH	-	-	a-lakRyamANa{puM;1;eka(a-lakR1;SAnac_lat;karmaNi;lakRaz;:curAxiH)}/a-lakRyamANa{puM;1;eka(lakR2;SAnac_lat;karmaNi;lakRaz;:curAxiH)}	a-lakRyamANa{puM;1;eka(a-lakR2;SAnac_lat;karmaNi;lakRaz;:curAxiH)}	viSeRaNam,1	a-	-	-	-	-	-
9	Srama-PenamucA	8	-	Srama-PenamucA-wurafgama{puM;3;eka}	Srama-PenamucA-wurafgama{puM;3;eka}	viSeRaNam,13	Srama-PenamucA-wurafgama_se	-	-	-	-	-
10	wapasvi-gADAm	9	-	wapasvi-gADA{swrI;2;eka(wapasvi-gAh1;kwa;gAhUz;:BvAxiH)}	wapasvi-gADA{swrI;2;eka(wapasvi-gAh1;kwa;gAhUz;:BvAxiH)}	viSeRaNam,13	wapasvi-naRta_kI_huI	-	-	-	-	-
11	wamasAM	10	-	wamasA{swrI;2;eka}	wamasA{swrI;2;eka}	aBexaH,13	wamasA	-	-	-	wamasA naxI	-
12	prApa	11	-	pra_Ap1{karwari;lit;ma;bahu;parasmEpaxI;ApLz;:svAxiH}/pra_Ap1{karwari;lit;pra;eka;parasmEpaxI;ApLz;:svAxiH}/pra_Ap1{karwari;lit;u;eka;parasmEpaxI;ApLz;:svAxiH}	pra_Ap1{karwari;lit;pra;eka;parasmEpaxI;ApLz;:svAxiH}	aBihiwa_karwA,1;sakarmaka	prApwa_huA	-	-	-	-	-
13	naxIM	12	-	naxI{swrI;2;eka}	naxI{swrI;2;eka}	karma,12	naxI	-	-	-	-	wamasA naxI
14	wurafgameNa	13	-	wurafgama{puM;3;eka}	wurafgama{puM;3;eka}	karaNam,12	wurafgama_se	-	-	-	-	-
