@anvaya_@no	@word	@poem	@sandhied_@word	@morph_@analysis	@morph_@in_@context	@kaaraka_@sambandha	@hindi_@meaning	@english_@meaning	@samAsa	@prayoga	@sarvanAma	@name_@classification

1	AkarNa-kqRtA	-	AkarNa-kqRtA	AkarNa-kqRtA{swrI;1;eka(AkarNa-kqR2;kwa;kqRaz;:wuxAxiH)}/AkarNa-kqRtA{swrI;1;eka(kqR1;kwa;kqRaz;:BvAxiH)}	AkarNa-kqRtA{swrI;1;eka(AkarNa-kqR2;kwa;kqRaz;:wuxAxiH)}	viSeRaNam,4	AkarNa-kqRi_kiyA_huA	-	-	-	-	-
2	sakqw	-	sakqw	sakqw{avya}/sakqw{puM;1;eka}/sakqw{puM;8;eka}	sakqw{puM;1;eka}	viSeRaNam,1	mala	-	-	-	-	-
3	asya	-	asya	ixam{sarvanAma;puM;6;eka}/ixam{sarvanAma;napuM;6;eka}/as3{karwari;lot;ma;eka;parasmEpaxI;asuz;:xivAxiH}	ixam{sarvanAma;puM;6;eka}	viSeRaNam,5	isakI	-	-	-	-	-
4	mOrvIH	-	mOrvIH	mOrvI{swrI;1;eka}	mOrvI{swrI;2;bahu}	karwA,8	mOrviyoM_ko	-	-	-	-	-
5	yoxXuH	-	yoxXuH	yoxXq{puM;5;eka(yuX1;wqc;yuXaz;:xivAxiH)}/yoxXq{puM;6;eka(yuX1;wqc;yuXaz;:xivAxiH)}/yoxXq{napuM;5;eka(yuX1;wqc;yuXaz;:xivAxiH)}/yoxXq{napuM;6;eka(yuX1;wqc;yuXaz;:xivAxiH)}	yoxXq{napuM;6;eka(yuX1;wqc;yuXaz;:xivAxiH)}	RaRTIsambanXaH,1	-	-	-	-	-	-
6	ripuGnAn	-	ripuGnAn	ripuGna{puM;2;eka}	ripuGna{puM;2;eka}	viSeRaNam,7	ripuGnAn-bANa	-	-	-	-	-
7	bANAn	-	bANAn	bANa{puM;2;eka}	bANa{puM;2;eka}	karma,8	ripuGnAn-bANa	-	-	-	-	-
8	suRuve	-	suRuve	RU1{karwari;lit;pra;eka;AwmanepaxI;RUf;:axAxiH}/RU1{karwari;lit;u;eka;AwmanepaxI;RUf;:axAxiH}/RU1{karmaNi;lit;pra;eka;AwmanepaxI;RUf;:axAxiH}/RU1{karmaNi;lit;u;eka;AwmanepaxI;RUf;:axAxiH}/RU2{karwari;lit;pra;eka;AwmanepaxI;RUf;:xivAxiH}/RU2{karwari;lit;u;eka;AwmanepaxI;RUf;:xivAxiH}/RU2{karmaNi;lit;pra;eka;AwmanepaxI;RUf;:xivAxiH}/RU2{karmaNi;lit;u;eka;AwmanepaxI;RUf;:xivAxiH}/Ru2{karmaNi;lit;pra;eka;AwmanepaxI;Ru;:axAxiH}/Ru2{karmaNi;lit;u;eka;AwmanepaxI;Ru;:axAxiH}/Ru3{karwari;lit;pra;eka;AwmanepaxI;RuF;:svAxiH}/Ru3{karwari;lit;u;eka;AwmanepaxI;RuF;:svAxiH}/Su1{karmaNi;lit;pra;eka;AwmanepaxI;Su;:BvAxiH}/Su1{karmaNi;lit;u;eka;AwmanepaxI;Su;:BvAxiH}	Ru3{karwari;lit;pra;eka;AwmanepaxI;RuF;:svAxiH}	aBihiwa_karwA,1;sakarmaka	Ru3_ap_skyA	-	-	-	-	-
9	iva	-	iva	iva{avya}	iva{avya}	sambanXaH,8	jEse	-	-	-	-	-
