@anvaya_@no	@word	@poem	@sandhied_@word	@morph_@analysis	@morph_@in_@context	@kaaraka_@sambandha	@hindi_@meaning	@english_@meaning	@samAsa	@prayoga	@sarvanAma	@name_@classification

1	SvagaNi-vAgurikEH	1	-	SvagaNi-vAgurikEH{napuM;3;bahu}	SvagaNi-vAgurikEH{napuM;3;bahu}	hewuH,2	-	-	-	-	-	-
2	praWamAsWiwam	2	-	praWama{swrI;1;eka}	praWama-sWiwa{napuM;2;eka(RWA1;kwa;RWA;:BvAxiH)}	viSeRaNam,9	praWama sWiwa_ko	-	-	-	-	-
3	vi-apa-gawA-anala-xasyu	3	-	vi-apa-gawA-anala-xasyu{napuM;2;eka}/xasyu{napuM;1;eka}	vi-apa-gawA-anala-xasyu{napuM;2;eka}	viSeRaNam,9	gam-Aga-xasyu_ko	-	-	-	-	-
4	viveSa	4	-	viS1{karwari;lit;pra;eka;parasmEpaxI;viSaz;:wuxAxiH}/viS1{karwari;lit;u;eka;parasmEpaxI;viSaz;:wuxAxiH}	viS1{karwari;lit;pra;eka;parasmEpaxI;viSaz;:wuxAxiH}	aBihiwa_karwA,5;sakarmaka	X_viS1_pp_skyA	-	-	-	-	-
5	saH	5	-	wax{sarvanAma;puM;1;eka}	wax{sarvanAma;puM;1;eka}	karwA,4	usane	-	-	-	-	-
6	sWira-wurafgama-BUmi	6	-	sWira-wurafgama-BUmi{napuM;1;eka}/{napuM;2;eka}	sWira-wurafgama-BUmi{napuM;2;eka}	viSeRaNam,9	-	-	-	-	-	-
7	nipAna-vaw	7	nipAnavanmqgavayogavayopaciwam 	nipAnavaw{napuM;1;eka}/{napuM;2;eka}	nipAnavaw{napuM;2;eka}	viSeRaNam,9	nipAna-	-	-	-	-	-
8	mqga-vayo-gavaya-upaciwam	-	-	mqga-vayaH-gavaya-upaciwa{napuM;1;eka}/{napuM;2;eka}	mqga-vayaH-gavaya-upaciwa{napuM;2;eka}	viSeRaNam,9	-	-	-	-	-	-
9	vanam	9	-	vana{napuM;2;eka}/vana{napuM;1;eka}	vana{napuM;2;eka}	karma,4	vana_ko	-	-	-	-	-
