index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active

1.1	कः		कः	किम्{सर्वनाम;पुं;1;एक}	किम्{सर्वनाम;पुं;1;एक}	विशेषणम्,3.1	विशेषणम्,5.1#विशेषणम्,3.1#कर्ता_बे_वेर्ब्स्,7.1	N1	कौन	कौन
2.1	अपि		अपि	अपि{अव्य}	अपि{अव्य}	सम्बन्धः,1.1	सम्बन्धः,1.1	NA	भी	भी
3.1	अधर्मः		अधर्मः	अधर्म{पुं;1;एक}	अधर्म{पुं;1;एक}	कर्ता,7.1	कर्ता_बे_वेर्ब्स्,7.1	N1	अधर्म	अधर्म
4.1	असत्यात्		असत्यात्	असत्य{नपुं;5;एक}	असत्य{नपुं;5;एक}	विभक्तम्,5.1	विभक्तम्,5.1#हेतुः5,7.1	N5	झूठ_से	झूठ_से
5.1	परः		परः	पर{सर्वनाम;पुं;1;एक}	पर{सर्वनाम;पुं;1;एक}	विधेय_विशेषणम्,3.1	विधेय_विशेषणम्,3.1#विधेय_विशेषणम्,1.1#कर्ता_बे_वेर्ब्स्,7.1	N1	पर	पर
6.1	न		न	न{अव्य}	न{अव्य}	प्रतिषेधः,7.1	प्रतिषेधः,7.1	NA	नहीं	नहीं
7.1	अस्ति		अस्ति	अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;अदादिः}	अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;अदादिः}	अभिहित_कर्ता,3.1	-	KP	है	है
8.1	.		.	-	-	-	-	FS	-	-

