index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
										
1.1	निरूहः		निरूहः	निरूह{पुं;1;एक}	निरूह{पुं;1;एक}	घटकः,6.2	घटकः,6.2	N1		
2.1	वमनं		वमनं	वमन{नपुं;1;एक(वम्1;ल्युट्;भ्वादिः)}/वमन{नपुं;2;एक(वम्1;ल्युट्;भ्वादिः)}	वमन{नपुं;1;एक(वम्1;ल्युट्;भ्वादिः)}	घटकः,6.2	घटकः,6.2	N1	उल्टी	उल्टी
3.1	काय-		काय-शिरः	काय	काय	इतरेतर-द्वन्द्वः,3.2	इतरेतर-द्वन्द्वः,3.2	CP	काय-	काय-
3.2	शिरः-		शिरः-	शिरः-	शिरः-	षष्ठी-तत्पुरुषः,3.3	षष्ठी-तत्पुरुषः,3.3	CP	शिर	शिर
3.3	रेकः		रेकः	रेक{पुं;1;एक}	रेक{पुं;1;एक}	घटकः,6.2	घटकः,6.2	N1		
5.1	अस्र-		अस्र-विस्रुतिः	अस्र	अस्र	इतरेतर-द्वन्द्वः,5.2	इतरेतर-द्वन्द्वः,5.2	CP	अस्र-	अस्र-
5.2	विस्रुतिः		विस्रुतिः	विस्रुति{स्त्री;1;एक}/विस्रुति{पुं;1;एक}	विस्रुति{स्त्री;1;एक}	घटकः,6.2	घटकः,6.2	N1	विस्रुति	विस्रुति
6.2	(शोधनं)		(कर्माणि)	शोधन{नपुं;1;बहु}	शोधन{नपुं;1;बहु}	कर्ता,7.1	कर्ता,7.1	N1		
7.1	(अस्ति)		(अस्ति)	अस्2{कर्तरि;लट्;प्र;एक;परस्मैपद;अदादिः}	अस्2{कर्तरि;लट्;प्र;एक;परस्मैपद;अदादिः}	अभिहित_कर्ता,6.2	अभिहित_कर्ता,6.2	KP		
										
