index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
										
1.1	अस्मात्	1.1	अस्मात्	इदम्{सर्वनाम;पुं;5;एक}/इदम्{सर्वनाम;नपुं;5;एक}	इदम्{सर्वनाम;पुं;5;एक}	हेतुः,5.1	हेतुः,5.1	N5	इससे	इससे
2.1	च	2.1	च	च{अव्य}	च{अव्य}	सम्बन्धः,1.1	समुच्चय_द्योतकः,8.1#सम्बन्धः,8.1#सम्बन्धः,1.1	NA	और	और
3.1	वृद्धि-	5.1	वृद्धि-क्षय-समुद्भवान्	वृद्धि	वृद्धि	इतरेतर-द्वन्द्वः,3.2	इतरेतर-द्वन्द्वः,3.2	CP	वृद्धि-	वृद्धि-
3.2	क्षय-	5.2	--	क्षय	क्षय	बहुव्रीहिः,3.3	बहुव्रीहिः,3.3	CP	क्षय-	क्षय-
3.3	समुद्भवान्	5.3	--	समुद्भव{पुं;2;बहु}	समुद्भव{पुं;2;बहु}	विशेषणम्,4.1	कर्म,11.1#विशेषणम्,4.1	N2	जन्मों_को	जन्मों_को
4.1	विकारान्	6.1	विकारान्	विकार{पुं;2;बहु}/विकार{पुं;2;बहु(वि_कॄ1;घञ्;तुदादिः)}/विकार{पुं;2;बहु(वि_कृ3;घञ्;तनादिः)}/विकार{पुं;2;बहु(वि_कृ2;घञ्;स्वादिः)}	विकार{पुं;2;बहु}	कर्म,5.1	विशेषणम्,8.2#कर्म,5.1#कर्म,2.1	N2	दोष	दोष
5.1	साधयेत्	9.1	साधयेत्	षिद्1{णिजन्त;कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;भ्वादिः}	षिद्1{णिजन्त;कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;भ्वादिः}	-	-	KP		
6.1	शीघ्रम्	15.1	शीघ्रम्	शीघ्रम्{अव्य}	शीघ्रम्{अव्य}	क्रियाविशेषणम्,16.1	क्रियाविशेषणम्,16.1	NA	शीघ्र	शीघ्र
7.1	क्रमात्	7.1	क्रमात्	क्रम{पुं;5;एक}	क्रम{पुं;5;एक}	क्रियाविशेषणम्,5.1	हेतुः5,12.1#हेतुः5,5.1#अपादानम्,12.1#हेतुः,2.1#क्रियाविशेषणम्,,5.1	N5	क्रम_से	क्रम_से
8.1	लङ्घन-	8.1	लङ्घन-बृंहणैः	लङ्घन(लघ्1;ल्युट्;भ्वादिः)}/लङ्घन(लघ्2{ल्युट्;भ्वादिः)	लङ्घन(लघ्1;ल्युट्;भ्वादिः)	इतरेतर-द्वन्द्वः,8.2	इतरेतर-द्वन्द्वः,8.2	CP		
8.2	बृंहणैः	8.2	--	बृंहण{नपुं;3;बहु}/बृंहण{पुं;3;बहु}	बृंहण{नपुं;3;बहु}	करणम्,5.1	विशेषणम्,10.1#हेतुः,12.1#हेतुः,2.1#करणम्,5.1	N3	चिघांडने_का_शब्द	चिघांडने_का_शब्द
9.1	वायोः	3.1	वायोः	वायु{पुं;5;एक}/वायु{पुं;6;एक}	वायु{पुं;5;एक}	अपादानम्,5.1	षष्ठीसम्बन्धः,8.2#अपादानम्,5.1	N5	हवा_से	हवा_से
10.1	अन्यत्र	4.1	अन्यत्र	अन्यत्र{अव्य}	अन्यत्र{अव्य}	देशाधिकरणम्,5.1	देशाधिकरणम्,5.1	NA	अन्यत्र	अन्यत्र
11.1	तत्-	10.1	तत्-जान्	तत्	तत्	कर्मधारयः,11.2	कर्मधारयः,11.2	CP	तत्-	तत्-
11.2	जान्	10.2	--	ज{पुं;2;बहु}	ज{पुं;2;बहु}	कर्म,16.1	विशेषणम्,1.1#कर्म,16.1	N2	उत्पन्न_को	उत्पन्न_को
12.1	तु	11.1	तु	तु{अव्य}	तु{अव्य}	सम्बन्धः,11.2	सम्बन्धः,8.2#सम्बन्धः,8.1#सम्बन्धः,11.2	NA	तो	तो
13.1	तैः	12.1	तैः	तद्{सर्वनाम;पुं;3;बहु}/तद्{सर्वनाम;नपुं;3;बहु}	तद्{सर्वनाम;नपुं;3;बहु}	विशेषणम्,15.2	विशेषणम्,12.2#विशेषणम्,15.2	N3	उनसे	उनसे
14.1	एव	13.1	एव	एव{अव्य}	एव{अव्य}	सम्बन्धः,15.2	सम्बन्धः,15.2	NA	ही	ही
15.1	उत्क्रम-	14.1	उत्क्रम-योजितैः	उत्क्रम(उत्_क्रम्1;घञ्;भ्वादिः)	उत्क्रम(उत्_क्रम्1;घञ्;भ्वादिः)	तृतीया-तत्पुरुषः,15.2	तृतीया-तत्पुरुषः,15.2	CP		
15.2	योजितैः	14.2	--	योजित{नपुं;3;बहु}/योजित{पुं;3;बहु}	योजित{पुं;3;बहु}	करणम्,16.1	विशेषणम्,5.2#करणम्,16.1	N3	-	-
16.1	(साधयेत्)	16.1	(साधयेत्)	षिद्1{णिजन्त;कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;भ्वादिः}	षिद्1{णिजन्त;कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;भ्वादिः}	-	-	KP		
17.1	.	17.1	.	--	--	--	--	FS	-	-
