index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
1	wawaH		wawaswenEva	wawaH{avya}	wawaH{avya}	sambanXaH,6	vahAz_se					
2	wena			wax{sarvanAma;puM;3;eka}/wax{sarvanAma;napuM;3;eka}/wan1{karwari;lit;ma;bahu;parasmEpaxI;wanuz;:wanAxiH}	wax{sarvanAma;puM;3;eka}	viSeRaNam,4	usase					
3	eva			eva{avya}	eva{avya}	sambanXaH,4	hI					
4	Sokena		Sokena	Soka{puM;3;eka}	Soka{puM;3;eka}	hewuH,6	Soka_se					
5	gqXraM		gqXraM	gqXra{puM;2;eka}/gqXra{napuM;1;eka}/gqXra{napuM;2;eka}	gqXra{puM;2;eka}	karma,6	loBI_ko					
6	xagXvA		xagXvA	xah1{avya;kwvA;xahaz;:BvAxiH}	xah1{avya;kwvA;xahaz;:BvAxiH}	pUrvakAlaH,12						
7	jatAyuRam		jatAyuRam	jatAyus{puM;2;eka}	jatAyus{puM;2;eka}	viSeRaNam,5	jatAyus_ko					
8	mArgamANaH		mArgamANo	mArgamANa{puM;1;eka}	mArgamANa{puM;1;eka}	varwamAnasamAnakAlaH,12	mArgamANa					
9	vane		vane	vana{napuM;1;xvi}/vana{napuM;2;xvi}/vana{napuM;8;xvi}/vani{puM;8;eka}/vana{napuM;7;eka}	vana{napuM;7;eka}	aXikaraNam,8	vana					
10	sIwAM		sIwAM	sIwA{swrI;2;eka}	sIwA{swrI;2;eka}	karma,8	sIwA_ko					
11	rAkRasaM		rAkRasaM	rAkRasa{puM;2;eka}	rAkRasa{puM;2;eka}	karma,12	rAkRasa_ko					
12	saMxaxarSa		saMxaxarSa	sam_xqS1{karwari;lit;pra;eka;parasmEpaxI;xqSizr;:BvAxiH}/sam_xqS1{karwari;lit;u;eka;parasmEpaxI;xqSizr;:BvAxiH}	sam_xqS1{karwari;lit;pra;eka;parasmEpaxI;xqSizr;:BvAxiH}	aBihiwa_karwA,0;sakarmaka	sam_xqS1_pp_skyA					
13	ha		ha	ha{avya}	ha{avya}	sambanXaH,12	ha					
14	kabanXaM		kabanXaM	kabanXa{puM;2;eka}	kabanXa{puM;2;eka}	saFjFA,15	peta_ko					
15	nAma		nAma	nAma{avya}	nAma{avya}	saFjFAxyowakaH,11	nAmaka					
16	rUpeNa		rUpeNa	rUpa{napuM;3;eka}	rUpa{napuM;3;eka}	hewuH,17	rUpa_se					
17	vikqwaM		vikqwaM	vikqwa{puM;2;eka(kq3;kwa;dukqF;:wanAxiH)}/vikqwa{napuM;1;eka(kq3;kwa;dukqF;:wanAxiH)}/vikqwa{napuM;2;eka(kq3;kwa;dukqF;:wanAxiH)}/vikqwa{puM;2;eka(kq2;kwa;kqF;:svAxiH)}/vikqwa{napuM;1;eka(kq2;kwa;kqF;:svAxiH)}/vikqwa{napuM;2;eka(kq2;kwa;kqF;:svAxiH)}	vikqwa{puM;2;eka(kq3;kwa;dukqF;:wanAxiH)}	viSeRaNam,14						
18	GoraxarSanam		GoraxarSanam	GoraxarSana{puM;2;eka}/GoraxarSana{napuM;1;eka}/GoraxarSana{napuM;2;eka}	GoraxarSana{puM;2;eka}	viSeRaNam,14	GoraxarSana_ko		<Gora-xarSanam>Bs6			
