index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color	hindi_meaning	english_meaning	samAsa	prayoga
												
1.1	श्रेयः	3	श्रेयो	श्रेय{पुं;1;एक}/श्रेयस्{नपुं;1;एक}/श्रेयस्{नपुं;2;एक}/श्रेयस्{नपुं;8;एक}	श्रेयस्{नपुं;1;एक}	विधेय_विशेषणम्,3.1	कर्तृसमानाधिकरणम्,4.1.1	N1	श्रेष्ठ	better	-	-
2.1	हि	11	हि	हि{अव्य}	हि{अव्य}	सम्बन्धः,1.1	सम्बन्धः,4.1.1	NA	क्योंकि	certainly	-	-
3.1	ज्ञानम्	2	ज्ञानमभ्यासाञ्ज्ञानाद्ध्यानं	ज्ञान{नपुं;1;एक}/ज्ञान{नपुं;2;एक}	ज्ञान{नपुं;1;एक}	कर्ता,15.1	कर्ता,5.1	N1	ज्ञान	knowledge	-	-
4.1	अभ्यासात्	1		अभ्यास{पुं;5;एक}	अभ्यास{पुं;5;एक}	तुलना_बिन्दुः,1.1	तुलना_बिन्दुः,3.1	N5	मर्म_को_न_जानकर_किये_हुए_अभ्यास_से	by_practice	-	-
15.1	(अस्ति)	4		(अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;अदादिः})	(अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;अदादिः})	अभिहित_कर्ता,3.1;अकर्मकः.1	अभिहित_कर्ता,3.1;अकर्मकः.1	KP	(है)	is	-	-
5.1	ज्ञानात्	5		ज्ञान{नपुं;5;एक}	ज्ञान{नपुं;5;एक}	तुलना_बिन्दुः,6.1	तुलना_बिन्दुः,6.1	N5	ज्ञान_से	better_than_knowledge	-	-
6.1	ध्यानम्	6		ध्यान{नपुं;1;एक}/ध्यान{नपुं;2;एक}	ध्यान{नपुं;1;एक}	कर्ता,7.1	कर्ता,7.1	N1	ध्यान	meditation	-	-
7.1	विशिष्यते	7	विशिष्यते	विशिष्यता{स्त्री;1;द्वि}/विशिष्यता{स्त्री;2;द्वि}/विशिष्यता{स्त्री;8;एक}/विशिष्यता{स्त्री;8;द्वि}/वि_शास्1{कर्मणि;लट्;प्र;एक;आत्मनेपदी;शासुँ;अदादिः}/वि_शिष्2{कर्मणि;लट्;प्र;एक;आत्मनेपदी;शिषॢँ;रुधादिः}	वि_शास्1{कर्तरि;लट्;प्र;एक;आत्मनेपदी;वि_शासुँ;अदादिः}	अभिहित_कर्ता,6.1;अकर्मकः.1	अभिहितकर्ता,6.1;अकर्मकः.1	KP	श्रेष्ठ_है	especially_considered	-	-
8.1	ध्यानात्	8	ध्यानात्कर्मफलत्यागस्त्यागाच्छान्तिरनन्तरम्	ध्यान{नपुं;5;एक}	ध्यान{नपुं;5;एक}	तुलना_बिन्दुः,9.3	तुलना_बिन्दुः,9.3	N5	ध्यान_से	from_meditation	-	-
9.1	कर्म-	9		कर्म	कर्म	षष्ठी-तत्पुरुषः-,9.2	षष्ठी-तत्पुरुषः-,9.2	CP	सब_कर्मों_के_फल_का_त्याग	renunciation_of_the_results_of_fruitive_action	<<कर्म-फल>T6-त्यागः>T6	-
9.2	फल-	-	-	फल	फल	षष्ठी-तत्पुरुषः,9.3	षष्ठी-तत्पुरुषः,9.3	CP				-
9.3	त्यागः	-	-	त्याग{पुं;1;एक}	त्याग{पुं;1;एक}	कर्ता,10.1.1	कर्ता,9.1.1	N1				-
10.1.1	(विशिष्यते)	10		(विशिष्यता{स्त्री;1;द्वि}/विशिष्यता{स्त्री;2;द्वि}/विशिष्यता{स्त्री;8;एक}/विशिष्यता{स्त्री;8;द्वि}/वि_शास्1{कर्मणि;लट्;प्र;एक;आत्मनेपदी;शासुँ;अदादिः}/वि_शिष्2{कर्मणि;लट्;प्र;एक;आत्मनेपदी;शिषॢँ;रुधादिः})	(वि_शास्1{कर्तरि;लट्;प्र;एक;आत्मनेपदी;वि_शासुँ;अदादिः})	अभिहित_कर्ता,9.3;अकर्मकः.1	अभिहित_कर्ता,9.3;अकर्मकः.1	KP	(श्रेष्ठ_है)	especially_considered	-	-
10.1	त्यागात्	12		त्याग{पुं;5;एक}	त्याग{पुं;5;एक}	हेतुः,13.1	तुलना_बिन्दुः,11.1.1;हेतुः,13.1	N5	त्याग_से	by_such_renunciation	-	-
11.1	शान्तिः	14		शान्ति{स्त्री;1;एक}	शान्ति{स्त्री;1;एक}	कर्ता,13.1	कर्ता,12.1.1;कर्ता,13.1	N1	परम_शान्ति	thereafter	-	-
12.1	अनन्तरम्	13		अनन्तरम्{अव्य}/अनन्तर{पुं;2;एक}/अनन्तर{नपुं;1;एक}/अनन्तर{नपुं;2;एक}	अनन्तर{अव्य}	कालाधिकरणम्,13.1	कालाधिकरणम्,12.1.1;कालाधिकरणम्,13.1	NA	तत्काल_ही	peace	-	-
13.1	(भवति)	15		(भवत्{पुं;7;एक}/भवती{स्त्री;8;एक}/भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भू;भ्वादिः})	(भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भू;भ्वादिः})	अभिहित_कर्ता,11.1;अकर्मकः.1	अभिहित_कर्ता,11.1;अकर्मकः.1	KP	(होती_है)	is	-	-
