index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	english_meaning	samAsa	prayoga
												
1.1	मन्यसे	9	मन्यसे	मन्1{कर्मणि;लट्;म;एक;आत्मनेपदी;मनँ;दिवादिः}/मन्2{कर्मणि;लट्;म;एक;आत्मनेपदी;मनुँ;तनादिः}	मन्1{कर्तरि;लट्;म;एक;आत्मनेपदी;मनँ;दिवादिः}	अभिहित_कर्ता,8.1.1	अभिहित_कर्ता,8.1.1	KP	मानते_हैं	think	-	-
2.1	यदि	2	यदि	यदि{अव्य}	यदि{अव्य}	सम्बन्धः,1.1;नित्य_सम्बन्धः,10.1	सम्बन्धः,1.1;नित्य_सम्बन्धः,10.1	NA	यदि	if	-	-
3.1	तत्	4	तच्छक्यं	तद्{नपुं;1;एक}/तद्{नपुं;2;एक}	तद्{नपुं;2;एक}	कर्म,4.1	कर्म,4.1	N2	आपका_वह_रूप	that	-	-
4.1	द्रष्टुम्	5	द्रष्टुमिति	दृश्1{अव्य;तुमुन्;दृशिँर्;:भ्वादिः}	दृश्1{अव्य;तुमुन्;दृशिँर्;:भ्वादिः}	तुमुन्कर्म,5.1	तुमुन्कर्म,5.1	NA	देखा_जाना_शक्य_है	able_to_see	-	-
5.1	शक्यम्	6		शक्1{कृत्_प्रत्ययः:यत्;शक्लृँ;स्वादिः;नपुं;1;एक}	शक्1{कृत्_प्रत्ययः:यत्;शक्लृँ;स्वादिः;नपुं;1;एक}	वाक्यकर्म,1.1	वाक्यकर्म,1.1	N1	-	-	-	-
6.1	मया	3	मया	अस्मद्{सर्व;अ;3;एक}	अस्मद्{सर्व;अ;3;एक}	कर्ता,4.1	कर्ता,4.1	N3	मेरे_द्वारा	by_me	-	-
7.1	इति	7		इति{अव्य}	इति{अव्य}	वाक्यकर्म_द्योतकः,5.1	वाक्यकर्म_द्योतकः,5.1	NA	ऐसा	thus	-	-
8.1	प्रभो	1	प्रभो	प्रभु{पुं;8;एक}/प्रभु{नपुं;8;एक}	प्रभु{पुं;8;एक}	सम्बोध्यः,1.1	सम्बोध्यः,1.1	N8	हे_प्रभो	O_Lord	-	-
8.1.1	(त्वम्)	8	त्वमात्मानं	युष्मद्{सर्व;अ;1;एक}	युष्मद्{सर्व;अ;1;एक}	कर्ता,1.1	कर्ता,1.1	N1	आप	you	-	-
9.1	योग-	10	योगेश्वर	योग	योग	षष्ठी-तत्पुरुषः,9.2	षष्ठी-तत्पुरुषः,9.2	CP	हे_योगेश्वर	O_Lord_of_all_mystic_power	<योग-ईश्वर>T6	-
9.2	ईश्वर	-	-	ईश्वर{पुं;8;एक}	ईश्वर{पुं;8;एक}	सम्बोध्यः,13.1	सम्बोध्यः,13.1	N8				-
10.1	ततः	9	ततो	ततः{अव्य}	ततः{अव्य}	सम्बन्धः,13.1	सम्बन्धः,13.1	NA	तो	then	-	-
11.1	मे	13	मे	अस्मद्{सर्व;अ;6;एक}	अस्मद्{सर्व;अ;6;एक}	प्रयोजनम्,13.1	प्रयोजनम्,13.1	N6	मुझे	unto_me	-	-
12.1	त्वम्	12	त्वं	युष्मद्{सर्व;अ;1;एक}	युष्मद्{सर्व;अ;1;एक}	प्रयोजककर्ता,13.1	प्रयोजककर्ता,13.1	N1	आप	you	-	-
13.1	दर्शय	16	दर्शयात्मानमव्ययम्	दृश्1_णिच्{कर्तरि;लोट्;म;एक;परस्मैपदी;दृशिँर्_णिच्;भ्वादिः}	दृश्1_णिच्{कर्तरि;लोट्;म;एक;परस्मैपदी;दृशिँर्_णिच्;भ्वादिः}	अभिहित_कर्ता,6.1	अभिहित_कर्ता,6.1	KP	दर्शन_कराइये	show	-	-
14.1	आत्मानम्	15		आत्मन्{पुं;2;एक}	आत्मन्{पुं;2;एक}	प्रयोज्यकर्ता,13.1	प्रयोज्यकर्ता,13.1	N2	अपने	yourself	-	-
15.1	अ-	14		अ	अ	बहुव्रीहिः,15.2	बहुव्रीहिः ,15.2	CP	अविनाशी_स्वरूप_का	eternal	<न-व्ययम्>Bsmn	-
15.2	व्ययम्	-	-	व्यय{पुं;2;एक}/व्यय{नपुं;1;एक}/व्यय{नपुं;2;एक}	व्यय{पुं;2;एक}	विशेषणम्,14.1	विशेषणम्,14.1	N2				-
