index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color	hindi_meaning	english_meaning	samAsa	prayoga
1.1	सततम्	2	सततं	सततम्{अव्य}/सतत{पुं}{2;एक}/सतत{नपुं}{1;एक}/सतत{नपुं}{2;एक}	सततम्{अव्य}	क्रियाविशेषणम्,2.1	क्रियाविशेषणम्,2.1	NA	निरन्तर	always	-	-
2.1	कीर्तयन्तः	3	कीर्तयन्तो	कीर्तयत्{पुं}{1;बहु}/कीर्तयत्{पुं}{8;बहु}	कृत्1{कृत्_प्रत्ययः:शतृ;कृतँ;चुरादिः;पुं}{1;बहु}	समुच्चितः,7.1	समुच्चितः,7.1	N1	मेरे_नाम_और_गुणों_का_कीर्तन_करते_हुए	chanting	-	-
3.1	माम्	7	मां	अस्मद्{2;एक}	अस्मद्{2;एक}	कर्म,2.1	कर्म,2.1	N2	मुझको	unto_Me	-	-
4.1	यतन्तः	5	यतन्तश्च	यतन्तः	यत्1{कृत्_प्रत्ययः:शतृ;यतीँ;भ्वादिः;पुं}{1;बहु}	समुच्चितः,7.1	समुच्चितः,7.1	N1	यत्न_करते_हुए	fully_endeavoring	-	-
5.1	च	4	0	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,4.1	समुच्चय_द्योतकः,4.1	NA	तथा	also	-	-
6.1	दृढ-	1	दृढव्रताः	दृढ	दृढ	बहुव्रीहिः,6.2	बहुव्रीहिः,6.2	CP	दृढ़_निश्चयवाले_भक्तजन	with_determination	<दृढ-व्रताः>Bs6	-
6.2	व्रताः	-	-	व्रत{पुं}{1;बहु}/व्रत{पुं}{8;बहु}	व्रत{पुं}{1;बहु}	कर्ता,12.1	कर्ता,12.1	N1				-
7.1	नमस्यन्तः	8	नमस्यन्तश्च	नमस्यन्तः	नमस्य{कृत्_प्रत्ययः:शतृ;नमस्य;नामधातु;पुं}{1;बहु}	वर्तमानसमानकालः,12.1	वर्तमानसमानकालः,12.1	N1	नमस्कार_करते_हुए	offering_obeisances	-	-
8.1	च	6	0	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,7.1	समुच्चय_द्योतकः,7.1	NA	और	and	-	-
9.1	माम्	11	मां	अस्मद्{2;एक}	अस्मद्{2;एक}	कर्म,12.1	कर्म,12.1	N2	मेरी	unto_Me	-	-
10.1	भक्त्या	10	भक्त्या	भक्ति{स्त्री}{3;एक}	भक्ति{स्त्री}{3;एक}	करणम्,12.1	करणम्,12.1	N3	अनन्य_प्रेम_से	in_devotion	-	-
11.1	नित्य-	9	नित्ययुक्ता	नित्ययुक्ता{स्त्री}{1;बहु}/नित्ययुक्ता{स्त्री}{2;बहु}/नित्ययुक्ता{स्त्री}{8;बहु}	नित्य	कर्मधारयः,11.2	कर्मधारयः,11.2	CP	सदा_मेरे_ध्यान_में_युक्त_होकर	perpetually_engaged	<नित्य-युक्ताः>K1	-
11.2	युक्ताः	-	-		युज्2{कृत्_प्रत्ययः:क्त;युजिँर्;रुधादिः;पुं}{1;बहु}	विशेषणम्,6.1	विशेषणम्,6.1	N1				-
12.1	उपासते	12	उपासते	उप_आस्1{कर्तरि;लट्;प्र;बहु;आत्मनेपदी;आसँ;अदादिः}	उप_आस्1{कर्तरि;लट्;प्र;बहु;आत्मनेपदी;उप_आसँ;अदादिः}			KP	उपासना_करते_हैं	worship	-	-
