index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color	hindi_meaning	english_meaning	samAsa	prayoga
1.1	यत्	1	यद्यद्विभूतिमत्सत्त्वं	यत्{अव्य}/यद्{नपुं}{1;एक}/यद्{नपुं}{2;एक}/यत्{अव्य}	यद्{नपुं}{1;एक}	वीप्सा,2.1	वीप्सा,2.1	N1	जो	whatever	-	-
2.1	यत्	2	0	यत्{अव्य}/यद्{नपुं}{1;एक}/यद्{नपुं}{2;एक}/यत्{अव्य}	यद्{नपुं}{1;एक}	कर्ता,8.1.1;नित्यसम्बन्धः,10.1	कर्ता,8.1.1;नित्यसम्बन्धः,10.1	N1	जो	whatever	-	-
3.1	वि-	4	0	वि	विभूतिमत्{नपुं}{1;एक}	प्रादि-तत्पुरुषः,3.2	प्रादि-तत्पुरुषः,3.2	CP	विभूतियुक्त_अर्थात्_ऐश्वर्ययुक्त	having_opulences	<वि-भूति>Bvp^मत्	-
3.2	भूतिमत्	-	-	भूति		अन्यतरः,6.1	अन्यतरः,6.1	N1				-
4.1	सत्त्वम्	8	0	सत्त्व{पुं}{2;एक}/सत्त्व{नपुं}{1;एक}/सत्त्व{नपुं}{2;एक}/सत्त्व{नपुं}{1;एक}/सत्त्व{नपुं}{2;एक}	सत्त्व{नपुं}{1;एक}	अन्यतरः,6.1	अन्यतरः,6.1	N1	वस्तु	existence	-	-
5.1	*श्रीमत्	5	श्रीमदूर्जितमेव	श्री-अस्मद्{5;एक}	श्रीमत्{नपुं}{1;एक}	अन्यतरः,6.1	अन्यतरः,6.1	N1	कान्तियुक्त	beautiful	-	-
6.1	ऊर्जितम्	7	0	ऊर्जित{पुं}{2;एक}/ऊर्जित{नपुं}{1;एक}/ऊर्जित{नपुं}{2;एक}	ऊर्जित{नपुं}{1;एक}	कर्तृसमानाधिकरणम्,8.1.1	कर्तृसमानाधिकरणम्,8.1.1	N1	शक्तियुक्त	glorious	-	-
7.1	एव	3	0	एव{अव्य}	एव{अव्य}	सम्बन्धः,6.1	सम्बन्धः,6.1	NA	भी	certainly	-	-
8.1	वा	6	वा	वा{अव्य}	वा{अव्य}	अन्यतर_द्योतकः,6.1	अन्यतर_द्योतकः,6.1	NA	और	or	-	-
8.1.1	(अस्ति)	9	(0)	(अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;अदादिः})	(अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;अदादिः})	अभिहितकर्ता,2.1;अकर्मकः.1	अभिहितकर्ता,2.1;अकर्मकः.1	KP	(है)	is	-	-
9.1	तत्	10	तत्तदेवावगच्छ	तद्{नपुं}{1;एक}/तद्{नपुं}{2;एक}	तद्{नपुं}{1;एक}	वीप्सा,10.1	वीप्सा,10.1	N1	उसको	all	-	-
10.1	तत्	11	0	तद्{नपुं}{1;एक}/तद्{नपुं}{2;एक}	तद्{नपुं}{1;एक}	कर्म,12.1	कर्म,12.1	N1	उसको	those	-	-
11.1	एव	15	0	एव{अव्य}	एव{अव्य}	सम्बन्धः,10.1	सम्बन्धः,10.1	NA	ही	certainly	-	-
12.1	अवगच्छ	17	0	अव_गम्1{कर्तरि;लोट्;म;एक;परस्मैपदी;गमॢँ;भ्वादिः}	अव_गम्1{कर्तरि;लोट्;म;एक;परस्मैपदी;अव_गमॢँ;भ्वादिः}	अभिहिताकर्ता,13.1;सकर्मकः.1	अभिहिताकर्ता,13.1;सकर्मकः.1	KP	जान	must_know	-	-
13.1	त्वम्	16	त्वं	युष्मद्{1;एक}	युष्मद्{1;एक}	कर्ता,12.1	कर्ता,12.1	N1	तू	you	-	-
14.1	मम	12	मम	अस्मद्{6;एक}/मा1{कर्तरि;लिट्;म;बहु;परस्मैपदी;मा;अदादिः}	अस्मद्{6;एक}	षष्ठीसम्बन्धः,15.1	षष्ठीसम्बन्धः,15.1	N6	मेरे	my	-	-
15.1	तेजः	13	तेजोंऽशसम्भवम्	तेजोंऽशसम्भवम्	तेजस्-अंश-सम्_भू1{कृत्_प्रत्ययः:अच्;सम्_भू;भ्वादिः;नपुं}{2;एक}	कर्मसमानाधिकरणम्,12.1	कर्मसमानाधिकरणम्,12.1	N2	तेज_के_अंश_की_अभिव्यक्ति	born_of_part_splendor	<<तेज-अंश>T6-सम्भवम्>Bs6	-
16.1	अंश-	14	-			पञ्चमी-तत्पुरुषः,16.2	पञ्चमी-तत्पुरुषः,16.2	CP	-	-	-	-
16.2	सम्भवम्	-	-			विशेषणम्,15.1	विशेषणम्,15.1	NA				-
