index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	english_meaning	samAsa	prayoga
1.1	ये	1	ये	यद्{पुं;1;बहु}/यद्{स्त्री;1;द्वि}/यद्{स्त्री;2;द्वि}/यद्{नपुं;1;द्वि}/यद्{नपुं;2;द्वि}	यद्{पुं;1;बहु}	विशेषणम्,7.1	विशेषणम्,7.1;नित्यसम्बन्धः,11.1	N1	जो	those	-	-	नित्यसम्बन्धः,11.1
2.1	मे	5	मे	अस्मद्{6;एक}	अस्मद्{6;एक}	षष्ठीसम्बन्धः,3.1	षष्ठीसम्बन्धः,3.1	N6	मेरे	my	-	-
3.1	मतम्	7	मतमिदं	मत{पुं;2;एक}/मत{नपुं;1;एक}/मत{नपुं;2;एक}	मत{नपुं;2;एक}	कर्म,6.1	कर्म,6.1	N2	मत_का	injunctions	-	-
4.1	इदम्	6	0।0	इदम्{नपुं;1;एक}/इदम्{नपुं;2;एक}	इदम्{नपुं;2;एक}	विशेषणम्,3.1	विशेषणम्,3.1	N2	इस	this	-	-
5.1	नित्यम्	8	नित्यमनुतिष्ठन्ति	नित्य{पुं;2;एक}/नित्य{नपुं;1;एक}/नित्य{नपुं;2;एक}	नित्य{नपुं;2;एक}	क्रियाविशेषणम्,6.1	क्रियाविशेषणम्,6.1	N2	सदा	eternal_function	-	-
6.1	अनुतिष्ठन्ति	9	0।0	अनु_स्था1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;ष्ठा;भ्वादिः}	अनु_स्था1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;ष्ठा;भ्वादिः}	अभिहित_कर्ता,7.1;सकर्मकः.1	अभिहित_कर्ता,7.1;सकर्मकः.1	KP	अनुसरण_करते_हैं	execute_regularly	-	-
7.1	मानवाः	4	मानवाः	मानव{पुं;1;बहु}/मानव{पुं;8;बहु}	मानव{पुं;1;बहु}	कर्ता,6.1	कर्ता,6.1	N1	मनुष्य	humankind	-	-
8.1	श्रद्धावन्तः	3	श्रद्धावन्तोऽनसूयन्तो	श्रद्धावत्{पुं;1;बहु}/श्रद्धावत्{पुं;8;बहु}	श्रद्धावत्{पुं;1;बहु}	विशेषणम्,7.1	विशेषणम्,7.1	N1	श्रद्धायुक्त	with_faith_and_devotion	-	-
9.1	अन्-	2	0।0	अन्	अन्	बहुव्रीहिः,9.2	बहुव्रीहिः,9.2	CP	दोषदृष्टि_से_रहित	without_envy	<न-असूयन्तः>Bsmn	-
9.2	असूयन्तः	-	-	असूय1{कृत्_प्रत्ययः:शतृ;असूय1;नामधातु;पुं;1;बहु}	असूय1{कृत्_प्रत्ययः:शतृ;असूय1;नामधातु;पुं;1;बहु}	विशेषणम्,7.1	विशेषणम्,7.1	N1				-
10.1	मुच्यन्ते	13	मुच्यन्ते	मुच्1{कर्मणि;लट्;प्र;बहु;आत्मनेपदी;मुचॢँ;तुदादिः}	मुच्1{कर्मणि;लट्;प्र;बहु;आत्मनेपदी;मुचॢँ;तुदादिः}	अभिहित_कर्म,11.1;सकर्मकः.1	अभिहित_कर्म,11.1;सकर्मकः.1	KP	छूट_जाते_हैं	become_free	-	-
11.1	ते	10	तेऽपि	तद्{पुं;1;बहु}/तद्{स्त्री;1;द्वि}/तद्{स्त्री;2;द्वि}/तद्{नपुं;1;द्वि}/तद्{नपुं;2;द्वि}/युष्मद्{4;एक}/युष्मद्{6;एक}	तद्{पुं;1;बहु}	कर्म,10.1	कर्म,10.1	N1	वे	all_of_them	-	-
12.1	अपि	11	0।0	अपि{अव्य}	अपि{अव्य}	सम्बन्धः,11.1	सम्बन्धः,11.1	NA	भी	even	-	-
13.1	कर्मभिः	12	कर्मभिः	कर्मन्{नपुं;3;बहु}	कर्मन्{नपुं;3;बहु}	कर्ता,10.1	कर्ता,10.1	N3	सम्पूर्ण_कर्मों_से	from_the_bondage_of_the_law_of_fruitive_action	-	-
