index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color	hindi_meaning	english_meaning	samAsa	prayoga
1.1	उत्तमः	1	उत्तमः	उत्तम{पुं}{1;एक}	उत्तम{पुं}{1;एक}	विशेषणम्,2.1	विशेषणम्,2.1	N1	उत्तम	the_best	-	-
2.1	पुरुषः	2	पुरुषस्त्वन्यः	पुरुष{पुं}{1;एक}	पुरुष{पुं}{1;एक}	कर्ता,4.1.1	कर्ता,4.1.1	N1	पुरुष	personality	-	-
3.1	तु	3	0	तु{अव्य}	तु{अव्य}	सम्बन्धः,2.1	सम्बन्धः,2.1	NA	तो	but	-	-
4.1	अन्यः	4	0	अन्य{पुं}{1;एक}	अन्य{पुं}{1;एक}	विधेयविशेषणम्,2.1	विधेयविशेषणम्,2.1	N1	अन्य	another	-	-
4.1.1	(अस्ति)	5	(0)	(अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;अदादिः})	(अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;अदादिः})	अभिहित_कर्ता,2.1	अभिहित_कर्ता,2.1	KP	(है)	is	-	-
5.1	परम-	13	परमात्मेत्युदाहृतः	परमात्मन्{पुं}{1;एक}	परमात्मन्{पुं}{1;एक}	कर्मधारयः,5.2	कर्मधारयः,5.2	CP	परमात्मा	the_Supreme_self	<परम-आत्मा>K1	-
5.2	आत्मा	-	-	परमात्मन्{पुं}{1;एक}	परमात्मन्{पुं}{1;एक}	कर्ता,7.1	कर्ता,7.1	N1				-
6.1	इति	15	0	इति{अव्य}	इति{अव्य}	वाक्यकर्म_द्योतकः,7.1	वाक्यकर्म_द्योतकः,7.1	NA	इस_प्रकार	thus	-	-
7.1	उदाहृतः	16	0	उदाहृत{पुं}{1;एक}	उत्_आङ्_हृ1{कृत्_प्रत्ययः:क्त;उत्_आङ्_हृञ्;भ्वादिः;पुं}{1;एक}	अभिहित_कर्म,5.1;सकर्मकः.1	अभिहित_कर्म,5.1;सकर्मकः.1	N1	कहा_गया	said	-	-
8.1	यः	6	यो	यद्{पुं}{1;एक}	यद्{पुं}{1;एक}	कर्ता,11.1;नित्यसम्बन्धः,4.1	कर्ता,11.1;नित्यसम्बन्धः,4.1	N1	जो	one_who	-	-
9.1	लोक-	7	लोकत्रयमाविश्य	लोक	लोक	षष्ठी_तत्पुरुषः,9.2	षष्ठी_तत्पुरुषः,9.2	CP	तीनों_लोकों_में	the_three_divisions_of_the_universe	<लोक-त्रयम्>T6	-
9.2	त्रयम्	-	-	त्रय{पुं}{2;एक}/त्रय{नपुं}{1;एक}/त्रय{नपुं}{2;एक}	त्रय{नपुं}{2;एक}	कर्म,10.1	कर्म,10.1	N2				-
10.1	आविश्य	8	0	आङ्_विश्1{ल्यप्;विशँ;तुदादिः}	आङ्_विश्1{कृत्_प्रत्ययः:ल्यप्;आङ्_विशँ;तुदादिः}	पूर्वकालः,11.1	पूर्वकालः,11.1	NA	प्रवेश_करके	entering	-	-
11.1	बिभर्ति	9	बिभर्त्यव्यय	भृ2{कर्तरि;लट्;प्र;एक;परस्मैपदी;डुभृञ्;जुहोत्यादिः}	भृ2{कर्तरि;लट्;प्र;एक;परस्मैपदी;डुभृञ्;जुहोत्यादिः}	अभिहित_कर्ता,8.1	अभिहित_कर्ता,8.1	KP	सबका_धारण_पोषण_करता_है	maintaining	-	-
12.1	अ-	11	0	अव्यय{पुं}{1;एक}/व्ये1{कर्तरि;लङ्;म;एक;परस्मैपदी;व्येञ्;भ्वादिः}/व्यय्1{कर्तरि;लङ्;म;एक;परस्मैपदी;व्ययँ;भ्वादिः}	अव्यय{पुं}{1;एक}	बहुव्रीहिः ,12.2	बहुव्रीहिः ,12.2	CP	अविनाशी	inexhaustible	<न-व्ययः>Bsmn	-
12.2	व्ययः	-	-	अव्यय{पुं}{1;एक}/व्ये1{कर्तरि;लङ्;म;एक;परस्मैपदी;व्येञ्;भ्वादिः}/व्यय्1{कर्तरि;लङ्;म;एक;परस्मैपदी;व्ययँ;भ्वादिः}	अव्यय{पुं}{1;एक}	कर्ता,13.2.1	कर्ता,13.2.1	N1				-
13.1	ईश्वरः	12	ईश्वरः	ईश्वर{पुं}{1;एक}	ईश्वर{पुं}{1;एक}	विधेयविशेषणम्,12.2	विधेयविशेषणम्,12.2	N1	परमेश्वर	the_Lord	-	-
13.2.1	(अस्ति)	17	(0)	(अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;अदादिः})	(अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;अदादिः})	अभिहित_कर्ता,12.1;सकर्मकः.1	अभिहित_कर्ता,12.1;सकर्मकः.1	KP	(है)	is	-	-
												
