index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color	hindi_meaning	english_meaning	samAsa	prayoga
												
1.1	राग-	2	रागद्वेषवियुक्तैस्तु	राग	राग	इतरेतर-द्वन्द्वः,1.2	इतरेतर-द्वन्द्वः,1.2	CP	राग-द्वेष_से_रहित	by_one_who_has_been_free_from_attachment_and_detachment	<<राग-द्वेष>Di-वियुक्तैः>T3	-
1.2	द्वेष-	-	-	द्वेष	द्वेष	तृतीया-तत्पुरुषः,1.3	तृतीया-तत्पुरुषः,1.3	CP				-
1.3	वियुक्तैः	-	-	विमुक्त{पुं;3;बहु}/विमुक्त{नपुं;3;बहु}	वियुक्त{पुं;3;बहु}	विशेषणम्,4.1	विशेषणम्,4.1	N3				-
2.1	तु	8		तु{अव्य}	तु{अव्य}	सम्बन्धः,9.1	सम्बन्धः,9.1	NA	परंतु	but	-	-
3.1	विषयान्	5	विषयानिन्द्रियैश्चरन्	विषय{पुं;2;बहु}	विषय{पुं;2;बहु}	कर्म,5.1	कर्म,5.1	N2	विषयों_में	the_various_sense-objects	-	-
4.1	इन्द्रियैः	4		इन्द्रिय{पुं;3;बहु}/इन्द्रिय{नपुं;3;बहु}	इन्द्रिय{नपुं;3;बहु}	करणम्,5.1	करणम्,5.1	N3	इन्द्रियों_द्वारा	through_the_senses	-	-
5.1	चरन्	6		चरत्{पुं;1;एक}/चरत्{पुं;8;एक}/चर्1{कृत्_प्रत्ययः:शतृ;चरँ;भ्वादिः(चरत्;ना;पुं;1;एक)}	चर्1{कृत्_प्रत्ययः:शतृ;चरँ;भ्वादिः(चरत्;ना;पुं;1;एक)}	वर्तमानसमानकालः,9.1	वर्तमानसमानकालः,9.1	N1	विचरण_करता_हुआ	while_enjoying	-	-
6.1	आत्म-	3	आत्मवश्यैर्विधेयात्मा	आत्मन्	आत्मन्	षष्ठी-तत्पुरुषः,6.2	षष्ठी-तत्पुरुषः,6.2	CP	अपने_वश_में_की_हुई	which_are_disciplined	<आत्म-वश्यैः>T6	-
6.2	वश्यैः	-	-	वश्य{पुं;3;बहु}/वश्य{नपुं;3;बहु}	वश्य{नपुं;3;बहु}	विशेषणम्,4.1	विशेषणम्,4.1	N3				-
7.1	विधेय-	1		विधेय	विधेय	बहुव्रीहिः,7.2	बहुव्रीहिः,7.2	CP	अपने_अधीन_किये_हुए_अन्तःकरणवाला_साधक	the_self-controlled_Sadhaka	<विधेय-आत्मा>Bs6	-
7.2	आत्मा	-	-	आत्मन्{पुं;1;एक}	आत्मन्{पुं;1;एक}	कर्ता,9.1	कर्ता,9.1	N1				-
8.1	प्रसादम्	7	प्रसादमधिगच्छति	प्रसाद{पुं;2;एक}	प्रसाद{पुं;2;एक}	कर्म,9.1	कर्म,9.1	N2	प्रसन्नता_को	placidity_of_mind	-	-
9.1	अधिगच्छति	9		अधि_गम्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;गमॢँ;भ्वादिः}	अधि_गम्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;अधि_गमॢँ;भ्वादिः}	अभिहित_कर्ता,7.1;सकर्मक.1	अभिहित_कर्ता,7.1;सकर्मक.1	KP	प्राप्त_हो_जाता_है	attains	-	-
