index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	english_meaning	samAsa	prayoga
1.1	यदि	3	यदि	यदि{अव्य}	यदि{अव्य}	आवश्यकता_द्योतकः,5.1	आवश्यकता_द्योतकः,5.1;नित्यसम्बन्धः,15.1	NA	यदि	if	-	-	नित्यसम्बन्धः,15.1
2.1	हि	1	ह्यहं	हि{अव्य}	हि{अव्य}	सम्बन्धः,3.1	सम्बन्धः,3.1	NA	क्योंकि	certainly	-	-
3.1	अहम्	4	0।0	अस्मद्{1;एक}	अस्मद्{1;एक}	कर्ता,5.1	कर्ता,5.1	N1	मैं	I	-	-
4.1	न	9	न	न{अव्य}	न{अव्य}	प्रतिषेधः,5.1	प्रतिषेधः,5.1	NA	न	do_not	-	-
5.1	वर्तेयम्	10	वर्तेयं	वृत्1{कर्तरि;विधिलिङ्;उ;एक;आत्मनेपदी;वृतुँ;भ्वादिः}	वृत्1{कर्तरि;विधिलिङ्;उ;एक;आत्मनेपदी;वृतुँ;भ्वादिः}	अभिहित_कर्ता,3.1;अकर्मकः.1	अभिहित_कर्ता,3.1;अकर्मकः.1	KP	बरतूँ	thus_engage	-	-
6.1	जातु	5	जातु	जातु{अव्य}	जातु{अव्य}	क्रियाविशेषणम्,5.1	क्रियाविशेषणम्,5.1	NA	कदाचित्	ever	-	-
7.1	कर्मणि	8	कर्मण्यतन्द्रितः	कर्मन्{नपुं;7;एक}	कर्मन्{नपुं;7;एक}	अधिकरणम्,5.1	अधिकरणम्,5.1	N7	कर्मों_में	in_the_performance_of_prescribed_duties	-	-
8.1	अ-	6	0।0	अ	अ	नञ्-तत्पुरुषः,8.2	नञ्-तत्पुरुषः,8.2	CP	सावधान_होकर	with_great_care	<न-तन्द्रितः>Tn	-
8.2	तन्द्रितः	-	-	तन्द्रित{पुं;1;एक}	तन्द्रित{पुं;1;एक}	विधेय_विशेषणम्,3.1	विधेय_विशेषणम्,3.1	N1				-
9.1	मम	14	मम	अस्मद्{6;एक}/मा1{कर्तरि;लिट्;म;बहु;परस्मैपदी;मा;अदादिः}	अस्मद्{6;एक}	षष्ठीसम्बन्धः,10.1	षष्ठीसम्बन्धः,10.1	N6	मेरे	my	-	-
10.1	वर्त्म	15	वर्त्मानुवर्तन्ते	वर्त्मन्{नपुं;1;एक}/वर्त्मन्{नपुं;2;एक}/वर्त्मन्{नपुं;8;एक}	वर्त्मन्{नपुं;2;एक}	कर्म,11.1	कर्म,11.1	N2	मार्ग_का	path	-	-
11.1	अनुवर्तन्ते	16	0।0	अनु_वृत्1{कर्तरि;लट्;प्र;बहु;आत्मनेपदी;वृतुँ;भ्वादिः}	अनु_वृत्1{कर्तरि;लट्;प्र;बहु;आत्मनेपदी;वृतुँ;भ्वादिः}	अभिहित_कर्ता,12.1;अकर्मकः.1	अभिहित_कर्ता,12.1;अकर्मकः.1	KP	अनुसरण_करते_हैं	would_follow	-	-
12.1	मनुष्याः	12	मनुष्याः	मनुष्य{पुं;1;बहु}/मनुष्य{पुं;8;बहु}	मनुष्य{पुं;1;बहु}	कर्ता,11.1	कर्ता,11.1	N1	मनुष्य	all_men	-	-
13.1	पार्थ	2	पार्थ	पार्थ{पुं;8;एक}	पार्थ{पुं;8;एक}	सम्बोध्यः,11.1	सम्बोध्यः,11.1	N8	हे_पार्थ	O_son_of_Prtha	-	-
14.1	सर्वशः	13	सर्वशः	सर्वशः{अव्य}	सर्वशः{अव्य}	क्रियाविशेषणम्,11.1	क्रियाविशेषणम्,11.1	NA	सब_प्रकार_से	in_all_respects	-	-
15.1	(तर्हि)	11	(0।0)	तर्हि{अव्य}	तर्हि{अव्य}	परिणाम_द्योतकः,11.1	परिणाम_द्योतकः,11.1	NA	(तो)	in_one's_prescribed_duty	-	-
