index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code_code	hindi_meaning	hindi_meaning_active
1.1	अनेक-		अनेकचित्तविभ्रान्ताः	-	-	षष्ठी-तत्पुरुषः,1.2	षष्ठी-तत्पुरुषः,1.2	CP		
1.2	चित्त-		-	-	-	कर्मधारयः,1.3	कर्मधारयः,1.3	CP		
1.3	विभ्रान्ताः		-	अनेकचित्तविभ्रान्त{पुं;1;बहु}	अनेकचित्तविभ्रान्त{पुं;1;बहु}	विशेषणम्,5.1	विशेषणम्,5.1	N1		
2.1	मोह-		मोहजालसमावृताः	-	-	षष्ठी-तत्पुरुषः,2.2	षष्ठी-तत्पुरुषः,2.2	CP		
2.2	जाल-		-	-		तृतीया-तत्पुरुषः,2.3	तृतीया-तत्पुरुषः,2.3	CP		
2.3	समावृताः		-	मोहजालसमावृत{पुं;1;बहु}	मोहजालसमावृत{पुं;1;बहु}	विशेषणम्,5.1	विशेषणम्,5.1	N1		
3.1	अ-		अज्ञानविमोहिताः	-	-	नञ्-तत्पुरुषः,3.2	नञ्-तत्पुरुषः,3.2	CP		
3.2	ज्ञान-		-	-	-	बहुव्रीहिः,3.3	बहुव्रीहिः,3.3	CP		
3.3	विमोहिताः		-	अज्ञानविमोहित{पुं;1;बहु}	अज्ञानविमोहित{पुं;1;बहु}	विशेषणम्,5.1	विशेषणम्,5.1	N1		
4.1	प्रसक्ताः		प्रसक्ताः	प्रसक्त{पुं;1;बहु}/प्रसक्ता{स्त्री;1;बहु}/प्रसक्ता{स्त्री;2;बहु}/प्रसक्त{पुं;8;बहु}	प्रसक्त{पुं;1;बहु}	विशेषणम्,5.1	विशेषणम्,5.1	N1	युक्त	युक्त
5.1	जनाः		जनाः	जन{पुं;1;बहु}/जन{पुं;8;बहु}	जन{पुं;1;बहु}	कर्ता,9.1	कर्ता,9.1	N1	जन	जन
6.1	काम-		कामभोगेषु	-	-	षष्ठी-तत्पुरुषः,6.2	षष्ठी-तत्पुरुषः,6.2	CP		
6.2	भोगेषु		-	कामभोग{पुं;7;बहु}	कामभोग{पुं;7;बहु}	विषयाधिकरणम्,4.1	विषयाधिकरणम्,4.1	N7		
7.1	अ-		अशुचौ	-	-	नञ्-तत्पुरुषः,7.2	नञ्-तत्पुरुषः,7.2	CP	अशुचि_में	अशुचि_में
7.2	शुचौ		-	अशुचि{पुं;7;एक}/अशुचि{स्त्री;7;एक}	अशुचि{पुं;7;एक}	विशेषणम्,8.1	विशेषणम्,8.1	N7		
8.1	नरके		नरके	नरक{नपुं;8;द्वि}/नरक{पुं;7;एक}	नरक{पुं;7;एक}	अधिकरणम्,9.1	अधिकरणम्,9.1	N7	नरक	नरक
9.1	पतन्ति		पतन्ति	पत्1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;भ्वादिः}/पतत्{नपुं;8;बहु}/पतत्{नपुं;1;बहु(पत्1;शतृ_लट्;भ्वादिः)}/पतत्{नपुं;2;बहु(पत्1;शतृ_लट्;भ्वादिः)}	पत्1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;भ्वादिः}	-	-	KP	गिरते_हैं	गिरते_हैं
10.1	.		.	-	-	-	-	FS	-	-
