index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code_code	hindi_meaning	hindi_meaning_active
1.1	द्वौ		द्वौ	द्वि{संख्येयम्;पुं;1;द्वि}/द्वि{संख्येयम्;पुं;2;द्वि}	द्वि{संख्येयम्;पुं;1;द्वि}	विशेषणम्,2.1	विशेषणम्,2.1#कर्म,3.1	N1	दो	दो
2.1	भूतसर्गौ		भूतसर्गौ	भूतसर्ग{पुं;1;द्वि}/भूतसर्ग{पुं;2;द्वि}	भूतसर्ग{पुं;2;द्वि}	कर्ता,8.1.1	कर्ता,8.1.1	N1	भूतसर्गों_को	भूतसर्गों_को
3.1	लोके		लोके	लोक्1{कर्तरि;लट्;उ;एक;आत्मनेपदी;भ्वादिः}/लोक{पुं;7;एक}	लोक{पुं;7;एक}	अधिकरणम्,8.1.1	अधिकरणम्,8.1.1	N7	देखता_हूँ	देखता_हूँ
4.1	अस्मिन्		अस्मिन्	इदम्{सर्वनाम;पुं;7;एक}/इदम्{सर्वनाम;नपुं;7;एक}	इदम्{सर्वनाम;पुं;7;एक}	विशेषणम्,3.1	विशेषणम्,3.1	N7	इसमें	इसमें
5.1	दैवः		दैवः	दैव{पुं;1;एक}	दैव{पुं;1;एक}	घटकः,1.1	घटकः,1.1	N1	दैव	दैव
6.1	आसुरः		आसुरः	आसुर{पुं;1;एक}	आसुर{पुं;1;एक}	घटकः,1.1	घटकः,1.1	N1	राक्षस	राक्षस
7.1	एव		एव	एव{अव्य}	एव{अव्य}	सम्बन्धः,6.1	सम्बन्धः,8.1#सम्बन्धः,6.1	NA	ही	ही
8.1	च		च	च{अव्य}	च{अव्य}	घटक_द्योतकः,1.1	घटक_द्योतकः,1.1	NA	च1	च1
8.1.1	(स्तः)		(अस्ति)	अस्2{कर्तरि;लट्;प्र;द्वि;परस्मैपदी;अदादिः}	अस्2{कर्तरि;लट्;प्र;द्वि;परस्मैपदी;अदादिः}	-	-	KP		
8.1.2	दैवः		दैवः	दैव{पुं;1;एक}	दैव{पुं;1;एक}	कर्म,10.1	कर्म,10.1	N1		
9.1	विस्तरशः		विस्तरशः	विस्तरशः{अव्य}	विस्तरशः{अव्य}	क्रियाविशेषणम्,10.1	सुप्_समुच्चितः,7.1#क्रियाविशेषणम्,14.1#क्रियाविशेषणम्,10.1	NA	विस्तारपूर्वक	विस्तारपूर्वक
10.1	प्रोक्तः		प्रोक्तः	प्रोक्त{पुं;1;एक}/प्रोक्त{पुं;1;एक(प्र_वच्1;क्त;अदादिः)}	प्रोक्त{पुं;1;एक(प्र_वच्1;क्त;अदादिः)}	-	-	N1	कहा_हुआ	कहा_हुआ
11.1	आसुरम्		आसुरम्	आसुर{पुं;2;एक}/आसुर{नपुं;1;एक}/आसुर{नपुं;2;एक}	आसुर{पुं;2;एक}	कर्म,14.1	कर्म,14.1	N2	राक्षस_को	राक्षस_को
12.1	पार्थ		पार्थ	पार्थ{पुं;8;एक}	पार्थ{पुं;8;एक}	सम्बोध्यः,14.1	सम्बोध्यः,14.1	N8	पार्थ	पार्थ
13.1	मे		मे	अस्मद्{सर्वनाम;6;एक}/अस्मद्{सर्वनाम;4;एक}	अस्मद्{सर्वनाम;6;एक}	षष्ठीसम्बन्धः,14.1	षष्ठीसम्बन्धः,14.1	N6	मेरे_लिये	मेरे_लिये
14.1	शृणु		शृणु	श्रु{कर्तरि;लोट्;म;एक;परस्मैपदी;भ्वादिः}	श्रु{कर्तरि;लोट्;म;एक;परस्मैपदी;भ्वादिः}	-	-	KP	सुनो	सुनो
15.1	.		.	-	-	-	-	FS	-	-
