index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
1.1	कामः		कामः	काम{पुं;1;एक}	काम{पुं;1;एक}	विधेय_विशेषणम्,2.1	विधेय_विशेषणम्,2.1	N1	काम	काम
2.1	एषः		एषः	एतद्{सर्वनाम;पुं;1;एक}	एतद्{सर्वनाम;पुं;1;एक}	कर्ता,2.1.1	कर्ता,2.1.1	N1	यह	यह
2.1.1	(अस्ति)			अस्{कर्तरि;लट्;प्र;एक;परस्मैपदी;अदादिः}	अस्{कर्तरि;लट्;प्र;एक;परस्मैपदी;अदादिः}	अभिहित_कर्ता,2.1	अभिहित_कर्ता,2.1	KP
3.1	क्रोधः		क्रोधः	क्रोध{पुं;1;एक}	क्रोध{पुं;1;एक}	विधेय_विशेषणम्,4.1	विधेय_विशेषणम्,4.1	N1	क्रोध	क्रोध
4.1	एषः		एषः	एतद्{सर्वनाम;पुं;1;एक}	एतद्{सर्वनाम;पुं;1;एक}	कर्ता,4.1.1	कर्ता,4.1.1	N1	यह	यह
4.1.1	(अस्ति)			अस्{कर्तरि;लट्;प्र;एक;परस्मैपदी;अदादिः}	अस्{कर्तरि;लट्;प्र;एक;परस्मैपदी;अदादिः}	अभिहित_कर्ता,4.1	अभिहित_कर्ता,4.1	KP
5.1	रजस्-		रजस्-गुण-समुद्भवः	रजस्	रजस्	षष्ठी-तत्पुरुषः,5.2	षष्ठी-तत्पुरुषः,5.2	CP	रजस्-	रजस्-
5.2	गुण-		--	गुण	गुण	पञ्चमी-तत्पुरुषः,5.3	पञ्चमी-तत्पुरुषः,5.3	CP	गुण-	गुण-
5.3	समुद्भवः		--	समुद्भव{पुं;1;एक}	समुद्भव{पुं;1;एक}	विधेय_विशेषणम्,5.3.1	विधेय_विशेषणम्,5.3.1	N1	जन्म	जन्म
5.3.1	(एषः)			एतद्{सर्वनाम;पुं;1;एक}	एतद्{सर्वनाम;पुं;1;एक}	कर्ता,5.3.2	कर्ता,5.3.2	N1	यह	यह
5.3.2	(अस्ति)			अस्{कर्तरि;लट्;प्र;एक;परस्मैपदी;अदादिः}	अस्{कर्तरि;लट्;प्र;एक;परस्मैपदी;अदादिः}	अभिहित_कर्ता,5.3.1	अभिहित_कर्ता,5.3.1	KP
6.1	महाशनः		महाशनः	महाशन{पुं;1;एक}	महाशन{पुं;1;एक}	विधेय_विशेषणम्,5.3.1	विधेय_विशेषणम्,5.3.1	N1	पेटू	पेटू
7.1	महापाप्मा		महापाप्मा	महापाप्मन्{पुं;1;एक}	महापाप्मन्{पुं;1;एक}	विधेय_विशेषणम्,5.3.1	विधेय_विशेषणम्,5.3.1	N1	महापापी	महापापी
8.1	विद्धि		विद्धि	विद्1{कर्तरि;लोट्;म;एक;परस्मैपदी;अदादिः}	विद्1{कर्तरि;लोट्;म;एक;परस्मैपदी;अदादिः}	अभिहित_कर्ता,8.1.1	अभिहित_कर्ता,8.1.1	KP	समझो	समझो
8.1.1	(त्वम्)			युष्मद्{सर्वनाम;1;एक}	युष्मद्{सर्वनाम;1;एक}	कर्ता,8.1	कर्ता,8.1	N1	तुम	तुम
9.1	एनम्		एनम्	इदम्{सर्वनाम;पुं;2;एक}	इदम्{सर्वनाम;पुं;2;एक}	विशेषणम्,11.1	विशेषणम्,11.1	N2	इसको	इसको
10.1	इह		इह	इह{अव्य}	इह{अव्य}	अधिकरणम्,8.1	अधिकरणम्,8.1	NA	यहाँ	यहाँ
11.1	वैरिणम्		वैरिणम्	वैरिन्{पुं;2;एक}	वैरिन्{पुं;2;एक}	कर्म,8.1	कर्म,8.1	N2	वैरी_को	वैरी_को
