index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code_code	hindi_meaning	hindi_meaning_active
1.1	दम्भः		दम्भो	दम्भ{पुं;1;एक}	दम्भ{पुं;1;एक}	समुच्चितः,13.1	समुच्चितः,13.1	N1	दम्भ	दम्भ
2.1	दर्पः		दर्पोभिमानश्च	दर्प{पुं;1;एक}	दर्प{पुं;1;एक}	समुच्चितः,13.1	समुच्चितः,13.1	N1	घमण्ड	घमण्ड
3.1	अभिमानः		-	अभिमान{पुं;1;एक}	अभिमान{पुं;1;एक}	समुच्चितः,13.1	समुच्चितः,13.1	N1	गौरव	गौरव
4.1	च		-	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,3.1	समुच्चय_द्योतकः,3.1	NA	और	और
5.1	क्रोधः		क्रोधः	क्रोध{पुं;1;एक}	क्रोध{पुं;1;एक}	समुच्चितः,13.1	समुच्चितः,13.1	N1	क्रोध	क्रोध
6.1	पारुष्यम्		पारुष्यम्	पारुष्य{नपुं;1;एक}/पारुष्य{नपुं;2;एक}	पारुष्य{नपुं;1;एक}	समुच्चितः,13.1	समुच्चितः,13.1	N1	कठोरता	कठोरता
7.1	एव		एव	एव{अव्य}	एव{अव्य}	सम्बन्धः,6.1	सम्बन्धः,6.1	NA	ही	ही
8.1	च		च	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,6.1	समुच्चय_द्योतकः,6.1	NA	और	और
9.1	अज्ञानम्		अज्ञानम्	अज्ञान{नपुं;1;एक}/अज्ञान{नपुं;2;एक}	अज्ञान{नपुं;1;एक}	समुच्चितः,13.1	समुच्चितः,13.1	N1	अज्ञान	अज्ञान
10.1	च		चाभिजातस्य	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,13.1	समुच्चय_द्योतकः,13.1	NA	और	और
11.1	अभिजातस्य		-	अभिजात{पुं;6;एक}/अभिजात{नपुं;6;एक}	अभिजात{पुं;6;एक}	षष्ठीसम्बन्धः,9.1	षष्ठीसम्बन्धः,9.1	N6	अभिजात_का	अभिजात_का
12.1	पार्थः		पार्थ	पार्थ{पुं;8;एक}	पार्थ{पुं;8;एक}	सम्बोध्यः,15.1	सम्बोध्यः,15.1	N1	पार्थ	पार्थ
13.1	सम्पदम्		सम्पदम्	सम्पद्{स्त्री;1;एक}	सम्पद्{स्त्री;1;एक}	कर्ता,15.1	कर्ता,15.1	N1	सम्पत्ति_को	सम्पत्ति_को
14.1	आसुरीम्		आसुरीम्	आसुरी{स्त्री;1;एक}	आसुरी{स्त्री;1;एक}	विशेषणम्,13.1	विशेषणम्,13.1	N1	राक्षसी_को	राक्षसी_को
15.1	(अस्ति)		(अस्ति)	अस्{कर्तरि;लट्;प्र;एक;परस्मैपदी;अदादिः}	अस्{कर्तरि;लट्;प्र;एक;परस्मैपदी;अदादिः}	-	-	KP		
16.1	.		.	-	-	-	-	FS	-	-
