index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color	hindi_meaning	english_meaning	samAsa	prayoga
1.1	मोघ-	1	मोघाशा	मोघ	मोघ	बहुव्रीहिः,1.2	बहुव्रीहिः,1.2	CP	व्यर्थ_आशा	baffled_hope	<मोघ-आशाः>Bs6	-
1.2	आशाः	-	-	आश{पुं}{1;बहु}/आश{पुं}{8;बहु}/आशा{स्त्री}{1;बहु}/आशा{स्त्री}{2;बहु}/आशा{स्त्री}{8;बहु}	आश{पुं}{1;बहु}	विशेषणम्,4.1	विशेषणम्,4.1	N1				-
2.1	मोघ-	2	मोघकर्माणो	मोघ	मोघ	बहुव्रीहिः,2.2	बहुव्रीहिः,2.2	CP	व्यर्थ_कर्म	baffled_in_fruitive_activities	<मोघ-कर्माणः>Bs6	-
2.2	कर्माणः	-	-	कर्मन्{पुं}{1;बहु}/कर्मन्{पुं}{8;बहु}	कर्मन्{पुं}{1;बहु}	विशेषणम्,4.1	विशेषणम्,4.1	N1				-
3.1	मोघ-	3	मोघज्ञाना	मोघ	मोघ	बहुव्रीहिः,3.2	बहुव्रीहिः,3.2	CP	व्यर्थ_ज्ञानवाले	baffled_in_knowledge	<मोघ-ज्ञानाः>Bs6	-
3.2	ज्ञानाः	-	-	ज्ञान{पुं}{1;बहु}/ज्ञान{पुं}{8;बहु}	ज्ञान{पुं}{1;बहु}	विशेषणम्,4.1	विशेषणम्,4.1	N1				-
4.1	वि-	4	विचेतसः	वि	विचेतस्{पुं}{1;बहु}	बहुव्रीहिः,4.2	बहुव्रीहिः,4.2	CP	विक्षिप्त_चित्त_अज्ञानी	bewildered	<वि-चेतसः>Bs6	-
4.2	चेतसः	-	-	चेतस्{नपुं}{5;एक}/चेतस्{नपुं}{6;एक}		कर्तृसमानाधिकरणम्,13.1	कर्तृसमानाधिकरणम्,13.1	N1				-
5.1	राक्षसीम्	6	राक्षसीमासुरीं	राक्षसी{स्त्री}{2;एक}	राक्षसी{स्त्री}{2;एक}	सुप्_समुच्चितम्,6.1	सुप्_समुच्चितम्,6.1	N2	राक्षसी	demonic	-	-
6.1	आसुरीम्	7	0	आसुरी{स्त्री}{2;एक}	आसुरी{स्त्री}{2;एक}	विशेषणम्,9.1	विशेषणम्,9.1	N2	आसुरी	atheistic	-	-
7.1	च	8	चैव	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,6.1	समुच्चय_द्योतकः,6.1	NA	और	and	-	-
8.1	एव	11	0	एव{अव्य}	एव{अव्य}	सम्बन्धः,9.1	सम्बन्धः,9.1	NA	ही	certainly	-	-
9.1	प्रकृतिम्	10	प्रकृतिं	प्रकृति{स्त्री}{2;एक}	प्रकृति{स्त्री}{2;एक}	कर्म,11.1	कर्म,11.1	N2	प्रकृति_को	nature	-	-
10.1	मोहिनीम्	9	मोहिनीं	मोहिनी{स्त्री}{2;एक}	मोहिनी{स्त्री}{2;एक}	विशेषणम्,9.1	विशेषणम्,9.1	N2	मोहिनी	bewildering	-	-
11.1	श्रिताः	12	श्रिताः	श्रित{पुं}{1;बहु}/श्रित{पुं}{8;बहु}/श्रिता{स्त्री}{1;बहु}/श्रिता{स्त्री}{2;बहु}/श्रिता{स्त्री}{8;बहु}	श्रि1{कृत्_प्रत्ययः:क्त;श्रिञ्;भ्वादिः;पुं}{1;बहु}	विशेषणम्,13.1	विशेषणम्,13.1	N1	धारण_किये	taking_shelter_of	-	-
12.1	(सन्ति)	13	(0)	(सत्{नपुं}{1;बहु}/सत्{नपुं}{2;बहु}/सत्{नपुं}{8;बहु}/सन्ती{स्त्री}{8;एक}/अस्2{कर्तरि;लट्;प्र;बहु;परस्मैपदी;असँ;अदादिः})	(अस्2{कर्तरि;लट्;प्र;बहु;परस्मैपदी;असँ;अदादिः})			KP	(हैं)	are	-	-
13.1	(जनाः)	5	(0)	(जन{पुं}{1;बहु}/जन{पुं}{8;बहु})	(जन{पुं}{1;बहु})	कर्ता,12.1	कर्ता,12.1	N1	(जन)	people	-	-
