index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color	hindi_meaning	english_meaning	samAsa	prayoga
1.1	प्रकृतिम्	2	प्रकृतिं	प्रकृति{स्त्री;2;एक}	प्रकृति{स्त्री;2;एक}	समुच्चितः,2.1	समुच्चितः,2.1	N2	प्रकृति	material_nature	-	-
2.1	पुरुषम्	4	पुरुषं	पुरुष{पुं;2;एक}	पुरुष{पुं;2;एक}	कर्म,5.1	कर्म,5.1	N2	पुरुष	living_entities	-	-
3.1	च	3	चैव	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,2.1	समुच्चय_द्योतकः,2.1	NA	और	also	-	-
4.1	एव	6		एव{अव्य}	एव{अव्य}	सम्बन्धः,3.1	सम्बन्धः,3.1	NA	ही	certainly	-	-
5.1	विद्धि	8	विद्ध्यनादी	विद्1{कर्तरि;लोट्;म;एक;परस्मैपदी;विदँ;अदादिः}	विद्1{कर्तरि;लोट्;म;एक;परस्मैपदी;विदँ;अदादिः}	अभिहित_कर्ता,8.1.1;सकर्मकः.1	अभिहित_कर्ता,8.1.1;सकर्मकः.1	KP	जानो	must_know	-	-
6.1	अन्-	7		अन्	अनादि{पुं;2;द्वि}	बहुव्रीहिः,6.2	बहुव्रीहिः,6.2	CP	अनादि	without_beginning	<न-आदी>Bsmn	-
6.2	आदी	-	-	{अव्य}		कर्मसमानाधिकरणम्,5.1	कर्मसमानाधिकरणम्,5.1	N2				-
7.1	उभौ	5	उभावपि	उभ{पुं;1;द्वि}/उभ{पुं;2;द्वि}/उभ{पुं;8;द्वि}/उभ{पुं;1;द्वि}/उभ{पुं;2;द्वि}	उभ{पुं;2;द्वि}	विशेषणम्,2.1	विशेषणम्,2.1	N2	इन_दोनों_को	both	-	-
8.1	अपि	14		अपि{अव्य}	अपि{अव्य}	सम्बन्धः,7.1	सम्बन्धः,7.1	NA	भी	also	-	-
8.1.1	(त्वम्)	1		(युष्मद्{सर्व;अ;1;एक})	(युष्मद्{सर्व;अ;1;एक})	कर्ता,5.1	कर्ता,5.1	N1	(तुम)	you	-	-
9.1	विकारान्	11	विकारांश्च	विकार{पुं;2;बहु}/विकार{पुं;2;बहु}	विकार{पुं;2;बहु}	समुच्चितः,11.1	समुच्चितः,11.1	N2	राग-द्वेषादि_विकारों_को	transformations	-	-
10.1	च	12		च{अव्य}	च{अव्य}	समुच्चयद्योतकः,9.1	समुच्चयद्योतकः,9.1	NA	तथा	also	-	-
11.1	गुणान्	13	गुणांश्चैव	गुण{पुं;2;बहु}	गुण{पुं;2;बहु}	कर्म,14.1	कर्म,14.1	N2	त्रिगुणात्मक_सम्पूर्ण_पदार्थों_को	three_modes_of_nature	-	-
12.1	च	9		च{अव्य}	च{अव्य}	समुच्चयद्योतकः,11.1	समुच्चयद्योतकः,11.1	NA	और	also	-	-
13.1	एव	16		एव{अव्य}	एव{अव्य}	सम्बन्धः,12.1	सम्बन्धः,12.1	NA	ही	certainly	-	-
14.1	विद्धि	17	विद्धि	विद्1{कर्तरि;लोट्;म;एक;परस्मैपदी;विदँ;अदादिः}	विद्1{कर्तरि;लोट्;म;एक;परस्मैपदी;विदँ;अदादिः}	अभिहित_कर्ता,15.1.1;सकर्मकः.1	अभिहित_कर्ता,15.1.1;सकर्मकः.1	KP	जानो	know	-	-
15.1	प्रकृति-	15	प्रकृतिसम्भवान्	प्रकृति	प्रकृति	बहुव्रीहिः,15.2	बहुव्रीहिः,15.2	CP	प्रकृति_से_उत्पन्न	produced_of_material_nature	<प्रकृति-सम्भवान्>Bs6	-
15.2	सम्भवान्	-	-	सम्भव{पुं;2;बहु}	सम्भव{पुं;2;बहु}	कर्मसमानाधिकरणम्,14.1	कर्मसमानाधिकरणम्,14.1	N2				-
15.1.1	(त्वम्)	10		(युष्मद्{सर्व;अ;1;एक})	(युष्मद्{सर्व;अ;1;एक})	कर्ता,14.1	कर्ता,14.1	N1	(तुम)	you	-	-
