index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color	hindi_meaning	english_meaning	samAsa	prayoga
1.1	शुभ-	3	शुभाशुभफलैरेवं	शुभ	शुभ	द्वन्द्वः,1.2	द्वन्द्वः,1.2	CP	शुभाशुभ_फलरूप	good_and_evil_results	<<शुभ-<न-शुभ>Tn>Di-फलैः>T6	-
1.2	अ-	-	-	अशुभ	अशुभ	नञ्-तत्पुरुषः,1.3	नञ्-तत्पुरुषः,1.3	CP				-
1.3	शुभ-	-	-	फल{नपुं}{3;बहु}	फल{नपुं}{3;बहु}	षष्ठी-तत्पुरुषः,1.4	षष्ठी-तत्पुरुषः,1.4	CP				-
1.4	फलैः	-	-			विशेषणम्,4.1	विशेषणम्,4.1	N3				-
2.1	एवम्	1	0	एवम्{अव्य}	एवम्{अव्य}	सम्बन्धः,3.1	सम्बन्धः,3.1	NA	इस_प्रकार	thus	-	-
3.1	मोक्ष्यसे	5	मोक्ष्यसे	मुच्1{कर्तरि;लृट्;म;एक;आत्मनेपदी;मुचॢँ;तुदादिः}/मुच्1{कर्मणि;लृट्;म;एक;आत्मनेपदी;मुचॢँ;तुदादिः}/मुह्1{भावे;लृट्;म;एक;आत्मनेपदी;मुहँ;दिवादिः}	मुच्1{कर्तरि;लृट्;म;एक;आत्मनेपदी;मुचॢँ;तुदादिः}	अभिहित_कर्ता,4.1.1;सकर्मकः.1	अभिहित_कर्ता,4.1.1;सकर्मकः.1	KP	मुक्तहोजाओगे	free	-	-
4.1	कर्म-	4	कर्मबन्धनैः	कर्मन्	कर्मन्	कर्मधारयः,4.2	कर्मधारयः,4.2	CP	कर्मबन्धन_से	bondage_of_action	<कर्म-बन्धनैः>K6	-
4.2	बन्धनैः	-	-	बन्धन{नपुं}{3;बहु}	बन्धन{नपुं}{3;बहु}	करणम्,3.1	करणम्,3.1	N3				-
4.1.1	(त्वम्)	2	(0)	(युष्मद्{1;एक})	(युष्मद्{1;एक})	कर्ता,3.1	कर्ता,3.1	N1	(तुम)	you	-	-
5.1	सन्न्यास-	6	सन्न्यासयोगयुक्तात्मा	सन्न्यास	सन्न्यास	कर्मधारयः,5.2	कर्मधारयः,5.2	CP	जिसमें_समस्त_कर्म_मुझ_भगवान्_के_अर्पण_होते_हैं_ऐसे_संन्यासयोग_से_युक्त_चित्तवाला	having_the_mind_firmly_set_on_renunciation_and_yoga	<<<संन्यास-योग>K3-युक्त>T3-आत्मा>Bs6	-
5.2	योग-	-	-	योग	योग	तृतीया-तत्पुरुषः,5.3	तृतीया-तत्पुरुषः,5.3	CP				-
5.3	युक्त-	-	-	युक्त	युक्त	बहुव्रीहिः,5.4	बहुव्रीहिः,5.4	CP				-
5.4	आत्मा	-	-	आत्मन्{पुं}{1;एक}	आत्मन्{पुं}{1;एक}	विशेषणम्,8.1.1	विशेषणम्,8.1.1	N1				-
6.1	वि-	7	विमुक्तो	वि	वि_मुच्1{कृत्_प्रत्ययः:क्त;वि_मुचॢँ;तुदादिः;पुं}{1;एक}	बहुव्रीहिः ,6.2	बहुव्रीहिः ,6.2	CP	सबसे_मुक्तहोकर	liberated	<वि-मुक्तः>Bvp	-
6.2	मुक्तः	-	-	मुक्त{पुं}{1;एक}		विशेषणम्,8.1.1	विशेषणम्,8.1.1	N1				-
7.1	माम्	9	मामुपैष्यसि	अस्मद्{2;एक}	अस्मद्{2;एक}	कर्म,8.1	कर्म,8.1	N2	मुझको_ही	to_Me	-	-
8.1	उपैष्यसि	10	0	उप_इ1{कर्तरि;लृट्;म;एक;परस्मैपदी;इण्;अदादिः}	उप_इ1{कर्तरि;लृट्;म;एक;परस्मैपदी;उप_इण्;अदादिः}	अभिहित_कर्ता,8.1.1;सकर्मकः.1	अभिहित_कर्ता,8.1.1;सकर्मकः.1	KP	प्राप्तहोजाओगे	will_attain	-	-
8.1.1	(त्वम्)	8	(0)	(युष्मद्{1;एक})	(युष्मद्{1;एक})	कर्ता,8.1	कर्ता,8.1	N1	(तुम)	you	-	-
