index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color	hindi_meaning	english_meaning	samAsa	prayoga
1.1	यः	2	यो	यद्{पुं}{1;एक}	यद्{पुं}{1;एक}	विशेषणम्,4.2;नित्यसम्बन्धः,7.1	विशेषणम्,4.2;नित्यसम्बन्धः,7.1	N1	जो	anyone	-	-
2.1	माम्	4	मामेवमसम्मूढो	अस्मद्{2;एक}	अस्मद्{2;एक}	कर्म,5.1	कर्म,5.1	N2	मुझको	unto_Me	-	-
3.1	एवम्	5	0	एवम्{अव्य}	एवम्{अव्य}	सम्बन्धः,5.1	सम्बन्धः,5.1	NA	इस_प्रकार_(तत्त्व_से)	certainly	-	-
4.1	अ-	3	0	असम्मूढः{पुं}{1;एक}	न	नञ्-तत्पुरुषः,4.2	नञ्-तत्पुरुषः,4.2	CP	ज्ञानी_पुरुष	without_a_doubt	<न-सम्मूढः>Tn	-
4.2	सम्मूढः	-	-		सम्मूढ{पुं}{1;एक}	कर्ता,5.1	कर्ता,5.1	N1				-
5.1	जानाति	7	जानाति	ज्ञा1{कर्तरि;लट्;प्र;एक;परस्मैपदी;ज्ञा;भ्वादिः}/ज्ञा2{कर्तरि;लट्;प्र;एक;परस्मैपदी;ज्ञा;क्र्यादिः}	ज्ञा2{कर्तरि;लट्;प्र;एक;परस्मैपदी;ज्ञा;क्र्यादिः}	अभिहित_कर्ता,4.2	अभिहित_कर्ता,4.2	KP	जानता_है	knows	-	-
6.1	पुरुष-	6	पुरुषोत्तमम्	पुरुष	पुरुष	सप्तमी-तत्पुरुषः,6.2	सप्तमी-तत्पुरुषः,6.2	CP	पुरुषोत्तम	the_Supreme_Personality_of_Godhead	<पुरुष-उत्तमम्>T7	-
6.2	उत्तमम्	-	-	उत्तम{पुं}{2;एक}/उत्तम{नपुं}{1;एक}/उत्तम{नपुं}{2;एक}	उत्तम{पुं}{2;एक}	कर्मसमानाधिकरणम्,5.1	कर्मसमानाधिकरणम्,5.1	N2				-
7.1	सः	8	स	तद्{पुं}{1;एक}	तद्{पुं}{1;एक}	विशेषणम्,8.1	विशेषणम्,8.1	N1	वह	he	-	-
8.1	सर्व-	9	सर्वविद्भजति	सर्व	सर्व	उपपद-तत्पुरुषः,8.2	उपपद-तत्पुरुषः,8.2	CP	सर्वज्ञ_पुरुष	knower_of_everything	<सर्व-वित्>U	-
8.2	विद्	-	-	विद्{पुं}{1;एक}/विद्{स्त्री}{1;एक}	विद्{पुं}{1;एक}	कर्ता,9.1	कर्ता,9.1	N1				-
9.1	भजति	12	0	भज्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भजँ;भ्वादिः}	भज्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भजँ;भ्वादिः}	अभिहित_कर्ता,7.1;सकर्मकः.1	अभिहित_कर्ता,7.1;सकर्मकः.1	KP	भजता_है	renders_devotional_service	-	-
10.1	माम्	11	मां	अस्मद्{2;एक}	अस्मद्{2;एक}	कर्म,9.1	कर्म,9.1	N2	मुझ_वासुदेव_परमेश्वर_को	unto_Me	-	-
11.1	सर्व-	10	सर्वभावेन	सर्व	सर्व	कर्मधारयः,11.2	कर्मधारयः,11.2	CP	सब_प्रकार_से_निरन्तर	in_all_respects	<सर्व-भावेन>K1	-
11.2	भावेन	-	-	भाव{पुं}{3;एक}	भाव{पुं}{3;एक}	क्रियाविशेषणम्,9.1	क्रियाविशेषणम्,9.1	N3				-
12.1	भारत	1	भारत	भारत{नपुं}{8;एक}/भारत{पुं}{8;एक}	भारत{पुं}{8;एक}	सम्बोध्यः,9.1	सम्बोध्यः,9.1	N8	हे_भारत	O_son_of_Bharata	-	-
												
