index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
1.1	न		न	न{अव्य}	न{अव्य}	प्रतिषेधः,5.1	प्रतिषेधः,5.1	NA	नहीं	नहीं
2.1	अति-		अति-अश्नतः	अति	अति	तत्पुरुषः,2.2	तत्पुरुषः,2.2	CP	अति-	अति-
2.2	अश्नतः		--	अश्नत्{पुं;2;बहु(अश्2;शतृ_लट्;क्र्यादिः)}/अश्नत्{पुं;5;एक(अश्2;शतृ_लट्;क्र्यादिः)}/अश्नत्{पुं;6;एक(अश्2;शतृ_लट्;क्र्यादिः)}/अश्नत्{नपुं;5;एक(अश्2;शतृ_लट्;क्र्यादिः)}/अश्नत्{नपुं;6;एक;अश्2;शतृ_लट्;क्र्यादिः}	अश्नत्{पुं;6;एक;अश्2;शतृ_लट्;क्र्यादिः}	कर्ता,4.1	कर्ता,4.1;विशेषणम्,13.1;विशेषणम्,12.3;षष्ठीसम्बन्धः,17.1;षष्ठीसम्बन्धः,12.3;षष्ठीसम्बन्धः,8.1;षष्ठीसम्बन्धः,4.1;हेतुः5,13.1;हेतुः5,9.2;हेतुः5,5.1;कर्म,9.2	N6	खाते_हुए	खाते_हुए
3.1	तु		तु	तु{अव्य}	तु{अव्य}	सम्बन्धः,2.2	सम्बन्धः,2.2;सुप्_समुच्चितः,6.1	NA	तो	तो
4.1	योगः		योगः	योग{पुं;1;एक}	योग{पुं;1;एक}	कर्ता,5.1	कर्ता,5.1	N1	योग	योग
5.1	अस्ति		अस्ति	अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;अदादिः}	अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;अदादिः}	अभिहित_कर्ता,4.1	अभिहित_कर्ता,4.1	KP	है	है
6.1	न		न	न{अव्य}	न{अव्य}	प्रतिषेधः,9.2.2	प्रतिषेधः,9.2.2	NA	नहीं	नहीं
7.1	च		च	च{अव्य}	च{अव्य}	सम्बन्धः,6.1	सम्बन्धः,6.1;सुप्_समुच्चितः,10.1;सुप्_समुच्चय_द्योतकः,6.1	NA	और	और
8.1	एकान्तं		एकान्तं	एकान्त{नपुं;1;एक}/एकान्त{नपुं;2;एक}	एकान्त{नपुं;1;एक}	क्रियाविशेषणम्,9.2	क्रियाविशेषणम्,9.2;;क्रियाविशेषणम्,13.1;क्रियाविशेषणम्,5.1;क्रियाविशेषणम्,2.2;कर्म,9.2;कर्म,2.2;कर्ता_बे_वेर्ब्स्,5.1	N1	एकान्त	एकान्त
9.1	अ-		अ-अश्नतः	अ	अ	नञ्_तत्पुरुषः,9.2	नञ्_तत्पुरुषः,9.2	CP	अ-	अ-
