index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color	hindi_meaning	english_meaning	samAsa	prayoga
1.1	न	3	न	न{अव्य}	न{अव्य}	प्रतिषेधः,3.1	प्रतिषेधः,3.1	NA	न	never	-	-
2.1	मे	1	मे	अस्मद्{6;एक}	अस्मद्{6;एक}	षष्ठीसम्बन्धः,5.1	षष्ठीसम्बन्धः,5.1	N6	मेरे	my	-	-
3.1	विदुः	8	विदुः	विदु{पुं}{1;एक}/विदुस्{नपुं}{1;एक}/विदुस्{नपुं}{2;एक}/विद्1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;विदँ;अदादिः}	विद्1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;विदँ;अदादिः}	अभिहित_कर्ता,3.1;अकर्मकः.1	अभिहित_कर्ता,3.1;अकर्मकः.1	KP	जानते_हैं	knows	-	-
4.1	सुर-गणाः	4	सुर-गणाः	सुर-	सुर-	षष्ठी-तत्पुरुषः,4.2	षष्ठी-तत्पुरुषः,4.2	CP		demigods	<सुर-गणाः>T6	-
4.2				गण{पुं}{1;बहु}	गण{पुं}{1;बहु}	कर्ता,3.1	कर्ता,3.1	N1	देवतालोग			
5.1	प्रभवम्	2	प्रभवं	प्रभव{पुं}{2;एक}	प्रभव{पुं}{2;एक}	कर्म,3.1	कर्म,3.1	N2	उत्पत्ति_को_अर्थात्_लीला_से_प्रकट_होने_को	opulences	-	-
6.1	न	6	न	न{अव्य}	न{अव्य}	प्रतिषेधः,7.1	प्रतिषेधः,7.1	NA	न	never	-	-
7.1	महर्षयः	7	महर्षयः	महत्-ऋषि{पुं}{1;बहु}	महत्-ऋषि{पुं}{1;बहु}	कर्ता,3.1	कर्ता,3.1	N1	महर्षिजन	great_sages	<महत्-ऋषयः>K1	-
8.1	अहम्	10	अहमादिर्हि	अस्मद्{1;एक}	अस्मद्{1;एक}	कर्ता,14.1.1	कर्ता,14.1.1	N1	मैं	I	-	-
9.1	आदिः	15	0	आदि{पुं}{1;एक}	आदि{पुं}{1;एक}	कर्तृसमानाधिकरणम्,14.1.1	कर्तृसमानाधिकरणम्,14.1.1	N1	आदि_कारण	the_origin	-	-
10.1	हि	9	0	हि{अव्य}	हि{अव्य}	सम्बन्धः,8.1	सम्बन्धः,8.1	NA	क्योंकि	certainly	-	-
11.1	देवानाम्	11	देवानां	देव{पुं}{6;बहु}	देव{पुं}{6;बहु}	सुप्_समुच्चितम्,13.1	सुप्_समुच्चितम्,13.1	N6	देवताओं_का	of_the_demigods	-	-
12.1	महर्षीणां	13	महर्षीणां	महत्-ऋषि{पुं}{6;बहु}	महत्-ऋषि{पुं}{6;बहु}	षष्ठीसम्बन्धः,9.1	षष्ठीसम्बन्धः,9.1	N6	महर्षियों_का	of_the_great_sages	<महत्-ऋषीणां>K1	-
13.1	च	12	च	च{अव्य}	च{अव्य}	समुच्चयद्योतकः,12.1	समुच्चयद्योतकः,12.1	NA	और	also	-	-
14.1	सर्वशः	14	सर्वशः	सर्वशः{अव्य}	सर्वशः{अव्य}	क्रियाविशेषणम्,14.1.1	क्रियाविशेषणम्,14.1.1	NA	सब_प्रकार_से	in_all_respects	-	-
14.1.1	(अस्मि)	16	(0)	(अस्मि{अव्य}/अस्2{कर्तरि;लट्;उ;एक;परस्मैपदी;असँ;अदादिः})	(अस्2{कर्तरि;लट्;उ;एक;परस्मैपदी;असँ;अदादिः})	अभिहित_कर्ता,8.1;अकर्मकः.1	अभिहित_कर्ता,8.1;अकर्मकः.1	KP	(हूँ)	am	-	-
