index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha.1	kaaraka_sambandha.1	color	hindi_meaning	english_meaning	samAsa	prayoga
1.1	रजः	2	रजस्तमश्चाभिभूय	रजस्{पुं}{8;एक}/रजस्{नपुं}{1;एक}/रजस्{नपुं}{2;एक}/रजस्{नपुं}{8;एक}	रजस्{नपुं}{2;एक}	सुप्_समुच्चितम्,2.1	सुप्_समुच्चितम्,2.1	N2	रजोगुण	mode_of_passion	-	-
2.1	तमः	4	0	तम{पुं}{1;एक}/तमस्{नपुं}{1;एक}/तमस्{नपुं}{2;एक}/तमस्{नपुं}{8;एक}	तमस्{नपुं}{2;एक}	कर्म,4.1	कर्म,4.1	N2	तमोगुण_को	mode_of_ignorance	-	-
3.1	च	3	0	च{अव्य}	च{अव्य}	समुच्चयद्योतकः,2.1	समुच्चयद्योतकः,2.1	NA	और	also	-	-
4.1	अभिभूय	5	0	अभि_भू1{कृत्_प्रत्ययः:ल्यप्;भू;भ्वादिः}/अभि_भू2{कृत्_प्रत्ययः:ल्यप्;भू;चुरादिः}	अभि_भू1{कृत्_प्रत्ययः:ल्यप्;अभि_भू;भ्वादिः}	पूर्वकालः,6.1	पूर्वकालः,6.1	NA	दबाकर	also_surpassing	-	-
5.1	सत्त्वम्	6	सत्त्वं	सत्त्व{पुं}{2;एक}/सत्त्व{नपुं}{1;एक}/सत्त्व{नपुं}{2;एक}/सत्त्व{नपुं}{1;एक}/सत्त्व{नपुं}{2;एक}	सत्त्व{नपुं}{1;एक}	कर्ता,6.1	कर्ता,6.1	N1	सत्त्वगुण	mode_of_goodness	-	-
6.1	भवति	21	भवति	भवत्{पुं}{7;एक}/भवती{स्त्री}{8;एक}/भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भू;भ्वादिः}	भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भू;भ्वादिः}	अभिहितकर्ता,5.1;अकर्मकः.1	अभिहितकर्ता,5.1;अकर्मकः.1	KP	होता_है	becomes	-	-
7.1	भारत	1	भारत	भारत{नपुं}{8;एक}/भारत{पुं}{8;एक}	भारत{पुं}{8;एक}	सम्बोध्यः,6.1	सम्बोध्यः,6.1	N8	हे_अर्जुन	O_son_of_Bharata	-	-
8.1	रजः	18	रजस्तथा	रजस्{पुं}{8;एक}/रजस्{नपुं}{1;एक}/रजस्{नपुं}{2;एक}/रजस्{नपुं}{8;एक}	रजस्{नपुं}{2;एक}	कर्ता,12.1.1	कर्ता,12.1.1	N2	रजोगुण_को	mode_of_passion	-	-
9.1	सत्त्वम्	16	सत्त्वं	सत्त्व{पुं}{2;एक}/सत्त्व{नपुं}{1;एक}/सत्त्व{नपुं}{2;एक}/सत्त्व{नपुं}{1;एक}/सत्त्व{नपुं}{2;एक}	सत्त्व{नपुं}{2;एक}	सुप्_समुच्चितम्,10.1	सुप्_समुच्चितम्,10.1	N2	सत्त्वगुण	mode_of_goodness	-	-
10.1	तमः	20	तमः	तम{पुं}{1;एक}/तमस्{नपुं}{1;एक}/तमस्{नपुं}{2;एक}/तमस्{नपुं}{8;एक}	तमस्{नपुं}{1;एक}	कर्म,11.1.1	कर्म,11.1.1	N1	तमोगुण	mode_of_ignorance	-	-
