index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color	hindi_meaning	english_meaning	samAsa	prayoga
1.1	मया	2	मयाध्यक्षेण	अस्मद्{3;एक}	अस्मद्{3;एक}	विशेषणम्,2.1	विशेषणम्,2.1	N3	मेरे_द्वारा	by_Me	-	-
2.1	अध्यक्षेण	3	0	अध्यक्ष{पुं}{3;एक}/अध्यक्ष{नपुं}{3;एक}	अध्यक्ष{पुं}{3;एक}	करणम्,4.1	करणम्,4.1	N3	अधिष्ठाता_के_सकाश_से	by_superintendence	-	-
3.1	प्रकृतिः	4	प्रकृतिः	प्रकृति{स्त्री}{1;एक}	प्रकृति{स्त्री}{1;एक}	कर्ता,4.1	कर्ता,4.1	N1	प्रकृति	material_nature	-	-
4.1	सूयते	6	सूयते	सूयता{स्त्री}{1;द्वि}/सूयता{स्त्री}{2;द्वि}/सूयता{स्त्री}{8;एक}/सूयता{स्त्री}{8;द्वि}/सू1{कर्मणि;लट्;प्र;एक;आत्मनेपदी;षूङ्;अदादिः}/सू2{कर्तरि;लट्;प्र;एक;आत्मनेपदी;षूङ्;दिवादिः}/सू2{कर्मणि;लट्;प्र;एक;आत्मनेपदी;षूङ्;दिवादिः}/सू3{कर्मणि;लट्;प्र;एक;आत्मनेपदी;षू;तुदादिः}/सु1{कर्मणि;लट्;प्र;एक;आत्मनेपदी;षु;भ्वादिः}/सु2{कर्मणि;लट्;प्र;एक;आत्मनेपदी;षु;अदादिः}/सु3{कर्मणि;लट्;प्र;एक;आत्मनेपदी;षुञ्;स्वादिः}	सू2{कर्तरि;लट्;प्र;एक;आत्मनेपदी;षूङ्;दिवादिः}			KP	रचती_है	manifests	-	-
5.1	स-	5	सचराचरम्	सचराचर{पुं}{2;एक}/सचराचर{नपुं}{1;एक}/सचराचर{नपुं}{2;एक}	सचराचर{नपुं}{2;एक}	अव्ययीभावः,5.2	अव्ययीभावः,5.2	CP	चराचरसहित_सर्वजगत्_को	with_the_moving_and_the_nonmoving	<स-<चर-<न-चरम्>Tn>Di>BvS	-
5.2	चर-	-	-			द्वन्दः,5.4	द्वन्दः,5.4	CP				-
5.3	अ-	-	-			नञ्-तत्पुरुषः,5.4	नञ्-तत्पुरुषः,5.4	CP				-
5.4	चरम्	-	-			कर्म,4.1	कर्म,4.1	N2				-
6.1	हेतुना	8	हेतुनानेन	हेतु{पुं}{3;एक}	हेतु{पुं}{3;एक}	हेतुः,10.1	हेतुः,10.1	N3	हेतु_से_ही	for_this_reason	-	-
7.1	अनेन	7	0	अन{पुं}{3;एक}/इदम्{पुं}{3;एक}/इदम्{नपुं}{3;एक}	इदम्{पुं}{3;एक}	विशेषणम्,6.1	विशेषणम्,6.1	N3	इस	this	-	-
8.1	कौन्तेय	1	कौन्तेय	कौन्तेय{पुं}{8;एक}	कौन्तेय{पुं}{8;एक}	सम्बोध्यः,4.1	सम्बोध्यः,4.1	N8	हे_अर्जुन	O_son_of_Kunti	-	-
9.1	जगत्	9	जगद्विपरिवर्तते	जगत्{पुं}{1;एक}/जगत्{पुं}{8;एक}/जगत्{नपुं}{1;एक}/जगत्{नपुं}{2;एक}/जगत्{नपुं}{8;एक}	जगत्{नपुं}{1;एक}	कर्ता,10.1	कर्ता,10.1	N1	यह_संसार-चक्र	the_cosmic_manifestation	-	-
10.1	विपरिवर्तते	10	0	वि_परि_वृत्1{कर्तरि;लट्;प्र;एक;आत्मनेपदी;वृतुँ;भ्वादिः}	वि_परि_वृत्1{कर्तरि;लट्;प्र;एक;आत्मनेपदी;वि_परि_वृतुँ;भ्वादिः}			KP	घूम_रहा_है	is_working	-	-
