index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color	hindi_meaning	english_meaning	samAsa	prayoga
1.1	अन्ये	1	अन्ये	अन्य{नपुं;1;द्वि}/अन्य{नपुं;2;द्वि}/अन्य{नपुं;7;एक}/अन्य{नपुं;8;द्वि}/अन्य{पुं;1;बहु}/अन्य{नपुं;1;द्वि}/अन्य{नपुं;2;द्वि}/अन्या{स्त्री;1;द्वि}/अन्या{स्त्री;2;द्वि}/अन्या{स्त्री;8;एक}/अन्या{स्त्री;8;द्वि}/अन्या{स्त्री;1;द्वि}/अन्या{स्त्री;2;द्वि}/अन्1{भावे;लट्;उ;एक;आत्मनेपदी;अनँ;अदादिः}	अन्य{पुं}{1;बहु}	कर्ता,7.1	कर्ता,7.1	N1	इनसे_दूसरे_(अर्थात्_जो_मन्द_बुद्धिवाले_पुरुष)	others	-	-
2.1	तु	2	त्वेवमजानन्तः	तु{अव्य}	तु{अव्य}	सम्बन्धः,1.1	सम्बन्धः,1.1	NA	परंतु	but	-	-
3.1	एवम्	3		एवम्{अव्य}	एवम्{अव्य}	सम्बन्धः,4.2	सम्बन्धः,4.2	NA	इस_प्रकार	thus	-	-
4.1	अ-	4		अ	न	नञ्-तत्पुरुषः,4.2	नञ्-तत्पुरुषः,4.2	CP	न_जानते_हुए	without_spiritual_knowledge	<न-जानन्तः>Tn	-
4.2	जानन्तः	-	-	जानन्तः	ज्ञा2{कृत्_प्रत्ययः:शतृ;ज्ञा;क्र्यादिः;पुं;1;बहु}	वर्तमानसमानकालः,7.1	वर्तमानसमानकालः,7.1	N1				-
5.1	श्रुत्वा	6	श्रुत्वान्येभ्य	श्रु1{कृत्_प्रत्ययः:क्त्वा;श्रु;भ्वादिः}/श्रु{कृत्_प्रत्ययः:त्वा;श्रु;भ्वादिः}	श्रु1{कृत्_प्रत्ययः:क्त्वा;श्रु;भ्वादिः}	पूर्वकालः,7.1	पूर्वकालः,7.1	NA	सुनकर	by_hearing	-	-
6.1	अन्येभ्यः	5		अन्य{नपुं;4;बहु}/अन्य{नपुं;5;बहु}/अन्य{पुं;4;बहु}/अन्य{पुं;5;बहु}/अन्य{नपुं;4;बहु}/अन्य{नपुं;5;बहु}	अन्य{पुं;5;बहु}	अपादानम्,5.1	अपादानम्,5.1	N5	दूसरों_से_(अर्थात्_तत्त्व_के_जाननेवाले_पुरुषों_से)	from_others	-	-
7.1	उपासते	7	उपासते	उप_आस्1{कर्तरि;लट्;प्र;बहु;आत्मनेपदी;आसँ;अदादिः}	उप_आस्1{कर्तरि;लट्;प्र;बहु;आत्मनेपदी;उप_आसँ;अदादिः}	अभिहित_कर्ता,1.1	अभिहित_कर्ता,1.1	KP	उपासना_करते_हैं	begin_to_worship	-	-
8.1	ते	8	तेऽपि	तद्{सर्व;पुं1;बहु}/तद्{सर्व;स्त्री;1;द्वि}/तद्{सर्व;स्त्री;2;द्वि}/तद्{सर्व;नपुं;1;द्वि}/तद्{सर्व;नपुं;2;द्वि}/युष्मद्{सर्व;अ;4;एक}/युष्मद्{सर्व;अ;6;एक}	तद्{पुं}{1;बहु}	विशेषणम्,14.2	विशेषणम्,13.1#विशेषणम्,14.2	N1	वे	they	-	-
9.1	अपि	9		अपि{अव्य}	अपि{अव्य}	सम्बन्धः,8.1	सम्बन्धः,8.1	NA	और	also	-	-
10.1	च	10	चातितरन्त्येव	च{अव्य} 	च{अव्य}	सम्बन्धः,9.1	सम्बन्धः,9.1	NA				
11.1	अतितरन्ति			अति_तॄ1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;तॄ;भ्वादिः}	अति_तॄ1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;अति_तॄ;भ्वादिः}	अभिहित_कर्ता,14.2	अभिहित_कर्ता,14.2	KP	निःसन्देह_तर_जाते_हैं	transcend	-	-
12.1	एव	11		एव{अव्य}	एव{अव्य}	सम्बन्धः,11.1	सम्बन्धः,10.1	NA	ही	certainly	-	-
13.1	मृत्युम्	12	मृत्युं	मृत्यु{पुं;2;एक}	मृत्यु{पुं;2;एक}	कर्म,11.1	कर्म,10.1	N2	मृत्युरूप_संसारसागर_को	the_path_of_death	-	-
14.1	श्रुति-	10	श्रुतिपरायणाः	श्रुति	श्रुति	बहुव्रीहिः,14.2	बहुव्रीहिः,13.2	CP	श्रवणपरायण_पुरुष	inclined_to_the_process_of_hearing	<श्रुति-परायणाः>Bs6	-
14.2	परायणाः	-	-	परायणा{स्त्री;1;बहु}/परायणा{स्त्री;2;बहु}/परायणा{स्त्री;8;बहु}	परायण{पुं}{1;बहु}	कर्ता,11.1	कर्ता,10.1	N1				-
