index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	english_meaning	samAsa	prayoga
1.1	अ-	20	अपरेयमितस्त्वन्यां	अ	अ	नञ्-तत्पुरुषः,1.2	नञ्-तत्पुरुषः,17.2	CP	अपरा_(अर्थात्_मेरी_जड़_प्रकृति)	inferior	<न-परा>Tn	-
1.2	परा	-	-	परा{स्त्री;1;एक}	परा{स्त्री;1;एक}	विधेय_विशेषणम्,2.1	विधेय_विशेषणम्,2.1	N1				-
2.1	इयम्	18	0	इदम्{स्त्री;1;एक}	इदम्{स्त्री;1;एक}	कर्ता,2.1.1	कर्ता,2.1.1	N1	यह	this	-	-
2.1.1	(अस्ति)	21	(0)	अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;अदादिः}	अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;अदादिः}	अभिहित_कर्ता,2.1	अभिहित_कर्ता,2.1	KP	(है)	is	-	-
3.1	इतः	23	0	इतः{अव्य}/इत{पुं;1;एक}/इ1{कर्तरि;लट्;प्र;द्वि;परस्मैपदी;इण्;अदादिः}	इतः{अव्य}	अपादानम्,5.1	अपादानम्,5.1	NA	इससे	besides_this	-	-
4.1	तु	19	0	तु{अव्य}	तु{अव्य}	सम्बन्धः,3.1	सम्बन्धः,3.1	NA	तो	but	-	-
5.1	अन्याम्	24	0	अन्या{स्त्री;2;एक}/अन्या{स्त्री;2;एक}/अन्1{कर्तरि;विधिलिङ्;उ;एक;परस्मैपदी;अनँ;अदादिः}	अन्या{स्त्री;2;एक}	विशेषणम्,6.1	विशेषणम्,6.1	N2	दूसरीको	another	-	-
6.1	प्रकृतिम्	32	प्रकृतिं	प्रकृति{स्त्री;2;एक}	प्रकृति{स्त्री;2;एक}	कर्म,7.1	कर्म,7.1	N2	प्रकृति	energy	-	-
7.1	विद्धि	33	विद्धि	विद्1{कर्तरि;लोट्;म;एक;परस्मैपदी;विदँ;अदादिः}	विद्1{कर्तरि;लोट्;म;एक;परस्मैपदी;विदँ;अदादिः}	अभिहित_कर्ता,7.1.1	अभिहित_कर्ता,7.1.1	KP	जान	just_try_to_understand	-	-
7.1.1	(त्वम्)			युष्मद्{सर्वनाम;1;एक}	युष्मद्{सर्वनाम;1;एक}	कर्ता,7.1	कर्ता,7.1	N1	तुम	तुम
8.1	मे	29	मे	अस्मद्{6;एक}	अस्मद्{6;एक}	षष्ठीसम्बन्धः,9.1	षष्ठीसम्बन्धः,9.1	N6	मेरी	my	-	-
9.1	पराम्	31	पराम्	परा{स्त्री;2;एक}	परा{स्त्री;2;एक}	विशेषणम्,11.2	विशेषणम्,11.2	N2	परा_(अर्थात्_चेतन)	superior	-	-
10.1	जीव-	30	जीवभूताम्	जीव	जीव	द्वितीया-तत्पुरुषः,11.2	द्वितीया-तत्पुरुषः,11.2	CP	जीवरूपा	the_living_entities	<जीव-भूतां>T2	-
11.2	भूताम्	-	-	भूता{स्त्री;2;एक}	भूता{स्त्री;2;एक}	विशेषणम्,6.1	विशेषणम्,6.1	N2				-
12.1	महान्-	22	महाबाहो	महा	महा	बहुव्रीहिः,12.2	बहुव्रीहिः,12.2	CP	हे_महाबाहो	O_mighty-armed_one	<महत्-बाहो>Bs6	-
12.2	बाहो	-	-	बाहु{पुं;8;एक}/बाहु{नपुं;8;एक}	बाहु{पुं;8;एक}	सम्बोध्यः,7.1	सम्बोध्यः,7.1	N8				-
14.1	यया	25	ययेदं	यद्{स्त्री;3;एक}	यद्{स्त्री;3;एक}	करणम्,16.1	करणम्,16.1	N3	जिससे	by_whom	-	-
15.1	इदम्	26	0	इदम्{नपुं;1;एक}/इदम्{नपुं;2;एक}	इदम्{नपुं;2;एक}	विशेषणम्,17.1	विशेषणम्,17.1	N2	यह	this	-	-
16.1	धार्यते	28	धार्यते	धार्यता{स्त्री;1;द्वि}/धार्यता{स्त्री;2;द्वि}/धार्यता{स्त्री;8;एक}/धार्यता{स्त्री;8;द्वि}/धृ1_णिच्{कर्मणि;लट्;प्र;एक;आत्मनेपदी;धृञ्_णिच्;भ्वादिः}	धृ1_णिच्{कर्मणि;लट्;प्र;एक;आत्मनेपदी;धृञ्_णिच्;भ्वादिः}	अभिहित_कर्म,.1	अभिहित_कर्म,.1	KP	धारण_किया_जाता_है	being_utilised_or_exploited	-	-
17.1	जगत्	27	जगत्	जगत्{पुं;1;एक}/जगत्{पुं;8;एक}/जगत्{नपुं;1;एक}/जगत्{नपुं;2;एक}/जगत्{नपुं;8;एक}	जगत्{नपुं;2;एक}	कर्म,16.1	कर्म,16.1	N2	जगत्	the_material_world	-	-
