index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color	hindi_meaning	english_meaning	samAsa	prayoga
1.1	अहम्	1	अहं	अस्मद्{1;एक}	अस्मद्{1;एक}	कर्ता,2.1.1	कर्ता,2.1.1	N1	मैं	I	-	-
2.1	क्रतुः	2	क्रतुरहं	क्रतु{पुं}{1;एक}	क्रतु{पुं}{1;एक}	कर्तृसमानाधिकरणम्,2.1.1	कर्तृसमानाधिकरणम्,2.1.1	N1	क्रतु	ritual	-	-
2.1.1	(अस्मि)	3	(0)	(अस्मि{अव्य}/अस्2{कर्तरि;लट्;उ;एक;परस्मैपदी;असँ;अदादिः})	(अस्2{कर्तरि;लट्;उ;एक;परस्मैपदी;असँ;अदादिः})	-0.1	-0.1	KP	(हूँ)	am	-	-
3.1	अहम्	4	0	अस्मद्{1;एक}	अस्मद्{1;एक}	कर्ता,4.1.1	कर्ता,4.1.1	N1	मैं	I	-	-
4.1	यज्ञः	5	यज्ञः	यज्ञ{पुं}{1;एक}	यज्ञ{पुं}{1;एक}	कर्तृसमानाधिकरणम्,4.1.1	कर्तृसमानाधिकरणम्,4.1.1	N1	यज्ञ	sacrifice	-	-
4.1.1	(अस्मि)	6	(0)	(अस्मि{अव्य}/अस्2{कर्तरि;लट्;उ;एक;परस्मैपदी;असँ;अदादिः})	(अस्2{कर्तरि;लट्;उ;एक;परस्मैपदी;असँ;अदादिः})	-0.1	-0.1	KP	(हूँ)	am	-	-
5.1	स्वधा	8	स्वधाहमहमौषधम्	स्वधा{अव्य}/स्वधा{स्त्री}{1;एक}	स्वधा{स्त्री}{1;एक}	कर्तृसमानाधिकरणम्,6.1.1	कर्तृसमानाधिकरणम्,6.1.1	N1	स्वधा	oblation	-	-
6.1	अहम्	10	0	अस्मद्{1;एक}	अस्मद्{1;एक}	कर्ता,6.1.1	कर्ता,6.1.1	N1	मैं	I	-	-
6.1.1	(अस्मि)	9	(0)	(अस्मि{अव्य}/अस्2{कर्तरि;लट्;उ;एक;परस्मैपदी;असँ;अदादिः})	(अस्2{कर्तरि;लट्;उ;एक;परस्मैपदी;असँ;अदादिः})	-0.1	-0.1	KP	(हूँ)	am	-	-
7.1	अहम्	7	0	अस्मद्{1;एक}	अस्मद्{1;एक}	कर्ता,8.1.1	कर्ता,8.1.1	N1	मैं	I	-	-
8.1	औषधम्	11	0	औषध{पुं}{2;एक}/औषध{नपुं}{1;एक}/औषध{नपुं}{2;एक}	औषध{नपुं}{1;एक}	कर्तृसमानाधिकरणम्,8.1.1	कर्तृसमानाधिकरणम्,8.1.1	N1	ओषधि	healing_herb	-	-
8.1.1	(अस्मि)	12	(0)	(अस्मि{अव्य}/अस्2{कर्तरि;लट्;उ;एक;परस्मैपदी;असँ;अदादिः})	(अस्2{कर्तरि;लट्;उ;एक;परस्मैपदी;असँ;अदादिः})	-0.1	-0.1	KP	(हूँ)	am	-	-
9.1	मन्त्रः	14	मन्त्रोऽहमहमेवाज्यमहमग्निरहं	मन्त्र{पुं}{1;एक}	मन्त्र{पुं}{1;एक}	कर्तृसमानाधिकरणम्,10.1.1	कर्तृसमानाधिकरणम्,10.1.1	N1	मन्त्र	transcendental_chant	-	-
10.1	अहम्	13	0	अस्मद्{1;एक}	अस्मद्{1;एक}	कर्ता,10.1.1	कर्ता,10.1.1	N1	मैं	I	-	-
