index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code_code	hindi_meaning	hindi_meaning_active
1.1	यः		यः	यद्{सर्वनाम;पुं;1;एक}	यद्{सर्वनाम;पुं;1;एक}	कर्ता_बे_वेर्ब्स्,4.1;नित्यसम्बन्धः,7.1	विशेषणम्,7.1#नित्य_सम्बन्धः1,7.1#कर्ता_बे_वेर्ब्स्,4.1#कर्ता_बे_वेर्ब्स्,4.1;नित्यसम्बन्धः,7.1	N1	जो	जो
2.1	शास्त्रविधिम्		शास्त्रविधिम्	शास्त्रविधि{पुं;2;एक}	शास्त्रविधि{पुं;2;एक}	कर्म,3.1	कर्म,9.1#कर्म,3.1	N2	शास्त्रीय_विधि_को	शास्त्रीय_विधि_को
3.1	उत्सृज्य		उत्सृज्य	उत्_सृज्2{अव्य;ल्यप्;तुदादिः}	उत्_सृज्2{अव्य;ल्यप्;तुदादिः}	पूर्वकालः,4.1	पूर्वकालः,4.1	NA	उडेल_कर	उडेल_कर
4.1	वर्तते		वर्तते	वृत्1{कर्तरि;लट्;प्र;एक;आत्मनेपदी;भ्वादिः}	वृत्1{कर्तरि;लट्;प्र;एक;आत्मनेपदी;भ्वादिः}	-	-	KP	होता_है	होता_है
5.1	कामकारतः		कामकारतः	कामकारतः{अव्य}	कामकारतः{अव्य}	हेतुः,4.1	हेतुः,4.1	NA		
6.1	न		न	न{अव्य}	न{अव्य}	प्रतिषेधः,9.1	प्रतिषेधः,9.1	NA	नहीं	नहीं
7.1	सः		सः	तद्{सर्वनाम;पुं;1;एक}	तद्{सर्वनाम;पुं;1;एक}	कर्ता,9.1	कर्ता,9.1	N1	वह	वह
8.1	सिद्धिम्		सिद्धिम्	सिद्धि{स्त्री;2;एक}	सिद्धि{स्त्री;2;एक}	कर्म,9.1	कर्म,9.1	N2	पूर्णता_को	पूर्णता_को
9.1	अवाप्नोति		अवाप्नोति	अव_आप्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;स्वादिः}	अव_आप्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;स्वादिः}	-	-	KP	पाता_है	पाता_है
10.1	न		न	न{अव्य}	न{अव्य}	प्रतिषेधः,11.2	प्रतिषेधः,11.2	NA	नहीं	नहीं
11.1	सुखम्		सुखम्	सुखम्{अव्य}/सुख{पुं;2;एक}/सुख{नपुं;1;एक}/सुख{नपुं;2;एक}	सुख{नपुं;2;एक}	कर्म,11.2	कर्म,11.2	N2	प्रसन्नतापूर्वक	प्रसन्नतापूर्वक
11.2	(अवाप्नोति)		(अवाप्नोति)	अव_आप्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;स्वादिः}	अव_आप्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;स्वादिः}	-	-	KP		
12.1	न		न	न{अव्य}	न{अव्य}	प्रतिषेधः,14.2	प्रतिषेधः,14.2	NA	नहीं	नहीं
13.1	पराम्		पराम्	परा{सर्वनाम;स्त्री;2;एक}	परा{सर्वनाम;स्त्री;2;एक}	विशेषणम्,14.1	विशेषणम्,14.1	N2	परा_को	परा_को
14.1	गतिम्		गतिम्	गति{स्त्री;2;एक}	गति{स्त्री;2;एक}	कर्म,14.2	कर्म,14.2	N2	गति_को	गति_को
14.2	(अवाप्नोति)		(अवाप्नोति)	अव_आप्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;स्वादिः}	अव_आप्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;स्वादिः}	-	-	KP		
15.1	.		.	-	-	-	-	FS	-	-
