index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color	hindi_meaning	english_meaning	samAsa	prayoga
												
1.1	तुल्य-	1	तुल्यनिन्दास्तुतिर्मौनी	तुल्य	तुल्य	बहुव्रीहिः,1.2	बहुव्रीहिः,1.2	CP	निन्दा-स्तुति_को_समान_समझनेवाला	equal_in_defamation_and_repute	<तुल्य-<निन्दा-स्तुतिः>Di>Bs6	-
1.2	निन्दा-	-	-	निन्दा	निन्दा	इतरेतर-द्वन्द्वः,1.3	इतरेतर-द्वन्द्वः,1.3	CP				-
1.3	स्तुतिः	-	-	स्तुति{स्त्री;1;एक}	स्तुति{स्त्री;1;एक}	विशेषणम्,11.1	विशेषणम्,11.1	N1				-
2.1	मौनी	2		मौनिन्{पुं;1;एक}	बहुव्रीहिः,1.2	विशेषणम्,11.1	विशेषणम्,11.1	N1	मननशील	silent	-	-
3.1	सन्तुष्टः	5	सन्तुष्टो	सन्तुष्ट{पुं;1;एक}/सम्_तुष्1{कृत्_प्रत्ययः:क्त;वचँ;दीवादिः(सन्तुष्ट;पुं;1;एक)}	सम्_तुष्1{कृत्_प्रत्ययः:क्त;वचँ;दीवादिः(सन्तुष्ट;पुं;1;एक)}	विशेषणम्,11.1	विशेषणम्,11.1	N1	सदा_ही_संतुष्ट	satisfied	-	-
4.1	येन	3	येन	येन{अव्य}/यद्{पुं;3;एक}/यद्{नपुं;3;एक}	यद्{पुं;3;एक}	विशेषणम्,5.1	विशेषणम्,5.1	N3	जिस	somehow	-	-
5.1	केनचित्	4	केनचित्	केनचित्{अव्य}/किञ्चित्{पुं;3;एक}/किञ्चित्{नपुं;3;एक}	किञ्चित्{पुं;3;एक}	हेतुः,3.1	हेतुः,3.1	N3	किसी_प्रकार_से	or_other_if	-	-
6.1	अ-	6	अनिकेतः	अ	अ	बहुव्रीहिः,6.2	बहुव्रीहिः,6.2	CP	रहने_के_स्थान_में_ममता_और_आसक्ति_से_रहित	having_no_residence	<न-निकेतः>Bsmn	-
6.2	निकेतः	-	-			विशेषणम्,11.1	विशेषणम्,11.1	N1				-
7.1	स्थिर-	7	स्थिरमतिर्भक्तिमान्मे	स्थिर	स्थिर	बहुव्रीहिः,7.2	बहुव्रीहिः,7.2	CP	स्थिरबुद्धि	fixed_determination	<स्थिर-मतिः>Bs6	-
7.2	मतिः	-	-	मति{स्त्री;1;एक}	मति{स्त्री;1;एक}	विशेषणम्,11.1	विशेषणम्,11.1	N1				-
8.1	भक्तिमान्	8		भक्तिमत्{पुं;1;एक}	भक्तिमत्{पुं;1;एक}	विशेषणम्,11.1	विशेषणम्,11.1	N1	भक्तिमान्	engaged_in_devotion	-	-
9.1	मे	10		अस्मद्{सर्व;अ;6;एक}	अस्मद्{सर्व;अ;6;एक}	षष्ठीसम्बन्धः,10.1	षष्ठीसम्बन्धः,10.1	N6	मुझको	my	-	-
10.1	प्रियः	11	प्रियो	प्री{नपुं;5;एक}/प्री{नपुं;6;एक}/प्रिय{पुं;1;एक}	प्रिय{पुं;1;एक}	विधेय_विशेषणम्,11.1	विधेय_विशेषणम्,11.1	N1	प्रिय	dear	-	-
11.1	नरः	9	नरः	नृ{पुं;1;बहु}/नर{पुं;1;एक}	नर{पुं॑;1;एक}	कर्ता,11.1.1	कर्ता,11.1.1	N1	पुरुष	a_man	-	-
11.1.1	(अस्ति)	12	(0)	(अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;अदादिः})	(अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;अदादिः})	अभिहित_कर्ता,11.1;अकर्मकः.1	अभिहित_कर्ता,11.1;अकर्मकः.1	KP	(है)	is	-	-
