index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color	hindi_meaning	english_meaning	samAsa	prayoga
1.1	अथ	1	अथ	अथ{अव्य}	अथ{अव्य}	सम्बन्धः,5.1	सम्बन्धः,5.1	NA	यदि	if_therefore	-	-
2.1	चित्तम्	2	चित्तं	चित्त{पुं;2;एक}/चित्त{नपुं;1;एक}/चित्त{नपुं;2;एक}	चित्त{नपुं;2;एक}	कर्म,3.1	कर्म,3.1	N2	मन_को	mind	-	-
3.1	समाधातुम्	5	समाधातुं	सम्_आङ्_धा1{कृत्_प्रत्ययः:तुमुन्;डुधाञ्;जुहोत्यादिः}	सम्_आङ्_धा1{कृत्_प्रत्ययः:तुमुन्;सम्_आङ्_डुधाञ्;जुहोत्यादिः}	तुमुन्कर्म,5.1	तुमुन्कर्म,5.1	NA	स्थापन_करने_के_लिये	fixing	-	-
4.1	न	7	न	न{अव्य}	न{अव्य}	प्रतिषेधः,5.1	प्रतिषेधः,5.1	NA	नहीं	not	-	-
5.1	शक्नोषि	8	शक्नोषि	शक्1{कर्तरि;लट्;म;एक;परस्मैपदी;शकॢँ;स्वादिः}	शक्1{कर्तरि;लट्;म;एक;परस्मैपदी;शकॢँ;स्वादिः}	अभिहित_कर्ता,7.1.1;सकर्मकः.1	अभिहित_कर्ता,7.1.1;सकर्मकः.1	KP	समर्थ_हो	able	-	-
6.1	मयि	3	मयि	अस्मद्{सर्व;अ;7;एक}	अस्मद्{सर्व;अ;7;एक}	अधिकरणम्,3.1	अधिकरणम्,3.1	N7	मुझमें	upon_Me	-	-
7.1	स्थिरम्	4	स्थिरम्	स्थिर{पुं;2;एक}/स्थिर{नपुं;2;एक}/स्थिर{नपुं;1;एक}	स्थिर{नपुं;2;एक}	क्रियाविशेषणम्,3.1	कर्मसमानाधिकरणम्,3.1#क्रियाविशेषणम्,3.1	N2	अचल	fixed	-	-
7.1.1	(त्वम्)	6	(त्वम्)	(युष्मद्{सर्व;अ;1;एक})	(युष्मद्{सर्व;अ;1;एक})	कर्ता,5.1	कर्ता,5.1	N1	(तुम)	you	-	-
8.1	अभ्यास-	11	अभ्यासयोगेन	अभ्यास	अभ्यास	कर्मधारय,8.2	कर्मधारय,8.2	CP	अभ्यासरूप_योग_के_द्वारा	by_practice_of_devotional_service	<अभ्यास-योगेन>K6	-
8.2	योगेन	-		योग{पुं;3;एक}	योग{पुं;3;एक}	करणम्,12.1	करणम्,12.1	N3				-
9.1	ततः	9	ततो	ततः{अव्य}	ततः{अव्य}	हेतुः,11.1	हेतुः,11.1	NA	तो	therefore	-	-
10.1	माम्	13	मामिच्छाप्तुं	अस्मद्{सर्व;अ;2;एक}	अस्मद्{सर्व;अ;2;एक}	कर्म,12.1	कर्म,12.1	N2	मुझको	me	-	-
11.1	इच्छ	15		इष्2{कर्तरि;लोट्;म;एक;परस्मैपदी;इषुँ;तुदादिः}	इष्2{कर्तरि;लोट्;म;एक;परस्मैपदी;इषुँ;तुदादिः}	अभिहित_कर्ता,14.1;सकर्मकः.1	अभिहित_कर्ता,14.1;सकर्मकः.1	KP	इच्छा_कर	desire	-	-
12.1	आप्तुम्	14		आप्1{कृत्_प्रत्ययः:तुमुन्;आपॢँ;स्वादिः}	आप्1{कृत्_प्रत्ययः:तुमुन्;आपॢँ;स्वादिः}	तुमुन्कर्म,11.1	तुमुन्कर्म,11.1	NA	प्राप्त_होने_के_लिये	to_get	-	-
13.1	धनञ्-	10	धनञ्जय	धनञ्	धनञ्	उपपद-तत्पुरुष,13.2	उपपद-तत्पुरुष,13.2	CP	हे_अर्जुन	O_Arjuna	-	-
13.2	जय			जय{पुं;8;एक}	जय{पुं;8;एक}	सम्बोध्यः,11.1	सम्बोध्यः,11.1	N8				
14.1	(त्वम्)	12	(त्वम्)	(युष्मद्{सर्व;अ;1;एक})	(युष्मद्{सर्व;अ;1;एक})	कर्ता,11.1	कर्ता,11.1	N1	(तू)	you	-	-
