index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	english_meaning	samAsa	prayoga
1.1	सन्न्यासः(सन्न्यासं)	4	सन्न्यासस्तु	सन्न्यास{पुं;1;एक}	सन्न्यास{पुं;1;एक}	कर्म,5.1	कर्म,5.1	N2	संन्यास	the_renounced_order_of_life	-	-
2.1	तु	1	0	तु{अव्य}	तु{अव्य}	सम्बन्धः,1.1	सम्बन्धः,1.1	NA	परंतु	but	-	-
3.1	महान्-	2	महाबाहो	महा	महा	बहुव्रीहिः,3.2	बहुव्रीहिः,3.2	CP	हे_अर्जुन	O_mighty-armed_one	<महा-बाहो>Bs6	-
3.2	बाहो	-	-	बाहु{पुं;8;एक}/बाहु{नपुं;8;एक}	बाहु{पुं;8;एक}	सम्बोध्यः,6.1.1	सम्बोध्यः,6.1.1	N8				-
4.1	दुःखम्	6	दुःखमाप्तुमयोगतः	दुःख{नपुं;1;एक}/दुःख{नपुं;2;एक}	दुःख{नपुं;1;एक}	कर्ता,6.1.1	कर्ता,6.1.1	N1	कठिन	distress	-	-
5.1	आप्तुम्	5	0	आप्1{कृत्_प्रत्ययः;तुमुन्;आपॢँ;स्वादिः}	आप्1{कृत्_प्रत्ययः;तुमुन्;आपॢँ;स्वादिः}	सहायकक्रिया,6.1.1	सहायकक्रिया,6.1.1	NA	प्राप्त_होना	afflicts_one_with	-	-
6.1	अ-	3	0	अ	अ	नञ्-तत्पुरुषः,6.2	नञ्-तत्पुरुषः,6.2	CP	कर्मयोग_के_बिना	without_devotional_service	<न-योगतः>Tn	-
6.2	योगतः	-	-	योग{अव्य्;तसिल्}	योग{अव्य्;तसिल्}	हेतुः,5.1	हेतुः,5.1	NA				-
6.1.1	(अस्ति)	7	(0)	अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;अदादिः}	अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;अदादिः}	अभिहित_कर्ता,4.1;अकर्मकः.1	अभिहित_कर्ता,4.1;अकर्मकः.1	KP	(है)	is	-	-
7.1	योग-	9	योगयुक्तो	योग	योग	तृतीया-तत्पुरुषः,7.2	तृतीया-तत्पुरुषः,7.2	CP	कर्मयोगी	engaged_in_devotional_service	<योग-युक्तः>T3	-
7.2	युक्तः	-	-	युक्त{पुं;1;एक}	युक्त{पुं;1;एक}	विशेषणम्,8.1	विशेषणम्,8.1	N1				-
8.1	मुनिः	8	मुनिर्ब्रह्म	मुनि{पुं;1;एक}	मुनि{पुं;1;एक}	कर्ता,11.1	कर्ता,11.1	N1	मुनि	a_thinker	-	-
9.1	ब्रह्म	10	0	ब्रह्मन्{नपुं;1;एक}/ब्रह्मन्{नपुं;2;एक}	ब्रह्मन्{नपुं;2;एक}	कर्म,11.1	कर्म,11.1	N2	परब्रह्म_परमात्मा_को	the_Supreme	-	-
10.1	न	11	नचिरेणाधिगच्छति	न	न	नञ्-तत्पुरुषः,10.2	नञ्-तत्पुरुषः,10.2	CP
10.2	चिरेण			चिरेण{अव्य}/चिर{नपुं;3;एक}	चिर{नपुं;3;एक}	क्रियाविशेषणम्,11.1	क्रियाविशेषणम्,11.1	N3	शीघ्र_ही	without_delay	-	-
11.1	अधिगच्छति	12	0	अधि_गम्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;गमॢँ;भ्वादिः}	अधि_गम्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;गमॢँ;भ्वादिः}	अभिहित_कर्ता,8.1;सकर्मकः.1	अभिहित_कर्ता,8.1;सकर्मकः.1	KP	प्राप्त_हो_जाता_है	attains	-	-
