index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color	hindi_meaning	english_meaning	samAsa	prayoga
1.1	यत्	2	यदादित्यगतं	यत्{अव्य}/यद्{नपुं}{1;एक}/यद्{नपुं}{2;एक}/यत्{अव्य}	यत्{अव्य}	विशेषणम्,3.1	विशेषणम्,3.1	NA	जो	that	-	-
2.1	आदित्य-	1	0	आदित्य	आदित्य	द्वितीया-तत्पुरुषः,2.2	द्वितीया-तत्पुरुषः,2.2	CP	सूर्य_में_स्थित	in_the_sunshine	<आदित्य-गतं>T2	-
2.2	गतम्	-	-	गत{पुं}{2;एक}/गत{नपुं}{1;एक}/गत{नपुं}{2;एक}	गत{नपुं}{1;एक}	समुच्चितः,9.1	समुच्चितः,9.1	N1				-
3.1	तेजः	3	तेजो	तेजस्{नपुं}{1;एक}/तेजस्{नपुं}{2;एक}	तेजस्{नपुं}{1;एक}	कर्ता,16.1	कर्ता,16.1	N1	तेज	splendor	-	-
4.1	जगत्	5	जगद्भासयतेऽखिलम्	जगत्{पुं}{1;एक}/जगत्{नपुं}{1;एक}/जगत्{नपुं}{2;एक}	जगत्{नपुं}{2;एक}	कर्म,16.1	कर्म,16.1	N2	जगत्_को	world	-	-
5.1	भासयते	6	0	भास्1_णिच्{कर्तरि;लट्;प्र;एक;आत्मनेपदी;भासृँ;भ्वादिः}	भास्1_णिच्{कर्तरि;लट्;प्र;एक;आत्मनेपदी;भासृँ_णिच्;भ्वादिः}	अभिहित_कर्ता,9.1;सकर्मकः.1	अभिहित_कर्ता,9.1;सकर्मकः.1	KP	प्रकाशित_करता_है	illuminates	-	-
6.1	अ-	4	0	अ-	अ-	नञ्-तत्पुरुषः,6.2	नञ्-तत्पुरुषः,6.2	CP	सम्पूर्ण	entire	<न-खिलम्>Tn	-
6.2	खिलम्	-	-	अखिल{नपुं}{1;एक}/अखिल{नपुं}{2;एक}	अखिल{नपुं}{1;एक}/अखिल{नपुं}{2;एक}	विशेषणम्,4.1	विशेषणम्,4.1	N2				-
7.1	यत्	7	यच्चन्द्रमसि	यत्{अव्य}/यद्{नपुं}{1;एक}/यद्{नपुं}{2;एक}/यत्{अव्य}	यत्{अव्य}	कर्ता,17.1	कर्ता,17.1	NA	जो_(तेज)	that	-	-
8.1	चन्द्रमसि	8	0	चन्द्रमस्{पुं}{7;एक}	चन्द्रमस्{पुं}{7;एक}	अधिकरणम्,17.1	अधिकरणम्,17.1	N7	चन्द्रमा_में	in_the_moon	-	-
9.1	यत्	9	यच्चाग्नौ	यत्{अव्य}/यद्{नपुं}{1;एक}/यद्{नपुं}{2;एक}/यत्{अव्य}	यत्{अव्य}	कर्ता,5.1	कर्ता,5.1	NA	जो	that	-	-
10.1	च	10	0	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,9.1	समुच्चय_द्योतकः,9.1	NA	और	also	-	-
11.1	अग्नौ	11	0	अग्नि{पुं}{7;एक}	अग्नि{पुं}{7;एक}	अधिकरणम्,5.1	अधिकरणम्,5.1	N7	अग्नि_में	in_the_fire	-	-
12.1	तत्	12	तत्तेजो	तद्{नपुं}{1;एक}/तद्{नपुं}{2;एक}	तद्{नपुं}{2;एक}	विशेषणम्,13.1	विशेषणम्,13.1	N2	उसको	that	-	-
13.1	तेजः	14	0	तेजस्{नपुं}{1;एक}/तेजस्{नपुं}{2;एक}/तेजस्{नपुं}{8;एक}	तेजस्{नपुं}{2;एक}	कर्म,14.1	कर्म,14.1	N2	तेज	splendor	-	-
14.1	विद्धि	15	विद्धि	विद्1{कर्तरि;लोट्;म;एक;परस्मैपदी;विदँ;अदादिः}	विद्1{कर्तरि;लोट्;म;एक;परस्मैपदी;विदँ;अदादिः}	अभिहित_कर्ता,12.1;सकर्मकः.1	अभिहित_कर्ता,12.1;सकर्मकः.1	KP	जान	understand	-	-
15.1	मामकम्	13	मामकम्	मामक{पुं}{2;एक}	मामक{पुं}{2;एक}	कर्मसमानाधिकरणम्,13.1	कर्मसमानाधिकरणम्,13.1	N2	मेरा	from_me	-	-
15.1.1	(त्वम्)	-	(0)	(युष्मद्{पुं}{1;एक}	(युष्मद्{पुं}{1;एक}	कर्ता,14.1	कर्ता,14.1	N1	(उस)	in_that	-	-
16.1	(भासयते)		(भासयते)	भास्1_णिच्{कर्तरि;लट्;प्र;एक;आत्मनेपदी;भासृँ;भ्वादिः}	भास्1_णिच्{कर्तरि;लट्;प्र;एक;आत्मनेपदी;भासृँ;भ्वादिः}	अभिहित_कर्ता,3.1;सकर्मकः.1	अभिहित_कर्ता,3.1;सकर्मकः.1	KP				
17.1	(भासयते)		(भासयते)	भास्1_णिच्{कर्तरि;लट्;प्र;एक;आत्मनेपदी;भासृँ;भ्वादिः}	भास्1_णिच्{कर्तरि;लट्;प्र;एक;आत्मनेपदी;भासृँ;भ्वादिः}	अभिहित_कर्ता,7.1;सकर्मकः.1	अभिहित_कर्ता,7.1;सकर्मकः.1	KP				
