index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color	hindi_meaning	english_meaning	samAsa	prayoga
1.1	पत्रम्	4	पत्रं	पत्र{नपुं}{1;एक}/पत्र{नपुं}{2;एक}	पत्र{नपुं}{2;एक}	समुच्चितः,8.1	समुच्चितः,8.1	N2	पत्र	a_leaf	-	-
2.1	पुष्पम्	5	पुष्पं	पुष्प{नपुं}{1;एक}/पुष्प{नपुं}{2;एक}	पुष्प{नपुं}{2;एक}	समुच्चितः,1.1	समुच्चितः,1.1	N2	पुष्प	a_flower	-	-
3.1	फलम्	6	फलं	फल{नपुं}{1;एक}/फल{नपुं}{2;एक}	फल{नपुं}{2;एक}	समुच्चितः,1.1	समुच्चितः,1.1	N2	फल	a_fruit	-	-
4.1	तोयम्	8	तोयं	तोय{नपुं}{1;एक}/तोय{नपुं}{2;एक}	तोय{नपुं}{2;एक}	कर्म,8.1	कर्म,8.1	N2	जल_आदि	water	-	-
5.1	यः	1	यो	यद्{पुं}{1;एक}	यद्{पुं}{1;एक}	कर्ता,8.1	कर्ता,8.1	N1	जो_(कोई_भक्त)	whoever	-	-
6.1	मे	2	मे	अस्मद्{6;एक}	अस्मद्{4;एक}	सम्प्रदानम्,8.1	सम्प्रदानम्,8.1	N4	मेरे_लिये	unto_Me	-	-
7.1	भक्त्या	3	भक्त्या	भक्ति{स्त्री}{3;एक}	भक्ति{स्त्री}{3;एक}	करणम्,8.1	करणम्,8.1	N3	प्रेम_से(भक्तिपूर्वक)	with_devotion	-	-
8.1	प्रयच्छति	9	प्रयच्छति	प्रयच्छति	प्र_यम्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;प्र_यमँ;भ्वादिः}	अभिहित_कर्ता,5.1;सकर्मकः.1	अभिहित_कर्ता,5.1;सकर्मकः.1	KP	अर्पण_करता_है	offers	-	-
8.1.1	(च)	7	(0)	(च{अव्य})	(च{अव्य})	समुच्चय_द्योतकः,4.1	समुच्चय_द्योतकः,4.1	NA	(और)	and	-	-
9.1	तत्	12	तदहं	तद्{नपुं}{1;एक}/तद्{नपुं}{2;एक}	तद्{नपुं}{2;एक}	कर्म,12.1	कर्म,12.1	N2	वह_(पत्र-पुष्पादि)	that	-	-
10.1	अहम्	13	0	अस्मद्{1;एक}	अस्मद्{1;एक}	कर्ता,12.1	कर्ता,12.1	N1	मैं	I	-	-
11.1	भक्ति-	11	भक्त्युपहृतमश्नामि	भक्ति	भक्ति	तृतीया_तत्पुरुषः,11.2	तृतीया_तत्पुरुषः,11.2	CP	प्रेमपूर्वक_अर्पण_किया_हुआ	offered_in_devotion	<भक्ति-उपहृतम्>T3	-
11.2	उपहृतम्	-	-	उपहृतम्	उप_हृ1{कृत्_प्रत्ययः:क्त;उप_हृञ्;भ्वादिः;नपुं}{2;एक}	विशेषणम्,9.1	विशेषणम्,9.1	N2				-
12.1	अश्नामि	14	0	अश्2{कर्तरि;लट्;उ;एक;परस्मैपदी;अशँ;क्र्यादिः}	अश्2{कर्तरि;लट्;उ;एक;परस्मैपदी;अशँ;क्र्यादिः}	अभिहित_कर्ता,10.1;सकर्मकः.1	अभिहित_कर्ता,10.1;सकर्मकः.1	KP	स्वीकार_करता_हूँ	accept	-	-
13.1	प्रयत-	10	प्रयतात्मनः	प्रयत	प्रयत	बहुव्रीहिः,13.2	बहुव्रीहिः,13.2	CP	(उस)_शुद्ध_बुद्धि_निष्काम_प्रेमी_भक्त_का	of_one_in_pure_consciousness	<प्रयत-आत्मनः>Bs6	-
13.2	आत्मनः	-	-	आत्मन्{पुं}{2;बहु}/आत्मन्{पुं}{5;एक}/आत्मन्{पुं}{6;एक}	आत्मन्{पुं}{6;एक}	षष्ठीसम्बन्धः,9.1	षष्ठीसम्बन्धः,9.1	N6				-
