anvaya_no.1	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha.1	kaaraka_sambandha.1	color	hindi_meaning	english_meaning	samAsa	prayoga
1.1	माम्	6	मां	अस्मद्{2;एक}	अस्मद्{2;एक}	कर्म,6.1	कर्म,6.1	N2	मुझको	unto_Me	-	-
2.1	च	1	च	च{अव्य}	च{अव्य}	सम्बन्धः,6.1	सम्बन्धः,6.1	 NA	और	also	-	-
3.1	यः	2	योऽव्यभिचारेण	यः	यद्{पुं}{1;एक}	कर्ता,6.1;नित्यसम्बन्धः,7.1	कर्ता,6.1;नित्यसम्बन्धः,7.1	N1	जो_(पुरुष)	he_who	-	-
4.1	अ-	3	0	अव्यभिचार{पुं}{3;एक}	न	बहुव्रीहिः ,4.2	बहुव्रीहिः ,4.2	CP	अव्यभिचारी	without_fail	<न-व्यभिचारेण>Bsmn	-
4.2	व्यभिचारेण	-	-		व्यभिचार{पुं}{3;एक}	विशेषणम्,5.1	विशेषणम्,5.1	N3				-
5.1	भक्ति-	5	भक्तियोगेन	भक्ति	भक्ति	कर्मधारयः,5.2	कर्मधारयः,5.2	CP	भक्तियोग_के_द्वारा	by_devotional_service	<भक्ति-योगेन>K6	-
5.2	योगेन	-	-	योग{पुं}{3;एक}	योग{पुं}{3;एक}	करणम्,6.1	करणम्,6.1	N3				-
6.1	सेवते	7	सेवते	सेवता{स्त्री}{1;द्वि}/सेवता{स्त्री}{2;द्वि}/सेव्1{कर्तरि;लट्;प्र;एक;आत्मनेपदी;षेवृँ;भ्वादिः}	सेव्1{कर्तरि;लट्;प्र;एक;आत्मनेपदी;षेवृँ;भ्वादिः}	अभिहितकर्ता,3.1;सकर्मकः.1	अभिहितकर्ता,3.1;सकर्मकः.1	KP	भजता_है	renders_service	-	-
7.1	सः	8	स	तद्{पुं}{1;एक}	तद्{पुं}{1;एक}	कर्ता,12.1	कर्ता,12.1	N1	वह	he	-	-
8.1	गुणान्	10	गुणान्समतीत्यैतान्ब्रह्मभूयाय	गुण{पुं}{2;बहु}	गुण{पुं}{2;बहु}	कर्म,9.1	कर्म,9.1	N2	तीनों_गुणों_को	all_the_modes_of_material_nature	-	-
9.1	समतीत्य	11	0	समतीत्य	सम्_अति_इ1{कृत्_प्रत्ययः:ल्यप्;सम्_अति_इण्;अदादिः}	पूर्वकालः,12.1	पूर्वकालः,12.1	 NA	भलीभाँति_लाँघकर	transcending	-	-
10.1	एतान्	9	0	एतद्{पुं}{2;बहु}	एतद्{पुं}{2;बहु}	विशेषणम्,8.1	विशेषणम्,8.1	N2	इन	all_this	-	-
11.1	ब्रह्म-	12	0	ब्रह्मन्	ब्रह्मन्	षष्ठी_तत्पुरुषः,11.2	षष्ठी_तत्पुरुषः,11.2	CP	सच्चिदानन्दघन_ब्रह्म_को_प्राप्त_होने_के_लिये	to_be_elevated_to_the_Brahman_platform	<ब्रह्म-भूयाय>T6	-
11.2	भूयाय	-	-	भूय{नपुं}{4;एक}	भूय{नपुं}{4;एक}	प्रयोजनम्,12.1	प्रयोजनम्,12.1	N4				-
12.1	कल्पते	13	कल्पते	कल्पता{स्त्री}{1;द्वि}/कल्पता{स्त्री}{2;द्वि}/कृप्1{कर्तरि;लट्;प्र;एक;आत्मनेपदी;कृपूँ;भ्वादिः}	कृप्1{कर्तरि;लट्;प्र;एक;आत्मनेपदी;कृपूँ;भ्वादिः}	अभिहितकर्ता,7.1;अकर्मकः.1	अभिहितकर्ता,7.1;अकर्मकः.1	KP	योग्य_बन_जाता_है	is_considered	-	-
