index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	english_meaning	samAsa	prayoga
1.1	तपस्विभ्यः	1	तपस्विभ्योऽधिको	तपस्विन्{पुं}{4;बहु}/तपस्विन्{पुं}{5;बहु}	तपस्विन्{पुं}{5;बहु}	विभक्तम्,2.1	विभक्तम्,2.1	N5	तपस्वियों_से	than_the_ascetic	-	-
2.1	अधिकः	2	0	अधिक{पुं}{1;एक}	अधिक{पुं}{1;एक}	कर्म,3.1.1	कर्म,3.1.1	N1	श्रेष्ठ	greater	-	-
3.1	योगी	3	योगी	योगिन्{पुं}{1;एक}	योगिन्{पुं}{1;एक}	कर्मसमानाधिकरणम्,3.1.1	कर्मसमानाधिकरणम्,3.1.1	N1	योगी	the_yogi	-	-
3.1.1	(मतः)	-	(-)	मत{पुं;1;एक(+मन्2;क्त;मनुँ;:तनादिः)}	मत{पुं;1;एक(+मन्2;क्त;मनुँ;:तनादिः)}	अभिहित_कर्म,3.1	अभिहित_कर्म,3.1	N1	-	-	-	-
4.1	ज्ञानिभ्यः	4	ज्ञानिभ्योऽपि	ज्ञानिन्{पुं}{4;बहु}/ज्ञानिन्{पुं}{5;बहु}	ज्ञानिन्{पुं}{5;बहु}	विभक्तम्,7.1	विभक्तम्,7.1	N5	शास्त्रज्ञानियों_से	than_the_wise	-	-
5.1	अपि	5	0	अपि{अव्य}	अपि{अव्य}	सम्बन्धः,4.1	सम्बन्धः,4.1	NA	भी	also	-	-
6.1	मतः	11	मतोऽधिकः	मत{पुं;1;एक(+मन्2;क्त;मनुँ;:तनादिः)}\n	मत{पुं;1;एक(+मन्2;क्त;मनुँ;:तनादिः)}	अभिहित_कर्म,7.1	अभिहित_कर्म,7.1	N1	माना_गया_है	considered	-	-
7.1	अधिकः	6	0	अधिक{पुं}{1;एक}	अधिक{पुं}{1;एक}	कर्म,6.1	कर्म,6.1	N1	श्रेष्ठ	greater_than	-	-
7.1.1	(योगी)	-	(-)	योगिन्{पुं}{1;एक}	योगिन्{पुं}{1;एक}	कर्मसमानाधिकरणम्,6.1	कर्मसमानाधिकरणम्,6.1	N1	-	-	-	-
8.1	कर्मिभ्यः	7	कर्मिभ्यश्चाधिको	कर्मिन्{पुं}{4;बहु}/कर्मिन्{पुं}{5;बहु}	कर्मिन्{पुं}{5;बहु}	विभक्तम्,10.1	विभक्तम्,10.1	N5	सकाम_कर्म_करनेवालों_से_भी	than_the_fruitive_worker	-	-
9.1	च	8	च	च{अव्य}	च{अव्य}	सम्बन्धः,8.1	सम्बन्धः,8.1	NA	और	also	-	-
10.1	अधिकः	9	0	अधिक{पुं}{1;एक}	अधिक{पुं}{1;एक}	कर्म,11.1.1	कर्म,11.1.1	N1	श्रेष्ठ	greater_than	-	-
11.1	योगी	10	योगी	योगिन्{पुं}{1;एक}	योगिन्{पुं}{1;एक}	कर्मसमानाधिकरणम्,11.1.1	कर्मसमानाधिकरणम्,11.1.1	N1	योगी	the_yogi	-	-
11.1.1	(मतः)	-	(-)	मत{पुं;1;एक(+मन्2;क्त;मनुँ;:तनादिः)}	मत{पुं;1;एक(+मन्2;क्त;मनुँ;:तनादिः)}	अभिहित_कर्म,11.1	अभिहित_कर्म,11.1	N1	-	-	-	-
12.1	तस्मात्	12	तस्माद्योगी	तस्मात्{अव्य}/तद्{पुं}{5;एक}/तद्{नपुं}{5;एक}	तद्{नपुं}{5;एक}	हेतुः,14.1	हेतुः,14.1	N5	इससे	therefore	-	-
13.1	योगी	13	0	योगिन्{पुं}{1;एक}	योगिन्{पुं}{1;एक}	विधेय_विशेषणम्,14.1.1	विधेय_विशेषणम्,14.1.1	N1	योगी	a_transcendentalist	-	-
14.1	भव	14	भवार्जुन	भू1{कर्तरि;लोट्;म;एक;परस्मैपदी;भू;भ्वादिः}	भू1{कर्तरि;लोट्;म;एक;परस्मैपदी;भू;भ्वादिः}	अभिहित_कर्ता,13.1;अकर्मकः.1	अभिहित_कर्ता,13.1;अकर्मकः.1	KP	हो	just_become	-	-
14.1.1	(त्वम्)			युष्मद्{सर्वनाम;1;एक}	युष्मद्{सर्वनाम;1;एक}	कर्ता,14.1	कर्ता,14.1	N1	तुम	तुम
15.1	अर्जुन	15	-	अर्जुन{पुं}{8;एक}	अर्जुन{पुं}{8;एक}	सम्बोध्यः,14.1	सम्बोध्यः,14.1	N8	हे_अर्जुन	O_Arjuna	-	-
