index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color	hindi_meaning	english_meaning	samAsa	prayoga
1.1	मत्-	2	मन्मना	अस्मद्	अस्मद्	बहुव्रीहिः,1.2	बहुव्रीहिः,1.2	CP	मुझमें_मनवाला	always_thinking_of_Me	<अस्मत्-मनाः>Bs6	-
1.2	मनाः	-	-	मनस्{पुं}{1;एक}	मनस्{पुं}{1;एक}	समुच्चितः,3.1	समुच्चितः,3.1	N1				-
2.1	भव	6	भव	भव{पुं}{8;एक}/भू1{कर्तरि;लोट्;म;एक;परस्मैपदी;भू;भ्वादिः}	भू1{कर्तरि;लोट्;म;एक;परस्मैपदी;भू;भ्वादिः}	अभिहित_कर्ता,4.2.1;अकर्मकः.1	अभिहित_कर्ता,4.2.1;अकर्मकः.1	KP	बन	become	-	-
3.1	मद्-	5	मद्भक्तो	अस्मद्	अस्मद्	षष्ठी-तत्पुरुषः,3.2	षष्ठी-तत्पुरुषः,3.2	CP	मेरा_भक्त	my_devotee	<अस्मत्-भक्तः>T6	-
3.2	भक्तः	-	-	भक्त{पुं}{1;एक}	भक्त{पुं}{1;एक}	कर्तृसमानाधिकरणम्,2.1	कर्तृसमानाधिकरणम्,2.1	N1				-
4.1	मद्-	3	मद्याजी	अस्मद्	अस्मद्	उपपद-तत्पुरुषः,4.2	उपपद-तत्पुरुषः,4.2	CP	मेरा_पूजन_करनेवाला	my_worshipper	<अस्मत्-याजी>U	-
4.2	याजी	-	-	याजिन्{पुं}{1;एक}	याजिन्{पुं}{1;एक}	समुच्चितः,3.1	समुच्चितः,3.1	N1				-
4.1.1	(च)	4	(0)	(च{अव्य})	(च{अव्य})	समुच्चय_द्योतकः,3.1	समुच्चय_द्योतकः,3.1	NA	(और)	and	-	-
4.2.1	(त्वम्)	1	(0)	(युष्मद्{1;एक})	(युष्मद्{1;एक})	कर्ता,2.1	कर्ता,2.1	N1	(तू)	you	-	-
5.1	माम्	8	मां	अस्मद्{2;एक}	अस्मद्{2;एक}	कर्म,6.1	कर्म,6.1	N2	मुझको	unto_Me	-	-
6.1	नमस्कुरु	9	नमस्कुरु	नमस्_कृ3{कर्तरि;लोट्;म;एक;उभयपदी;डुकृञ्;तनादिः}	नमस्_कृ3{कर्तरि;लोट्;म;एक;उभयपदी;नमस्_डुकृञ्;तनादिः}	अभिहित_कर्ता,6.1.1;सकर्मकः.1	अभिहित_कर्ता,6.1.1;सकर्मकः.1	NA	प्रणाम्_कर	offer_obeisances	-	-
6.1.1	(त्वम्)	7	(0)	(युष्मद्{1;एक})	(युष्मद्{1;एक})	कर्ता,6.1	कर्ता,6.1	N1	(तू)	you	-	-
7.1	माम्	15	मामेवैष्यसि	अस्मद्{2;एक}	अस्मद्{2;एक}	कर्म,9.1	कर्म,9.1	N2	मुझको	unto_Me	-	-
8.1	एव	16	0	एव{अव्य}	एव{अव्य}	सम्बन्धः,7.1	सम्बन्धः,7.1	NA	ही	completely	-	-
9.1	एष्यसि	17	0	इ1{कर्तरि;लृट्;म;एक;परस्मैपदी;इण्;अदादिः}	इ1{कर्तरि;लृट्;म;एक;परस्मैपदी;इण्;अदादिः}	अभिहित_कर्ता,13.1.1;सकर्मकः.1	अभिहित_कर्ता,13.1.1;सकर्मकः.1	KP	प्राप्त_होगा	come	-	-
10.1	युक्त्वा	14	युक्त्वैवमात्मानं	युज्1{कृत्_प्रत्ययः:क्त्वा;युजँ;दिवादिः}/युज्2{कृत्_प्रत्ययः:क्त्वा;युजिँर्;रुधादिः}	युज्2{कृत्_प्रत्ययः:क्त्वा;युजिँर्;रुधादिः}	पूर्वकालः,9.1	पूर्वकालः,9.1	NA	नियुक्त_करके	being_absorbed	-	-
11.1	एवम्	10	0	एवम्{अव्य}	एवम्{अव्य}	सम्बन्धः,12.1	सम्बन्धः,12.1	NA	इस_प्रकार	thus	-	-
12.1	आत्मानम्	13	0	आत्मन्{पुं}{2;एक}	आत्मन्{पुं}{2;एक}	कर्म,10.1	कर्म,10.1	N2	आत्मा_को	your_soul	-	-
13.1	मत्-	11	मत्परायणः	अस्मद्	अस्मद्	बहुव्रीहिः,13.2	बहुव्रीहिः,13.2	CP	मेरापरायणकरनेवाला	devoted_to_Me	<अस्मत्-परायणः>Bs6	-
13.2	परायणः	-	-	परायण{पुं}{1;एक}	परायण{पुं}{1;एक}	विशेषणम्,13.1.1	विशेषणम्,13.1.1	N1				-
13.1.1	(त्वम्)	12	(0)	(युष्मद्{1;एक})	(युष्मद्{1;एक})	कर्ता,9.1	कर्ता,9.1	N1	(तू)	you	-	-
