index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	english_meaning	samAsa	prayoga
1.1	यथा	1	यथा	यथा{अव्य}	यथा{अव्य}	क्रियाविशेषणम्,5.1	क्रियाविशेषणम्,5.1;नित्यसम्बन्धः,6.1	NA	जिस_प्रकार	as	-	-	नित्यसम्बन्धः,6.1
2.1	दीपः	3	दीपो	दीप{पुं;1;एक}	दीप{पुं;1;एक}	कर्ता,5.1	कर्ता,5.1	N1	दीपक	a_lamp	-	-
3.1	नि-	2	निवातस्थो	नि	नि	बहुव्रीहिः,3.2	बहुव्रीहिः,3.2	CP	वायुरहित_स्थान_में_स्थित	in_a_place_without_wind	<<नि-वात>Bvp-स्थः>U	-
3.2	वात-	-	-	वात	वात	उपपद-तत्पुरुषः,3.3	उपपद-तत्पुरुषः,3.3	CP				-
3.3	स्थः	-	-	स्थ{पुं;1;एक}	स्थ{पुं;1;एक}	विशेषणम्,2.1	विशेषणम्,2.1	N1				-
4.1	न	4	नेङ्गते	न{अव्य}	न{अव्य}	प्रतिषेधः,5.1	प्रतिषेधः,5.1	NA	नहीं	does_not	-	-
5.1	इङ्गते	5	0	इङ्गत्{पुं;4;एक}/इङ्गत्{नपुं;4;एक}/इङ्गता{स्त्री;1;द्वि}/इङ्गता{स्त्री;2;द्वि}/इङ्ग्1{कर्तरि;लट्;प्र;एक;आत्मनेपदी;इगिँ;भ्वादिः}	इङ्ग्1{कर्तरि;लट्;प्र;एक;आत्मनेपदी;इगिँ;भ्वादिः}	अभिहित_कर्ता,2.1	अभिहित_कर्ता,2.1	KP	चलायमान_होता	waver	-	-
6.1	सा	11	सोपमा	तद्{स्त्री;1;एक}	तद्{स्त्री;1;एक}	विशेषणम्,7.1	विशेषणम्,7.1	N1	वैसी	that	-	-
7.1	उपमा	12	0	उपमा{स्त्री;1;एक}	उपमा{स्त्री;1;एक}	कर्म,8.1	कर्म,8.1	N1	उपमा	compared_to	-	-
8.1	स्मृता	13	स्मृता	स्मृता{स्त्री;1;एक}/स्मृ1{कृत्_प्रत्ययः;क्त;स्मृ;भ्वादिः;स्त्री;1;एक}	स्मृ1{कृत्_प्रत्ययः;क्त;स्मृ;भ्वादिः;स्त्री;1;एक}	अभिहित_कर्म,7.1	अभिहित_कर्म,7.1	N1	कही_गयी_है	likened	-	-
9.1	योगिनः	10	योगिनो	योगिन्{पुं;1;बहु}/योगिन्{पुं;2;बहु}/योगिन्{पुं;5;एक}/योगिन्{पुं;6;एक}	योगिन्{पुं;6;एक}	षष्ठीसम्बन्धः,7.1	षष्ठीसम्बन्धः,7.1	N6	योगी_के	of_the_yogi	-	-
10.1	यत-	9	यतचित्तस्य	यत	यत	बहुव्रीहिः,10.2	बहुव्रीहिः,10.2	CP	जीते_हुए_चित्त_की	whose_mind_is_controlled	<यत-चित्तस्य>Bs6	-
10.2	चित्तस्य	-	-	चित्त{पुं;6;एक}/चित्त{नपुं;6;एक}	चित्त{पुं;6;एक}	विशेषणम्,9.1	विशेषणम्,9.1	N6				-
11.1	युञ्जतः	8	युञ्जतो	युञ्जत्{पुं;2;बहु}/युञ्जत्{पुं;5;एक}/युञ्जत्{पुं;6;एक}/युञ्जत्{नपुं;5;एक}/युञ्जत्{नपुं;6;एक}	युञ्जत्{नपुं;6;एक}	विशेषणम्,9.1	विशेषणम्,9.1	N6	लगे_हुए	constantly_engaged_in	-	-
12.1	योगम्	7	योगमात्मनः	योग{पुं;2;एक}	योग{पुं;2;एक}	कर्ता,11.1	कर्ता,11.1	N2	ध्यान_में	meditation	-	-
13.1	आत्मनः	6	0	आत्मन्{पुं;2;बहु}/आत्मन्{पुं;5;एक}/आत्मन्{पुं;6;एक}	आत्मन्{पुं;6;एक}	षष्ठीसम्बन्धः,12.1	षष्ठीसम्बन्धः,12.1	N6	परमात्मा_के	on_transcendence	-	-
