index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color	hindi_meaning	english_meaning	samAsa	prayoga
1.1	द्यूतम्	3	द्यूतं	द्यूत{पुं}{2;एक}/द्यूत{नपुं}{1;एक}/द्यूत{नपुं}{2;एक}	द्यूत{नपुं}{1;एक}	सुप्_समुच्चितः,4.1	सुप्_समुच्चितः,4.1	N1	जूआ	gambling	-	-
2.1	छलयताम्	2	छलयतामस्मि	छलयताम्	छल{कृत्_प्रत्ययः:शतृ;छल;;नपुं}{6;बहु}	निर्धारणम्,1.1	निर्धारणम्,1.1	N6	छल_करनेवालों_में	of_all_cheats	-	-
3.1	अस्मि	7	0	अस्मि{अव्य}/अस्2{कर्तरि;लट्;उ;एक;परस्मैपदी;असँ;अदादिः}	अस्2{कर्तरि;लट्;उ;एक;परस्मैपदी;असँ;अदादिः}	अभिहितकर्ता,6.1;अकर्मकः.1	अभिहितकर्ता,6.1;अकर्मकः.1	KP	हूँ	am	-	-
4.1	तेजः	6	तेजस्तेजस्विनामहम्	तेजस्{नपुं}{1;एक}/तेजस्{नपुं}{2;एक}/तेजस्{नपुं}{8;एक}	तेजस्{नपुं}{1;एक}	कर्तृसमानाधिकरणम्,3.1	कर्तृसमानाधिकरणम्,3.1	N1	प्रभाव	splendid	-	-
4.1.1	(च)	4	(0)	(च{अव्य})	(च{अव्य})	समुच्चय_द्योतकः,4.1	समुच्चय_द्योतकः,4.1	NA	(और)	also	-	-
5.1	तेजस्विनाम्	5	0	तेजस्विन्{पुं}{6;बहु}	तेजस्विन्{पुं}{6;बहु}	निर्धारणम्,4.1	निर्धारणम्,4.1	N6	प्रभावशाली_पुरुषों_का	of_everything_splendid	-	-
6.1	अहम्	1	0	अस्मद्{1;एक}	अस्मद्{1;एक}	कर्ता,3.1	कर्ता,3.1	N1	मैं	I	-	-
7.1	जयः	10	जयोऽस्मि	जि{पुं}{1;बहु}/जि{पुं}{8;बहु}/जय{पुं}{1;एक}	जय{पुं}{1;एक}	कर्तृसमानाधिकरणम्,8.1	कर्तृसमानाधिकरणम्,8.1	N1	विजय	victory	-	-
8.1	अस्मि	11	0	अस्मि{अव्य}/अस्2{कर्तरि;लट्;उ;एक;परस्मैपदी;असँ;अदादिः}	अस्2{कर्तरि;लट्;उ;एक;परस्मैपदी;असँ;अदादिः}	अभिहितकर्ता,8.1.1;अकर्मकः.1	अभिहितकर्ता,8.1.1;अकर्मकः.1	KP	हूँ	am	-	-
8.1.1	(अहम्)	15	(0)	(अस्मद्{1;एक})	(अस्मद्{1;एक})	कर्ता,8.1	कर्ता,8.1	N1	(मैं)	I	-	-
9.1	व्यवसायः	9	व्यवसायोऽस्मि	व्यवसाय{पुं}{1;एक}	व्यवसाय{पुं}{1;एक}	कर्तृसमानाधिकरणम्,10.1	कर्तृसमानाधिकरणम्,10.1	N1	निश्चय	adventure	-	-
10.1	अस्मि	14	0	अस्मि{अव्य}/अस्2{कर्तरि;लट्;उ;एक;परस्मैपदी;असँ;अदादिः}	अस्2{कर्तरि;लट्;उ;एक;परस्मैपदी;असँ;अदादिः}	अभिहितकर्ता,13.1;अकर्मकः.1	अभिहितकर्ता,13.1;अकर्मकः.1	KP	हूँ	am	-	-
11.1	सत्त्वम्	13	सत्त्वं	सत्त्व{पुं}{2;एक}/सत्त्व{नपुं}{1;एक}/सत्त्व{नपुं}{2;एक}/सत्त्व{नपुं}{1;एक}/सत्त्व{नपुं}{2;एक}	सत्त्व{नपुं}{1;एक}	कर्तृसमानाधिकरणम्,10.1	कर्तृसमानाधिकरणम्,10.1	N1	सात्त्विक_भाव	strength	-	-
11.1.1	(च)	4	(0)	(च{अव्य})	(च{अव्य})	समुच्चय_द्योतकः,11.1	समुच्चय_द्योतकः,11.1	NA	(और)	also	-	-
12.1	सत्त्ववताम्	12	सत्त्ववतामहम्	सत्त्ववत्{पुं}{6;बहु}/सत्त्ववत्{नपुं}{6;बहु}	सत्त्ववत्{पुं}{6;बहु}	निर्धारणम्,11.1	निर्धारणम्,11.1	N6	सात्त्विक_पुरुषों_का	of_all_the_strong	-	-
13.1	अहम्	8	0	अस्मद्{1;एक}	अस्मद्{1;एक}	कर्ता,8.1	कर्ता,8.1	N1	मैं	I	-	-
