index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	english_meaning	samAsa	prayoga
1.1	यः	2	योऽयं	यद्{पुं;1;एक}	यद्{पुं;1;एक}	विशेषणम्,3.1	विशेषणम्,3.1;नित्यसम्बन्धः,8.1	N1	जो	the_system	-	-	नित्यसम्बन्धः,8.1
2.1	अयम्	3	0	अय{पुं;2;एक}/इदम्{पुं;1;एक}	इदम्{पुं;1;एक}	विशेषणम्,3.1	विशेषणम्,3.1	N1	यह	this	-	-
3.1	योगः	4	योगस्त्वया	योग{पुं;1;एक}	योग{पुं;1;एक}	कर्म,5.1	कर्म,5.1	N1	योग	mysticism	-	-
4.1	त्वया	5	0	युष्मद्{3;एक}	युष्मद्{3;एक}	कर्ता,5.1	कर्ता,5.1	N3	आपने	by_You	-	-
5.1	प्रोक्तः	7	प्रोक्तः	प्रोक्त{पुं;1;एक}/प्र_वच्1{कृत्_प्रत्ययः;क्त;वचँ;अदादिः;पुं;1;एक}	प्र_वच्1{कृत्_प्रत्ययः;क्त;वचँ;अदादिः;पुं;1;एक}	अभिहित_कर्म,3.1	अभिहित_कर्म,3.1	N1	कहा_है	described	-	-
6.1	साम्येन	6	साम्येन	साम्य{पुं;3;एक}/साम्य{नपुं;3;एक}	साम्य{नपुं;3;एक}	क्रियाविशेषणम्,5.1	क्रियाविशेषणम्,5.1	N3	समभाव_से	generally	-	-
7.1	मधुसूदन	1	मधुसूदन	मधुसूदन{पुं;8;एक}	मधुसूदन{पुं;8;एक}	सम्बोध्यः,5.1	सम्बोध्यः,5.1	N8	हे_मधुसूदन	O_killer_of_the_demon_Madhu	-	-
8.1	एतस्य	10	एतस्याहं	एतद्{पुं;6;एक}/एतद्{नपुं;6;एक}	एतद्{पुं;6;एक}	षष्ठीसम्बन्धः,13.1	षष्ठीसम्बन्धः,13.1	N6	इसकी	of_this	-	-
9.1	अहम्	13	0	अस्मद्{1;एक}	अस्मद्{1;एक}	कर्ता,11.1	कर्ता,11.1	N1	मैं	I	-	-
10.1	न	14	न	न{अव्य}	न{अव्य}	प्रतिषेधः,11.1	प्रतिषेधः,11.1	NA	नहीं	do_not	-	-
11.1	पश्यामि	15	पश्यामि	दृश्1{कर्तरि;लट्;उ;एक;परस्मैपदी;दृशिँर्;भ्वादिः}	दृश्1{कर्तरि;लट्;उ;एक;परस्मैपदी;दृशिँर्;भ्वादिः}	अभिहित_कर्ता,9.1	अभिहित_कर्ता,9.1	KP	देखता_हूँ	see	-	-
12.1	चञ्चलत्वात्	9	चञ्चलत्वात्स्थितिं	चञ्चलत्व{नपुं;5;एक}	चञ्चलत्व{नपुं;5;एक}	हेतुः,11.1	हेतुः,11.1	N5	चंचल_होने_से	due_to_being_restless	-	-
13.1	स्थितिम्	12	0	स्थिति{स्त्री;2;एक}	स्थिति{स्त्री;2;एक}	कर्म,11.1	कर्म,11.1	N2	स्थिति_को	situation	-	-
14.1	स्थिराम्	11	स्थिराम्	स्थिरा{स्त्री;2;एक}	स्थिरा{स्त्री;2;एक}	विशेषणम्,13.1	विशेषणम्,13.1	N2	नित्य	stable	-	-
