index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color	hindi_meaning	english_meaning	samAsa	prayoga
1.1	इति	3	इति	इति{अव्य}	इति{अव्य}	सम्बन्धः,5.1	सम्बन्धः,5.1	NA	इस_प्रकार	thus	-	-
2.1	गुह्य-	5	गुह्यतमं	गुह्य	गुह्य	तत्पुरुषः,2.2	तत्पुरुषः,2.2	CP	अति_रहस्ययुक्त_गोपनीय	the_most_confidential	-	-
2.2	तमम्	-	-	तम{पुं}{2;एक}/तम{नपुं}{1;एक}/तम{नपुं}{2;एक}	तम{नपुं}{1;एक}	विशेषणम्,3.1	विशेषणम्,3.1	N1				-
3.1	शास्त्रम्	6	शास्त्रमिदमुक्तं	शास्त्र{नपुं}{1;एक}/शास्त्र{नपुं}{2;एक}	शास्त्र{नपुं}{1;एक}	कर्म,5.1	कर्म,5.1	N1	शास्त्र	revealed_scripture	-	-
4.1	इदम्	4	0	इदम्{नपुं}{1;एक}/इदम्{नपुं}{2;एक}	इदम्{नपुं}{1;एक}	विशेषणम्,3.1	विशेषणम्,3.1	N1	यह	this	-	-
5.1	उक्तम्	8	0	उक्त{पुं}{2;एक}/उक्त{नपुं}{1;एक}/उक्त{नपुं}{2;एक}	वच्1{कृत्_प्रत्ययः:क्त;वचँ;अदादिः;नपुं}{1;एक}	अभिहित_कर्म,3.1;सकर्मकः.1	अभिहित_कर्म,3.1;सकर्मकः.1	N1	कहा_गया	disclosed	-	-
6.1	मया	7	मयानघ	अस्मद्{3;एक}	अस्मद्{3;एक}	कर्ता,5.1	कर्ता,5.1	N3	मेरे_द्वारा	by_Me	-	-
7.1	अन्-	1	0	अनघ{पुं}{8;एक}/अनघ{नपुं}{8;एक}	अनघ{पुं}{8;एक}	बहुव्रीहिः ,7.2	बहुव्रीहिः ,7.2	CP	हे_निष्पाप	O_sinless_one	<न-अघ>Bsmn	-
7.2	अघ	-	-	अनघ{पुं}{8;एक}/अनघ{नपुं}{8;एक}	अनघ{पुं}{8;एक}	सम्बोध्यः,5.1	सम्बोध्यः,5.1	N8				-
8.1	एतद्	9	एतद्बुद्ध्वा	एतद्{नपुं}{1;एक}/एतद्{नपुं}{2;एक}	एतद्{नपुं}{2;एक}	कर्म,9.1	कर्म,9.1	N2	इसको	this	-	-
9.1	बुद्ध्वा	10	0	बुध्1{क्त्वा;बुधिर्;भ्वादि}	बुध्2{कृत्_प्रत्ययः:क्त्वा;बुधिँर्;भ्वादिः}	पूर्वकालः,11.1	पूर्वकालः,11.1	NA	तत्त्व_से_जानकर	understanding	-	-
10.1	बुद्धिमान्	11	बुद्धिमान्स्यात्कृतकृत्यश्च	बुद्धिमत्{पुं}{1;एक}	बुद्धिमत्{पुं}{1;एक}	समुच्चितः,15.1	समुच्चितः,15.1	N1	ज्ञानवान्	intelligent	-	-
11.1	स्यात्	14	0	अस्2{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;असँ;अदादिः}	अस्2{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;असँ;अदादिः}	-	-	KP	हो_जाता_है	becomes	-	-
12.1	कृत-	13	0	कृत	कृत	बहुव्रीहिः,12.2	बहुव्रीहिः,12.2	CP	कृतार्थ	the_most_perfect	<कृत-कृत्यः>Bs3	-
12.2	कृत्यः	-	-	कृत्य{पुं}{1;एक}	कृत्य{पुं}{1;एक}	समुच्चितः,15.1	समुच्चितः,15.1	N1				-
13.1	च	12	0	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,15.1	समुच्चय_द्योतकः,15.1	NA	और	and	-	-
14.1	भारत	2	भारत	भारत{नपुं}{8;एक}/भारत{पुं}{8;एक}	भारत{पुं}{8;एक}	सम्बोध्यः,11.1	सम्बोध्यः,11.1	N8	अर्जुन	O_son_of_Bharata	-	-
15.1	(मानवः)		(मानवः)	मानव{पुं;1;एक}	मानव{पुं;1;एक}	कर्ता,11.1	कर्ता,11.1	KP				
