index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color	hindi_meaning	english_meaning	samAsa	prayoga
1.1	यस्मात्	1	यस्मात्क्षरमतीतोऽहमक्षरादपि	यस्मात्{अव्य}/यद्{पुं}{5;एक}/यद्{नपुं}{5;एक}	यस्मात्{अव्य}	हेतुः,4.1.1	हेतुः,4.1.1	N5	क्योंकि	because	-	-
2.1	क्षरम्	3	0	क्षर{नपुं}{1;एक}/क्षर{नपुं}{2;एक}	क्षर{पुं}{2;एक}	कर्म,3.1	कर्म,3.1	N2	नाशवान्	the_fallible	-	-
3.1	अतीतः	4	0	अतीत{पुं}{1;एक}	अति_इ1{कृत्_प्रत्ययः:क्त;अति_इ1;अदादिः;पुं}{1;एक}	विधेयविशेषणम्,4.1	विधेयविशेषणम्,4.1	N1	अतीत	transcendental	-	-
4.1	अहम्	2	0	अस्मद्{1;एक}	अस्मद्{1;एक}	कर्ता,4.1.1	कर्ता,4.1.1	N1	मैं	I	-	-
4.1.1	(अस्मि)	5	(0)	(अस्मि{अव्य}/अस्2{कर्तरि;लट्;उ;एक;परस्मैपदी;असँ;अदादिः})	(अस्2{कर्तरि;लट्;उ;एक;परस्मैपदी;असँ;अदादिः})	अभिहित_कर्ता,4.1;अकर्मकः.1	अभिहित_कर्ता,4.1;अकर्मकः.1	KP	(हूँ)	am	-	-
5.1	अ-	7	0	अ	अक्षर{नपुं}{5;एक}	नञ्-तत्पुरुषः,5.2	नञ्-तत्पुरुषः,5.2	CP	अविनाशी_जीवात्मा_से	from_the_infallible	<न-क्षरात्>Tn	-
5.2	क्षरात्	-	-	क्षर{नपुं}{5;एक}	अक्षर{नपुं}{5;एक}	तुलना_बिन्दुः,8.1	तुलना_बिन्दुः,8.1	N5				-
6.1	अपि	8	0	अपि{अव्य}	अपि{अव्य}	अन्यतर_द्योतकः,5.2	अन्यतर_द्योतकः,5.2	NA	भी	better_than_that	-	-
7.1	च	6	चोत्तमः	च{अव्य}	च{अव्य}	सम्बन्धः,8.2.1	सम्बन्धः,8.2.1	NA	और	and	-	-
8.1	उत्तमः	9	0	उत्तम{पुं}{1;एक}	उत्तम{पुं}{1;एक}	विधेयविशेषणम्,8.1.1	विधेयविशेषणम्,8.1.1	N1	उत्तम	the_best	-	-
8.1.1	(अहम्)	-	(अहम्)	अस्मद्{1;एक}	अस्मद्{1;एक}	कर्ता,8.2.1	कर्ता,8.2.1	N1				
8.2.1	(अस्मि)	10	(0)	(अस्मि{अव्य}/अस्2{कर्तरि;लट्;उ;एक;परस्मैपदी;असँ;अदादिः})	(अस्2{कर्तरि;लट्;उ;एक;परस्मैपदी;असँ;अदादिः})	अभिहित_कर्ता,8.1.1;अकर्मकः.1	अभिहित_कर्ता,8.1.1;अकर्मकः.1	KP	(हूँ)	am	-	-
9.1	अतः	11	अतोऽस्मि	अतः{अव्य}	अतः{अव्य}	हेतुः,10.1	हेतुः,10.1	NA	इसलिये	therefore	-	-
10.1	अस्मि	17	0	अस्मि{अव्य}/अस्2{कर्तरि;लट्;उ;एक;परस्मैपदी;असँ;अदादिः}	अस्2{कर्तरि;लट्;उ;एक;परस्मैपदी;असँ;अदादिः}	अभिहित_कर्ता,15.1;अकर्मकः.1	अभिहित_कर्ता,15.1;अकर्मकः.1	KP	हूँ	am	-	-
11.1	लोके	12	लोके	लोक{पुं}{7;एक}/लोक्1{कर्तरि;लट्;उ;एक;आत्मनेपदी;लोकृँ;भ्वादिः}	लोक{पुं}{7;एक}	सुप्-समुच्चितः,12.1	सुप्-समुच्चितः,12.1	N7	लोक_में	in_the_world	-	-
12.1	वेदे	14	वेदे	वेद{पुं}{7;एक}	वेद{पुं}{7;एक}	अधिकरणम्,10.1	अधिकरणम्,10.1	N7	वेद_में	in_the_Vedic_literature	-	-
13.1	च	13	च	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,12.1	समुच्चय_द्योतकः,12.1	NA	और	and	-	-
14.1	प्रथितः	16	प्रथितः	प्रथित{पुं}{1;एक}	प्रथित{पुं}{1;एक}	विधेयविशेषणम्,15.2	विधेयविशेषणम्,15.2	N1	प्रसिद्ध	celebrated	-	-
15.1	पुरुष-	15	पुरुषोत्तमः	पुरुष	पुरुष	कर्मधारयः,15.2	कर्मधारयः,15.2	CP	पुरुषोत्तम_नाम_से	as_the_Supreme_Personality	<पुरुष-उत्तमः>T7	-
15.2	उत्तमः	-	-	उत्तम{पुं}{1;एक}	उत्तम{पुं}{1;एक}	कर्ता,10.1	कर्ता,10.1	N1				-
