index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	english_meaning	samAsa	prayoga
1.1	चञ्चलम्	4	चञ्चलं	चञ्चल{पुं;2;एक}/चञ्चल{नपुं;1;एक}	चञ्चल{नपुं;1;एक}	विधेय_विशेषणम्,3.1	विधेय_विशेषणम्,3.1	N1	बड़ा_चंचल	flickering	-	-
2.1	हि	3	हि	हि{अव्य}	हि{अव्य}	सम्बन्धः,3.1	सम्बन्धः,3.1	NA	क्योंकि	certainly	-	-
3.1	मनः	2	मनः	मनस्{नपुं;1;एक}/मनस्{नपुं;2;एक}/मनस्{नपुं;8;एक}	मनस्{नपुं;1;एक}	कर्ता,7.1.1	कर्ता,7.1.1	N1	मन	mind	-	-
4.1	कृष्ण	1	कृष्ण	कृष्ण{पुं;8;एक}/कृष्ण{नपुं;8;एक}	कृष्ण{पुं;8;एक}	सम्बोध्यः,7.1.1	सम्बोध्यः,7.1.1	N8	हे_श्रीकृष्ण	O_Krsna	-	-
5.1	प्रमाथि	7	प्रमाथि	प्रमाथिन्{नपुं;1;एक}/प्रमाथिन्{नपुं;2;एक}	प्रमाथिन्{नपुं;1;एक}	विधेय_विशेषणम्,3.1	विधेय_विशेषणम्,3.1	N1	प्रमथन_स्वभाववाला	agitating	-	-
6.1	बलवत्	5	बलवद्दृढम्	बलवत्{अव्य}/बलवत्{नपुं;1;एक}/बलवत्{नपुं;2;एक}/बलवत्{नपुं;8;एक}	बलवत्{नपुं;1;एक}	विधेय_विशेषणम्,3.1	विधेय_विशेषणम्,3.1	N1	बलवान्	strong	-	-
7.1	दृढम्	6	0	दृढ{पुं;2;एक}/दृढ{नपुं;1;एक}/दृढ{नपुं;2;एक}	दृढ{नपुं;1;एक}	विधेय_विशेषणम्,3.1	विधेय_विशेषणम्,3.1	N1	बड़ा_दृढ़	obstinate	-	-
7.1.1	(अस्ति)			अस्{कर्तरि;लट्;प्र;एक;परस्मैपदी;अदादिः}	अस्{कर्तरि;लट्;प्र;एक;परस्मैपदी;अदादिः}	अभिहित_कर्ता,3.1	अभिहित_कर्ता,3.1	KP
8.1	तस्य	10	तस्याहं	तद्{पुं;6;एक}/तद्{नपुं;6;एक}	तद्{पुं;6;एक}	षष्ठीसम्बन्धः,10.1	षष्ठीसम्बन्धः,10.1	N6	उसका	its	-	-
9.1	अहम्	9	0	अस्मद्{1;एक}	अस्मद्{1;एक}	कर्ता,11.1	कर्ता,11.1	N1	मैं	I	-	-
10.1	निग्रहम्	11	निग्रहं	निग्रह{पुं;2;एक}	निग्रह{पुं;2;एक}	कर्म,11.1	कर्म,11.1	N2	वश_में_करना	subduing	-	-
11.1	मन्ये	15	मन्ये	मन्1{कर्मणि;लट्;उ;एक;आत्मनेपदी;मनँ;दिवादिः}/मन्2{कर्मणि;लट्;उ;एक;आत्मनेपदी;मनुँ;तनादिः}/मन्1{कर्तरि;लट्;उ;एक;आत्मनेपदी;मनँ;दिवादिः}	मन्1{कर्तरि;लट्;उ;एक;आत्मनेपदी;मनँ;दिवादिः}	अभिहित_कर्ता,9.1	अभिहित_कर्ता,9.1	KP	मानता_हूँ	think	-	-
12.1	वायोः	12	वायोरिव	वायु{पुं;5;एक}/वायु{पुं;6;एक}	वायु{पुं;6;एक}	उपमानम्,8.1	उपमानम्,8.1	N6	वायु_को_रोकने_की	of_the_wind	-	-
13.1	इव	13	0	इव{अव्य}	इव{अव्य}	उपमान_द्योतकः,12.1	उपमान_द्योतकः,12.1	NA	जैसे	like	-	-
14.1	सुदुष्करम्	14	सुदुष्करम्	सुदुष्कर{पुं;2;एक}/सुदुष्कर{नपुं;1;एक}/सुदुष्कर{नपुं;2;एक}	सुदुष्कर{पुं;2;एक}	कर्मसमानाधिकरणम्,11.1	कर्मसमानाधिकरणम्,11.1	N2	अत्यन्त_दुष्कर	difficult	-	-
