index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	english_meaning	samAsa	prayoga
												
1.1	अ-	2	अच्छेद्योऽयमदाह्योऽयमक्लेद्योऽशोष्य	अ	अ	नञ्-तत्पुरुषः,1.2	नञ्-तत्पुरुषः,1.2	CP	अच्छेद्य	incapable_of_being_cut	<न-छेद्यः>Tn	-
1.2	छेद्यः	-	-	छेदी{पुं;1;बहु}/छेदी{स्त्री;1;बहु}/छेद्य{पुं;1;एक}/छिद्1{कृत्_प्रत्ययः:ण्यत्;छिदिँर्;रुधादिः(छेद्य;पुं;1;एक)}	छिद्1{कृत्_प्रत्ययः:ण्यत्;छिदिँर्;रुधादिः(छेद्य;पुं;1;एक)}	विधेय_विशेषणम्,2.1	विधेय_विशेषणम्,2.1	N1				-
2.1	अयम्	1		अय{पुं;2;एक}/इदम्{पुं;1;एक}	इदम्{पुं;1;एक}	कर्ता,2.1.1	कर्ता,2.1.1	N1	यह	this_(soul)	-	-
2.1.1	(अस्ति)	3		(अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;अदादिः})	(अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;अदादिः})	अभिहित_कर्ता,2.1;अकर्मकः.1	अभिहित_कर्ता,2.1;अकर्मकः.1	KP	(है)	is	-	-
3.1	अ-	5		अ	अ	नञ्-तत्पुरुषः,3.2	नञ्-तत्पुरुषः,3.2	CP	अदाह्य	burnt_by_fire	<न-दाह्यः>Tn	-
3.2	दाह्यः	-	-	दाह्य{पुं;1;एक}/दह्1{कृत्_प्रत्ययः:ण्यत्;दहँ;भ्वादिः(दाह्य;पुं;1;एक)}	दह्1{कृत्_प्रत्ययः:ण्यत्;दहँ;भ्वादिः(दाह्य;पुं;1;एक)}	समुच्चितः,6.2	समुच्चितः,6.2	N1				-
4.1	अयम्	4		अय{पुं;2;एक}/इदम्{पुं;1;एक}	इदम्{पुं;1;एक}	कर्ता,8.1.1	कर्ता,8.1.1	N1	यह	this_(soul)	-	-
5.1	अ-	6		अ	अ	नञ्-तत्पुरुषः,5.2	नञ्-तत्पुरुषः,5.2	CP	अक्लेद्य	dissolved_by_water	<न-क्लेद्यः>Tn	-
5.2	क्लेद्यः	-	-	क्लेद्य{पुं;1;एक}/क्लिद्1{कृत्_प्रत्ययः:ण्यत्;क्लिदूँ;दिवादिः(क्लेद्य;पुं;1;एक)}	क्लिद्1{कृत्_प्रत्ययः:ण्यत्;क्लिदूँ;दिवादिः(क्लेद्य;पुं;1;एक)}	समुच्चितः,6.2	समुच्चितः,6.2	N1				-
6.1	अ-	8		अ	अ	नञ्-तत्पुरुषः,6.2	नञ्-तत्पुरुषः,6.2	CP	अशोष्य	undriable_by_air	<न-शोष्यः>Tn	-
6.2	शोष्यः	-	-	शव्1{कर्तरि;लृङ्;म;एक;परस्मैपदी;शवँ;भ्वादिः}/शुष्1{कृत्_प्रत्ययः:ण्यत्;शुषँ;दिवादिः(शोष्य;पुं1;एक)}	शुष्1{कृत्_प्रत्ययः:ण्यत्;शुषँ;दिवादिः(शोष्य;पुं1;एक)}	विधेय_विशेषणम्,4.1	विधेय_विशेषणम्,4.1	N1				-
7.1	एव	9	एव	एव{अव्य}	एव{अव्य}	सम्बन्धः,6.2	सम्बन्धः,6.2	NA	ही	as_well	-	-
8.1	च	7	च	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,6.2	समुच्चय_द्योतकः,6.2	NA	और	and	-	-
8.1.1	(अस्ति)	10		(अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;अदादिः})	(अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;अदादिः})	अभिहित_कर्ता,4.1;अकर्मकः.1	अभिहित_कर्ता,4.1;अकर्मकः.1	KP	(है)	is	-	-
9.1	नित्यः	12	नित्यः	नित्य{पुं;1;एक}	नित्य{पुं;1;एक}	समुच्चितः,14.1	समुच्चितः,14.1	N1	नित्य	eternal	-	-
10.1	सर्व-	13	सर्वगतः	सर्व	सर्व	सप्तमी-तत्पुरुषः,10.2	सप्तमी-तत्पुरुषः,10.2	CP	सर्वव्यापी	omnipresent	<सर्व-गतः>T2	-
10.2	गतः	-	-	गत्{नपुं;5;एक}/गत्{नपुं;6;एक}/गत{पुं;1;एक}	गत{पुं;1;एक}	समुच्चितः,14.1	समुच्चितः,14.1	N1				-
11.1	स्थाणुः	14	स्थाणुरचलोऽयं	स्थाणु{पुं;1;एक}	स्थाणु{पुं;1;एक}	समुच्चितः,14.1	समुच्चितः,14.1	N1	स्थिर_रहनेवाला	constant	-	-
12.1	अ-	15		अ	अ	नञ्-तत्पुरुषः,12.2	नञ्-तत्पुरुषः,12.2	CP	अचल	immovable	<न-चलः>Tn	-
12.2	चलः	-	-	चल{पुं;1;एक}	चल{पुं;1;एक}	समुच्चितः,14.1	समुच्चितः,14.1	N1				-
13.1	अयम्	11		अय{पुं;2;एक}/इदम्{पुं;1;एक}	इदम्{पुं;1;एक}	कर्ता,14.2.1	कर्ता,14.2.1	N1	यह	this_(soul)	-	-
14.1	सनातनः	17	सनातनः	सनातन{पुं;1;एक}	सनातन{पुं;1;एक}	विधेय_विशेषणम्,13.1	विधेय_विशेषणम्,13.1	N1	सनातन	everlasting	-	-
14.1.1	(च)	16		(च{अव्य})	(च{अव्य})	समुच्चय_द्योतकः,14.1	समुच्चय_द्योतकः,14.1	NA	और	and	-	-
14.2.1	(अस्ति)	18	(अस्ति)	(अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;अदादिः})	(अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;अदादिः})	अभिहित_कर्ता,13.1;अकर्मकः.1	अभिहित_कर्ता,13.1;अकर्मकः.1	KP	(है)	is	-	-
