index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color	hindi_meaning	english_meaning	samAsa	prayoga
1.1	अन्-	2	अनन्याश्चिन्तयन्तो	अन्-	अन्-	बहुव्रीहिः ,1.2	बहुव्रीहिः ,1.2	CP	अनन्य_प्रेमी	no_other	<न-अन्याः>Bsmn	-
1.2	अन्याः	-	-	अनन्या{स्त्री}{1;बहु}/अनन्या{स्त्री}{2;बहु}/अनन्या{स्त्री}{8;बहु}	अनन्य{पुं}{1;बहु}	विशेषणम्,5.1	विशेषणम्,5.1	N1				-
2.1	चिन्तयन्तः	5	0	चिन्तयत्{पुं}{1;बहु}/चिन्तयत्{पुं}{8;बहु}	चिन्त्1{कृत्_प्रत्ययः:शतृ;चितिँ;चुरादिः;पुं}{1;बहु}	समानकालः,6.1	समानकालः,6.1	N1	निरन्तर_चिन्तन_करते_हुए	concentrating	-	-
3.1	माम्	4	मां	अस्मद्{2;एक}	अस्मद्{2;एक}	कर्म,2.1	कर्म,2.1	N2	मुझको_(परमेश्वर_को)	unto_Me	-	-
4.1	ये	1	ये	यद्{पुं}{1;बहु}/यद्{स्त्री}{1;द्वि}/यद्{स्त्री}{2;द्वि}/यद्{नपुं}{1;द्वि}/यद्{नपुं}{2;द्वि}	यद्{पुं}{1;बहु}	विशेषणम्,5.1;नित्यसम्बन्धः,7.1	विशेषणम्,5.1;नित्यसम्बन्धः,7.1	N1	जो	who	-	-
5.1	जनाः	3	जनाः	जन{पुं}{1;बहु}/जन{पुं}{8;बहु}	जन{पुं}{1;बहु}	कर्ता,6.1	कर्ता,6.1	N1	भक्तजन	persons	-	-
6.1	पर्युपासते	6	पर्युपासते	पर्युपासते	परि_उप_आस्1{कर्तरि;लट्;प्र;बहु;आत्मनेपदी;परि_उप_आसँ;अदादिः}	अभिहित_कर्ता,5.1;अकर्मकः.1	अभिहित_कर्ता,5.1;अकर्मकः.1	KP	निष्कामभावसे_भजते_हैं	properly_worship	-	-
7.1	तेषाम्	7	तेषां	तद्{पुं}{6;बहु}/तद्{नपुं}{6;बहु}	तद्{पुं}{6;बहु}	विशेषणम्,8.1	विशेषणम्,8.1	N6	उन	their	-	-
8.1	नित्य-	8	नित्याभियुक्तानां	नित्याभियुक्तानाम्	नित्य	कर्मधारयः,8.2	कर्मधारयः,8.2	CP	नित्य-निरन्तर_मेरा_चिन्तन_करनेवाले_पुरुषों_का	always_fixed_in_devotion	<नित्य-अभियुक्तानाम्>K1	-
8.2	अभियुक्तानाम्	-	-		अभि_युज्2{कृत्_प्रत्ययः:क्त;अभि_युजिँर्;रुधादिः;पुं}{6;बहु}	षष्ठीसम्बन्धः,9.1	षष्ठीसम्बन्धः,9.1	N6				-
9.1	योग-	9	योगक्षेमं	योग	योग	द्वन्दः,9.2	द्वन्दः,9.2	CP	योगक्षेम	requirements	<योग-क्षेमं>Ds	-
9.2	क्षेमम्	-	-	क्षेम{पुं}{2;एक}/क्षेम{नपुं}{1;एक}/क्षेम{नपुं}{2;एक}	क्षेम{पुं}{2;एक}	कर्म,10.1	कर्म,10.1	N2				-
10.1	वहामि	11	वहाम्यहम्	वह्1{कर्तरि;लट्;उ;एक;परस्मैपदी;वहँ;भ्वादिः}	वह्1{कर्तरि;लट्;उ;एक;परस्मैपदी;वहँ;भ्वादिः}	अभिहित_कर्ता,11.1;द्विकर्मकः.1	अभिहित_कर्ता,11.1;द्विकर्मकः.1	KP	प्राप्त_कर_देता_हूँ	carry	-	-
11.1	अहम्	10	0	अस्मद्{1;एक}	अस्मद्{1;एक}	कर्ता,10.1	कर्ता,10.1	N1	मैं_(स्वयं)	I	-	-
