index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	english_meaning	samAsa	prayoga
1.1	यथा	2	यथैधांसि	यथा{अव्य}	यथा{अव्य}	क्रियाविशेषणम्,6.1	क्रियाविशेषणम्,6.1	NA	जैसे	just_as	-	-	नित्यसम्बन्धः,12.1
2.1	एधांसि	5	-	एधस्{नपुं;1;बहु}/एधस्{नपुं;2;बहु}/एधस्{नपुं;8;बहु}	एधस्{नपुं;2;बहु}	कर्म,6.1	कर्म,6.1	N2	ईंधनों_को	firewood	-	-
3.1	समिद्धः	3	समिद्धोऽग्निर्भस्मसात्कुरुतेऽर्जुन	समिद्ध{पुं;1;एक}	समिद्ध{पुं;1;एक}	विशेषणम्,4.1	विशेषणम्,4.1	N1	प्रज्वलित	blazing	-	-
4.1	अग्निः	4	-	अग्नि{पुं;1;एक}	अग्नि{पुं;1;एक}	कर्ता,6.1	कर्ता,6.1	N1	अग्नि	fire	-	-
5.1	भस्मसात्	6	-	भस्मसात्{अव्य}	भस्मसात्{अव्य}	कर्मसमानाधिकरणम्,6.1	कर्मसमानाधिकरणम्,6.1	NA	भस्ममय	turns_into_ashes	-	-
6.1	कुरुते	7	-	कुरुता{स्त्री;1;द्वि}/कुरुता{स्त्री;2;द्वि}/कुरुता{स्त्री;8;एक}/कुरुता{स्त्री;8;द्वि}/कृ3{कर्तरि;लट्;प्र;एक;आत्मनेपदी;डुकृञ्;तनादिः}	कृ3{कर्तरि;लट्;प्र;एक;आत्मनेपदी;डुकृञ्;तनादिः}	अभिहित_कर्ता,4.1	अभिहित_कर्ता,4.1	KP	कर_देता_है	so_does	-	-
7.1	अर्जुन	1	-	अर्जुन{पुं;8;एक}	अर्जुन{पुं;8;एक}	सम्बोध्यः,6.1	सम्बोध्यः,6.1	N8	हे_अर्जुन	O_Arjuna	-	-
8.1	ज्ञान-	9	ज्ञानाग्निः	ज्ञान	ज्ञान	कर्मधारयः,8.2	कर्मधारयः,8.2	CP	ज्ञानरूप_अग्नि	the_fire_of_knowledge	<ज्ञान-अग्निः>K6	-
8.2	अग्निः	-	-	अग्नि{पुं;1;एक}	अग्नि{पुं;1;एक}	कर्ता,11.1	कर्ता,11.1	N1				-
9.1	सर्व-	10	सर्वकर्माणि	सर्व	सर्व	कर्मधारयः,9.2	कर्मधारयः,9.2	CP	सम्पूर्ण_कर्मों_को	all_reactions_to_material_activities	<सर्व-कर्माणि>K1	-
9.2	कर्माणि	-	-	कर्मन्{नपुं;1;बहु}/कर्मन्{नपुं;2;बहु}/कर्मन्{नपुं;8;बहु}	कर्मन्{नपुं;2;बहु}	कर्म,11.1	कर्म,11.1	N2				-
10.1	भस्मसात्	11	भस्मसात्कुरुते	भस्मसात्{अव्य}	भस्मसात्{अव्य}	कर्मसमानाधिकरणम्,11.1	कर्मसमानाधिकरणम्,11.1	NA	भस्ममय	to_ashes	-	-
11.1	कुरुते	12	-	कुरुता{स्त्री;1;द्वि}/कुरुता{स्त्री;2;द्वि}/कुरुता{स्त्री;8;एक}/कुरुता{स्त्री;8;द्वि}/कृ3{कर्तरि;लट्;प्र;एक;आत्मनेपदी;डुकृञ्;तनादिः}	कृ3{कर्तरि;लट्;प्र;एक;आत्मनेपदी;डुकृञ्;तनादिः}	अभिहित_कर्ता,8.2	अभिहित_कर्ता,8.2	KP	कर_देता_है।	so_does	-	-
12.1	तथा	8	तथा	तथा{अव्य}	तथा{अव्य}	क्रियाविशेषणम्,11.1	क्रियाविशेषणम्,11.1	NA	वैसे_ही	similarly	-	-
